## Non-city leaf locations identified by the 20-agent audit of cities.txt.
## Format: <path>\t<loc_type>\t<reason>
## loc_type is one of: region, feature, neighbourhood.
## Anything not listed defaults to loc_type: city in classify_leaves.py.
##
## Features: national parks, lakes, mountains, rivers, monuments,
## archaeological sites, theme parks, single attractions.
## Regions: states, counties, provinces, administrative regions,
## multi-town geographic zones.
## Neighbourhoods: districts inside cities (loc_type for now; full
## conversion to type: neighbourhood is a separate task).

# --- Features: National parks and reserves ---
northamerica/unitedstates/california/centralvalley/upper_kern_river	feature	river
northamerica/unitedstates/idaho/salmon_river	feature	river
northamerica/unitedstates/minnesota/saintcroixriver	feature	river
southamerica/brazil/iguacufalls	feature	waterfall
southamerica/guyana/kaieteurfalls	feature	waterfall

# --- Features: Deserts, savannas, forests, plateaus, valleys, capes, peninsulas, isthmuses ---
asia/india/uttaranchal/valley_of_flowers	feature	UNESCO valley
asia/mongolia/gobidesert	feature	desert
asia/uzbekistan/ferghanavalley	feature	multi-country valley
australiaandpacific/niue/huvalutropicalrainforest	feature	rainforest
europe/france/midi/languedoc/hautlanguedoc_reg/le_sidobre	feature	plateau
europe/greece/capesounion	feature	cape
europe/greece/crete/lassithi_plateau	feature	plateau
europe/italy/basilicata/vulture_area	feature	extinct volcano area
europe/russia/karelian_isthmus	feature	isthmus
europe/switzerland/val_ferret	feature	valley
europe/unitedkingdom/england/gloucestershire/forestofdean	feature	forest
europe/unitedkingdom/scotland/isle_of_mull/ross_of_mull	feature	peninsula
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/yorkshire_dales/malhamdale	feature	valley/dale
northamerica/unitedstates/newhampshire/greatnorthwoods	feature	forested region
southamerica/bolivia/salar_of_uyuni	feature	salt flat
southamerica/chile/atacamadesert	feature	desert
southamerica/guyana/rupununisavanna	feature	savanna

# --- Features: Islands and reefs (where the page is about the feature, not a settlement) ---
asia/kuwait/greenisland	feature	artificial recreational island
asia/singapore/islands/pulau_ubin	feature	nature island
europe/italy/lombardia/lagomaggiore/islands	feature	islands of Lake Maggiore
northamerica/belize/barrierreef	feature	reef system
northamerica/costarica/tortugaisland	feature	island
northamerica/unitedstates/michigan/apostleislands	feature	islands
southamerica/ecuador/galapagosislands/theislands	feature	the islands overview page
southamerica/ecuador/isla_de_la_plata	feature	island

# --- Features: Monuments and archaeological sites ---
africa/egypt/colossiofmemnon	feature	colossal statues monument
asia/cambodia/angkorwat	feature	temple complex
asia/china/tibet/everest_base_camp	feature	trekking camp
asia/turkey/istanbul/thebosphorus	feature	strait
asia/turkey/nemrutdagi	feature	archaeological summit
asia/uzbekistan/theqalas	feature	desert fortress ruins
europe/armenia/amberd_1	feature	medieval fortress
europe/france/centre/loirevalley/chambord	feature	château
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/stonehenge	feature	prehistoric monument
northamerica/nicaragua/ruins_of_len_vie	feature	colonial ruins
southamerica/ecuador/mitad_del_mundo	feature	equator monument

# --- Features: Theme parks, attractions, gardens, venues ---
asia/jordan/main	feature	Ma'in hot springs resort area
europe/bulgaria/rilamonastery	feature	monastery
europe/france/aquitaine/futuroscope	feature	theme park
europe/germany/rhinelandpalatinate/nurburgring	feature	motorsport circuit
europe/netherlands/deefteling	feature	theme park
europe/netherlands/keukenhof	feature	gardens
europe/spain/galicia/a_lanzada_beach	feature	beach
northamerica/jamaica/cockpitcountry	feature	karst landscape
northamerica/unitedstates/colorado/coloradosprings/gardenofgods	feature	natural rock park

# --- Features: Misc misplaced section/meta pages (will need type fix later, marking as feature for now) ---
asia/malaysia/melaka/nightlife_and_ente_2	feature	mistyped section page
asia/malaysia/melaka/nightlife_and_ente_3	feature	mistyped section page
europe/belgium/antwerp/things_to_do	feature	mistyped section page
europe/france/east/franchecomte/fabulous_rivers	feature	mistyped meta page
northamerica/canada/britishcolumbia/vancouver/museum	feature	museum page
southamerica/chile/travelfacts/businesshours	feature	mistyped travelfacts page

# --- Regions: States, provinces, counties ---
africa/ghana/upper_west	region	administrative region
africa/ghana/brong_ahafo_region	region	administrative region
africa/somaliland/awdal	region	administrative region
asia/india/jharkhand	region	state
asia/india/mizoram	region	state
asia/india/nagaland	region	state
europe/armenia/armavir_marz	region	province (marz)
europe/norway/telemark	region	county
europe/unitedkingdom/england/cumbria	region	county
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/dorset	region	county
northamerica/mexico/chiapas	region	state
northamerica/unitedstates/california/highsierra/alpinecounty	region	county
northamerica/unitedstates/california/shastacascade/trinity	region	county
northamerica/unitedstates/texas/houston/fortbendcounty	region	county
southamerica/ecuador/napo	region	province

# --- Regions: Geographic regions, multi-town zones, scenic routes ---
asia/japan/tohoku	region	multi-prefecture region
asia/nepal/everest_region	region	multi-village trekking region
asia/pakistan/karakoram_highway	region	highway corridor
asia/srilanka/the_south	region	regional overview
asia/tajikistan/pamir_highway	region	highway corridor
asia/turkey/westcoast	region	regional overview
australiaandpacific/australia/tasmania/southeast	region	regional area
europe/faroeislands/eysturoy/noroyggjar	region	island group (Northern Islands)
europe/france/midi/languedoc/the_land_of_the_cathars	region	Cathar region
europe/georgia/blackseacoast	region	regional coastline
europe/greece/tilos	region	Greek island
europe/ireland/ringofkerry	region	scenic route
europe/italy/calabria/hilltowns_of_the	region	hilltowns region overview
europe/spain/andalucia/gibraltar_field	region	Campo de Gibraltar
europe/spain/galicia/the_peninsula_of_o_morrazo	region	peninsula of O Morrazo
europe/spain/northernspain/bierzo	region	wine region
europe/unitedkingdom/scotland/small_isles	region	island group
northamerica/costarica/gulf_of_papagayo	region	resort gulf area
northamerica/unitedstates/alaska/inside_passage	region	archipelago route
northamerica/unitedstates/california/deserts	region	deserts region overview
northamerica/unitedstates/florida/spacecoastarea	region	multi-town zone
northamerica/unitedstates/hawaii/oahu	region	island with several cities
northamerica/unitedstates/massachusetts/capecod	region	peninsula
northamerica/unitedstates/newyorkstate/long_island	region	geographic region
northamerica/unitedstates/newyorkstate/hamptons_on_long_i	region	Hamptons resort area
northamerica/unitedstates/ohio/ohios_amish_country	region	cultural region
northamerica/unitedstates/pennsylvania/laurel_highlands	region	mountain region
northamerica/unitedstates/washington/the_palouse	region	agricultural region
southamerica/brazil/pantanal	region	wetland region
southamerica/chile/lakesdistrict	region	lake region
africa/southafrica/overberg	region	multi-town area
asia/papuanewguinea/trobriand_islands	region	island group

# --- Neighbourhoods (districts within cities) ---
asia/japan/tokyo/ginza	neighbourhood	Tokyo district
northamerica/unitedstates/california/losangeles/hollywood	neighbourhood	LA district
northamerica/unitedstates/california/losangeles/westlosangeles	neighbourhood	LA district
northamerica/unitedstates/california/sandiego/downtown	neighbourhood	San Diego district
northamerica/unitedstates/california/sandiego/hillcrest	neighbourhood	San Diego district
northamerica/unitedstates/california/venice_beach	neighbourhood	LA neighbourhood (mis-rooted under state)
northamerica/unitedstates/tennessee/nashville/musicrow	neighbourhood	Nashville district
northamerica/unitedstates/texas/houston/downtown	neighbourhood	Houston district
northamerica/unitedstates/virginia/arlington/pentagoncity	neighbourhood	Arlington district
