world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/canada/newbrunswick/moncton,Moncton,Moncton,11,50,do,Irishtown Nature Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.14193,-64.77216,Victoria Park,northamerica/canada/newbrunswick/moncton/victoria_park,0.529,5.648,5.287,has_external_url,https://www.moncton.ca/irishtown-nature-park,https://en.wikivoyage.org/wiki/Moncton
northamerica/canada/ontario/oakville,Oakville,Oakville (Ontario),19,24,see,Sovereign House,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.390264,-79.710885,Sheridan College,northamerica/canada/ontario/oakville/sheridan_college,0.516,8.788,7.292,has_external_url,http://www.brontehistoricalsociety.ca/,https://en.wikivoyage.org/wiki/Oakville_%28Ontario%29
northamerica/thecaribbean/guadeloupe/basseterre,Basse-Terre,Basse-Terre,4,8,see,Zoo de Guadeloupe,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,16.1793,-61.7511,Guadeloupe National Park,northamerica/thecaribbean/guadeloupe/basseterre/guadeloupe_national_park,0.526,15.379,19.648,has_external_url,https://www.zoodeguadeloupe.com/practical-info,https://en.wikivoyage.org/wiki/Basse-Terre
northamerica/unitedstates/arizona/phoenix,Phoenix,Phoenix,54,145,do,Enchanted Island Amusement Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,33.4738,-112.0887,Encanto Park,northamerica/unitedstates/arizona/phoenix/encanto_park,0.512,0.499,3.127,has_external_url,http://www.enchantedisland.com/,https://en.wikivoyage.org/wiki/Phoenix
northamerica/unitedstates/california/shastacascade/mountshasta,Mount Shasta,Mount Shasta,0,5,see,Mount Shasta City Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.327,-122.324,,,0.0,,14.135,has_external_url,https://www.msrec.org/mt-shasta-city-park,https://en.wikivoyage.org/wiki/Mount_Shasta
northamerica/unitedstates/florida/naples,Naples,Naples (Florida),11,20,do,Delnor-Wiggins Pass State Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,26.2811,-81.8281,Revs Institute,northamerica/unitedstates/florida/naples/revs_institute,0.364,14.212,15.82,has_external_url,https://www.floridastateparks.org/park/Delnor-Wiggins,https://en.wikivoyage.org/wiki/Naples_%28Florida%29
northamerica/unitedstates/louisiana/monroe,Monroe,Monroe (Louisiana),8,16,see,Northeast Louisiana Children's Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,32.50413,-92.11999,Ouachita River Riverwalk,northamerica/unitedstates/louisiana/monroe/ouachita_river,0.427,0.573,0.653,has_external_url,https://www.nelcm.org/,https://en.wikivoyage.org/wiki/Monroe_%28Louisiana%29
northamerica/unitedstates/minnesota/duluth,Duluth,Duluth,8,55,do,Spirit Mountain,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.718151,-92.21671,Glensheen Historic Estate,northamerica/unitedstates/minnesota/duluth/glensheen_mansion,0.35,16.594,11.195,has_external_url,http://www.spiritmt.com,https://en.wikivoyage.org/wiki/Duluth
northamerica/unitedstates/newmexico/farmington,Farmington,Farmington (New Mexico),7,16,see,Aztec Museum & Pioneer Village,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.82347,-107.99482,Aztec Ruins National Monument,northamerica/unitedstates/newmexico/farmington/aztec_ruins_national_monument,0.459,1.465,22.585,has_external_url,https://aztecmuseum.org/,https://en.wikivoyage.org/wiki/Farmington_%28New_Mexico%29
northamerica/unitedstates/northdakota/fargo,Fargo,Fargo,5,66,do,Fargo Kids Play Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.819955,-96.881865,Plains Art Museum,northamerica/unitedstates/northdakota/fargo/plains_art_museum,0.513,9.301,9.462,has_external_url,https://fkpm.netlify.app/,https://en.wikivoyage.org/wiki/Fargo
northamerica/unitedstates/pennsylvania/scranton,Scranton,Scranton,15,41,do,Montage Mountain Ski Resort,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.3533,-75.6592,Anthracite Heritage Museum,northamerica/unitedstates/pennsylvania/scranton/anthracite_heritage_museum,0.377,5.726,6.164,has_external_url,https://www.montagemountainresorts.com/,https://en.wikivoyage.org/wiki/Scranton
northamerica/unitedstates/texas/fort_worth,Fort Worth,Fort Worth,24,85,do,NRH2O Family Water Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,32.8509,-97.1931,Fort Worth Water Gardens,northamerica/unitedstates/texas/fort_worth/fort_worth_water_gardens,0.426,16.999,16.978,has_external_url,http://www.nrh2o.com/,https://en.wikivoyage.org/wiki/Fort_Worth
northamerica/unitedstates/washington/olympicnationalpark,Olympic National Park,Olympic National Park,10,49,see,Elwha,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.0166,-123.594,Ruby Beach,northamerica/unitedstates/washington/olympicnationalpark/ruby_beach,0.267,70.066,8.829,has_external_url,https://www.nps.gov/olym/planyourvisit/visiting-the-elwha.htm,https://en.wikivoyage.org/wiki/Olympic_National_Park
southamerica/ecuador/guayaquil,Guayaquil,Guayaquil,15,26,do,Bosque Protector Cerro Blanco,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-2.18637,-80.01773,Monumento Rocafuerte,southamerica/ecuador/guayaquil/monumento_rocafuer,0.367,15.351,14.546,has_external_url,http://bosquecerroblanco.org/es/,https://en.wikivoyage.org/wiki/Guayaquil
