world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/california/oakland,Oakland,Oakland,16,181,see,BART,0.59,candidate,has description; high-value type; has external URL,,,Lake Merritt,northamerica/unitedstates/california/oakland/lakemerrittandgardens,0.375,,,missing_coordinates; has_external_url,https://www.bart.gov,https://en.wikivoyage.org/wiki/Oakland
northamerica/unitedstates/texas/austin,Austin,Austin,45,55,do,Austin City Limits Festival,0.59,candidate,has description; high-value type; has external URL,,,East 6th Street,northamerica/unitedstates/texas/austin/sixth_street_east,0.381,,,missing_coordinates; has_external_url,http://www.aclfestival.com/,https://en.wikivoyage.org/wiki/Austin
europe/austria/vienna,Vienna,Vienna,67,134,see,Mahart Passnave,0.59,candidate,has description; high-value type; has external URL,,,Hofburg Palace,europe/austria/vienna/hofburg_palace,0.483,,,missing_coordinates; has_external_url,http://www.mahartpassnave.hu/,https://en.wikivoyage.org/wiki/Vienna
northamerica/unitedstates/california/losangeles,Los Angeles,Los Angeles,71,77,see,Tufesa,0.59,candidate,has description; high-value type; has external URL,,,Footsies,northamerica/unitedstates/california/losangeles/footsies,0.429,,,missing_coordinates; has_external_url,http://www.tufesabus.com/,https://en.wikivoyage.org/wiki/Los_Angeles
europe/italy/umbria/perugia,Perugia,Perugia,12,44,do,Umbria Jazz,0.59,candidate,has description; high-value type; has external URL,,,Bar Papaia,europe/italy/umbria/perugia/barpapaia,0.381,,,missing_coordinates; has_external_url,http://www.umbriajazz.com/,https://en.wikivoyage.org/wiki/Perugia
europe/unitedkingdom/scotland/edinburgh,Edinburgh,Edinburgh,99,58,do,Edinburgh International Science Festival,0.59,candidate,has description; high-value type; has external URL,,,Edinburgh Castle,europe/unitedkingdom/scotland/edinburgh/edinburghcastle,0.5,,,missing_coordinates; has_external_url,http://www.sciencefestival.co.uk/,https://en.wikivoyage.org/wiki/Edinburgh
asia/mongolia/ulaanbaatar,Ulaanbaatar,Ulaanbaatar,8,112,see,South Korea,0.59,candidate,has description; high-value type; has external URL,,,Zaisan Memorial,asia/mongolia/ulaanbaatar/zaisan_memorial,0.385,,,missing_coordinates; has_external_url,http://overseas.mofa.go.kr/mn-ko/index.do,https://en.wikivoyage.org/wiki/Ulaanbaatar
asia/iran/tehran,Tehran,Tehran,44,119,see,Norway,0.59,candidate,has description; high-value type; has external URL,,,Tehran War Cemetery,asia/iran/tehran/tehran_war_cemetery,0.32,,,missing_coordinates; has_external_url,https://tehran.embassy.qa/en,https://en.wikivoyage.org/wiki/Tehran
northamerica/unitedstates/ohio/chillicothe,Chillicothe,Chillicothe (Ohio),5,37,do,Paint Valley Jamboree,0.59,candidate,has description; high-value type; has external URL,,,Adena Mansion,northamerica/unitedstates/ohio/chillicothe/adena_mansion,0.294,,,missing_coordinates; has_external_url,https://m.facebook.com/paxtontheatre/,https://en.wikivoyage.org/wiki/Chillicothe_%28Ohio%29
australiaandpacific/newzealand/north_island/bay_of_plenty/rotorua,Rotorua,Rotorua,10,32,see,Rotorua Walkway,0.59,candidate,has description; high-value type; has external URL,,,Redwoods Treewalk,australiaandpacific/newzealand/north_island/bay_of_plenty/rotorua/redwoods_treewalk,0.5,,,missing_coordinates; has_external_url,http://www.rdc.govt.nz/our-city/Parksandreserves/Pages/Walkways.aspx,https://en.wikivoyage.org/wiki/Rotorua
asia/indonesia/bali/ubud,Ubud,Ubud,21,95,do,Firefly Yoga Retreat,0.59,candidate,has description; high-value type; has external URL,,,Tegallalang Rice Terraces,asia/indonesia/bali/ubud/tegallalang_rice_terraces,0.4,,,missing_coordinates; has_external_url,https://www.fireflyretreatbali.com,https://en.wikivoyage.org/wiki/Ubud
northamerica/unitedstates/kansas/lawrence,Lawrence,Lawrence (Kansas),8,39,do,Kansas Men's Basketball,0.59,candidate,has description; high-value type; has external URL,,,University of Kansas Natural History Museum,northamerica/unitedstates/kansas/lawrence/ku_natural_history_museum,0.364,,,missing_coordinates; has_external_url,https://kuathletics.com/sports/m-baskbl/kan-m-baskbl-body.html/,https://en.wikivoyage.org/wiki/Lawrence_%28Kansas%29
northamerica/unitedstates/colorado/breckenridge,Breckenridge,Breckenridge (Colorado),15,40,do,Summit Huts Association,0.59,candidate,has description; high-value type; has external URL,,,Main Street Historic District,northamerica/unitedstates/colorado/breckenridge/main_street_historic_district,0.308,,,missing_coordinates; has_external_url,http://www.summithuts.org,https://en.wikivoyage.org/wiki/Breckenridge_%28Colorado%29
europe/germany/bavaria/nuremberg,Nuremberg,Nuremberg,26,125,do,Bardtreffen music festival,0.59,candidate,has description; high-value type; has external URL,,,Stadtmuseum Fembohaus,europe/germany/bavaria/nuremberg/city_history_museu,0.426,,,missing_coordinates; has_external_url,http://www.bardentreffen-nuernberg.de,https://en.wikivoyage.org/wiki/Nuremberg
northamerica/unitedstates/florida/naples,Naples,Naples (Florida),11,20,see,Collier County Convention and Visitors Bureau,0.59,candidate,has description; high-value type; has external URL,,,Conservancy of Southwest Florida Nature Center,northamerica/unitedstates/florida/naples/conservancy_of_sw_florida,0.33,,,missing_coordinates; has_external_url,http://www.paradisecoast.com/,https://en.wikivoyage.org/wiki/Naples_%28Florida%29
australiaandpacific/newzealand/canterbury/christchurch,Christchurch,Christchurch,13,85,do,Kidsfest,0.59,candidate,has description; high-value type; has external URL,,,Riverside Market,australiaandpacific/newzealand/canterbury/christchurch/riverside_market,0.333,,,missing_coordinates; has_external_url,http://www.kidsfest.co.nz/,https://en.wikivoyage.org/wiki/Christchurch
europe/netherlands/friesland/hindeloopen,Hindeloopen,Hindeloopen,3,13,do,Fishing,0.59,candidate,has description; high-value type; has external URL,,,Hidde Nijland Museum,europe/netherlands/friesland/hindeloopen/hidde_nijland_museum,0.222,,,missing_coordinates; has_external_url,http://www.touristinfohindeloopen.nl/zien-doen-beleven/vissen/?lang=en,https://en.wikivoyage.org/wiki/Hindeloopen
northamerica/unitedstates/massachusetts/boston,Boston,Boston,64,72,see,BoltBus,0.59,candidate,has description; high-value type; has external URL,,,Old State House,northamerica/unitedstates/massachusetts/boston/old_state_house,0.455,,,missing_coordinates; has_external_url,http://www.boltbus.com,https://en.wikivoyage.org/wiki/Boston
northamerica/canada/manitoba/winnipeg,Winnipeg,Winnipeg,22,164,see,Winnipeg Transit Plus,0.59,candidate,has description; high-value type; has external URL,,,Manitoba Museum,northamerica/canada/manitoba/winnipeg/manitoba_museum,0.389,,,missing_coordinates; has_external_url,https://info.winnipegtransit.com/en/winnipeg-transit-plus,https://en.wikivoyage.org/wiki/Winnipeg
northamerica/unitedstates/indiana/bloomington,Bloomington,Bloomington (Indiana),13,70,do,Lotus World Music & Arts Festival,0.59,candidate,has description; high-value type; has external URL,,,Snow Lion Tibetan Restaurant,northamerica/unitedstates/indiana/bloomington/sige_restaurant,0.413,,,missing_coordinates; has_external_url,http://www.lotusfest.org/,https://en.wikivoyage.org/wiki/Bloomington_%28Indiana%29
northamerica/canada/ontario/ottawa,Ottawa,Ottawa,23,271,see,417 Bus Line,0.59,candidate,has description; high-value type; has external URL,,,Château Laurier,northamerica/canada/ontario/ottawa/chateau_laurier,0.444,,,missing_coordinates; has_external_url,https://transpo.417busline.com/,https://en.wikivoyage.org/wiki/Ottawa
europe/luxembourg/echternach,Echternach,Echternach,10,20,do,International Festival Echternach,0.59,candidate,has description; high-value type; has external URL,,,Abbey of Echternach,europe/luxembourg/echternach/abbey_of_echternach,0.5,,,missing_coordinates; has_external_url,http://www.echternachfestival.lu/,https://en.wikivoyage.org/wiki/Echternach
northamerica/unitedstates/northcarolina/asheville,Asheville,Asheville,20,153,do,Asheville Community Yoga,0.59,candidate,has description; high-value type; has external URL,,,Asheville Art Museum,northamerica/unitedstates/northcarolina/asheville/asheville_art_museum,0.545,,,missing_coordinates; has_external_url,http://ashevillecommunityyoga.com,https://en.wikivoyage.org/wiki/Asheville
northamerica/unitedstates/southdakota/siouxfalls,Sioux Falls,Sioux Falls,9,54,do,Scheels IcePlex,0.59,candidate,has description; high-value type; has external URL,,,Cathedral of Saint Joseph,northamerica/unitedstates/southdakota/siouxfalls/siouxfalls_cathedral,0.4,,,missing_coordinates; has_external_url,https://www.scheelsiceplex.com/,https://en.wikivoyage.org/wiki/Sioux_Falls
asia/china/hebei/tangshan,Tangshan,Tangshan,3,37,do,Tangshan International Ceramics Expo,0.59,candidate,has description; high-value type; has external URL,,,Kailuan National Mine Park,asia/china/hebei/tangshan/kailuan_mine_park,0.548,,,missing_coordinates; has_external_url,https://www.onezh.com/web/index_85852.html,https://en.wikivoyage.org/wiki/Tangshan
europe/slovakia/kosice,Košice,Košice,7,153,do,Spring music festival,0.59,candidate,has description; high-value type; has external URL,,,Hlavná Ulica,europe/slovakia/kosice/hlavna_ulica,0.375,,,missing_coordinates; has_external_url,http://www.sfk.sk/index.php?context=362&p=294,https://en.wikivoyage.org/wiki/Ko%C5%A1ice
northamerica/mexico/ciudad_obregn,Ciudad Obregón,Ciudad Obregón,3,19,see,Casa Rosalva,0.59,candidate,has description; high-value type; has external URL,,,Nainari Lagoon,northamerica/mexico/ciudad_obregn/nainari_lagoon,0.385,,,missing_coordinates; has_external_url,http://www.visitobregon.com/See-And-Do/Interests/Museums-and-Galleries/Casa-Rosalva-Ciudad-Obregon-Sonora.html,https://en.wikivoyage.org/wiki/Ciudad_Obreg%C3%B3n
europe/switzerland/locarno,Locarno,Locarno,5,25,do,Moon and Stars Music Festival,0.59,candidate,has description; high-value type; has external URL,,,Madonna del Sasso,europe/switzerland/locarno/madonna_del_sasso,0.429,,,missing_coordinates; has_external_url,http://www.moonandstarslocarno.ch/,https://en.wikivoyage.org/wiki/Locarno
northamerica/canada/alberta/banff,Banff,Banff,45,93,do,Fishing,0.59,candidate,has description; high-value type; has external URL,,,Fuze Finer Dining,northamerica/canada/alberta/banff/fuze_finer_dining,0.417,,,missing_coordinates; has_external_url,https://www.banffadventures.com/Things-To-Do/summer/banff-fishing,https://en.wikivoyage.org/wiki/Banff
europe/netherlands/edam,Edam,Edam,5,13,see,Ton Tweewielers,0.59,candidate,has description; high-value type; has external URL,,,Grote Kerk,europe/netherlands/edam/grote_kerk,0.4,,,missing_coordinates; has_external_url,http://www.tontweewielers.nl,https://en.wikivoyage.org/wiki/Edam
asia/philippines/mindanaoisland/cagayandeoro,Cagayan de Oro,Cagayan de Oro,7,63,see,Cokaliong Shipping lines,0.59,candidate,has description; high-value type; has external URL,,,Christ the Divine Mercy Shrine,asia/philippines/mindanaoisland/cagayandeoro/christ_divine_mercy,0.32,,,missing_coordinates; has_external_url,http://www.cokaliongshipping.com,https://en.wikivoyage.org/wiki/Cagayan_de_Oro
africa/rwanda/kigali,Kigali,Kigali,17,54,see,Africa Guide Map of Kigali,0.59,candidate,has description; high-value type; has external URL,,,Gisimba Memorial Centre,africa/rwanda/kigali/gisimba_memorial,0.327,,,missing_coordinates; has_external_url,http://www.africaguidemaps.com/maps/kigali/,https://en.wikivoyage.org/wiki/Kigali
europe/belgium/brussels,Brussels,Brussels,14,68,see,Intercity from Luxembourg,0.59,candidate,has description; high-value type; has external URL,,,City Museum,europe/belgium/brussels/citymuseum,0.5,,,missing_coordinates; has_external_url,http://www.b-europe.com/,https://en.wikivoyage.org/wiki/Brussels
asia/thailand/phuket/patong,Patong,Patong,14,44,do,Orientala,0.59,candidate,has description; high-value type; has external URL,,,Tri Trang Beach,asia/thailand/phuket/patong/tri_trang_beach,0.417,,,missing_coordinates; has_external_url,http://www.orientaldephuket.com,https://en.wikivoyage.org/wiki/Patong
northamerica/unitedstates/maine/bangor,Bangor,Bangor (Maine),12,26,see,Cyr Bus Lines,0.59,candidate,has description; high-value type; has external URL,,,Bangor City Forest,northamerica/unitedstates/maine/bangor/city_forest,0.323,,,missing_coordinates; has_external_url,https://johntcyrandsons.com/daily-service,https://en.wikivoyage.org/wiki/Bangor_%28Maine%29
northamerica/unitedstates/ohio/dayton,Dayton,Dayton,13,51,do,Greek Festival,0.59,candidate,has description; high-value type; has external URL,,,Oregon Historic District,northamerica/unitedstates/ohio/dayton/oregon_historic_district,0.316,,,missing_coordinates; has_external_url,https://www.daytongreekfestival.com/,https://en.wikivoyage.org/wiki/Dayton
africa/southafrica/capetown,Cape Town,Cape Town,95,187,do,ThunderCity,0.59,candidate,has description; high-value type; has external URL,,,Tuynhuys,africa/southafrica/capetown/tuynhuys,0.421,,,missing_coordinates; has_external_url,http://www.thundercity.com,https://en.wikivoyage.org/wiki/Cape_Town
northamerica/unitedstates/california/oakland,Oakland,Oakland,16,181,see,The Joint Forces Journal,0.59,candidate,has description; high-value type; has external URL,,,Temescal,northamerica/unitedstates/california/oakland/temescal,0.357,,,missing_coordinates; has_external_url,http://jointforcesjournal.com,https://en.wikivoyage.org/wiki/Oakland
northamerica/canada/quebec/quebeccity,Québec City,Quebec City,39,125,do,Cross-country skiing and snowshoeing on Plains of Abraham,0.59,candidate,has description; high-value type; has external URL,,,Plains of Abraham,northamerica/canada/quebec/quebeccity/plains_of_abraham,0.459,,,missing_coordinates; has_external_url,http://ccbn-nbc.gc.ca/_en/index.php,https://en.wikivoyage.org/wiki/Quebec_City
europe/portugal/algarve/faro,Faro,Faro,15,30,do,SC Farense,0.59,candidate,has description; high-value type; has external URL,,,Cidade Velha,europe/portugal/algarve/faro/cidade_velha,0.364,,,missing_coordinates; has_external_url,https://www.scfarense.pt,https://en.wikivoyage.org/wiki/Faro
