world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/finland/lappeenranta,Lappeenranta,Lappeenranta,7,21,see,Sandcastle,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,61.0688,28.1842,Lappeenranta Fortress,europe/finland/lappeenranta/lappeenranta_fortress,0.696,0.304,1.149,has_external_url,http://hiekkalinna.lappeenranta.fi/en/,https://en.wikivoyage.org/wiki/Lappeenranta
europe/unitedkingdom/england/south_east/winchester,Winchester,Winchester (England),10,36,see,Winchester Science Centre & Planetarium,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.0598,-1.2654,Winchester City Museum,europe/unitedkingdom/england/south_east/winchester/winchester_city_museum,0.571,3.431,3.342,has_external_url,http://www.winchestersciencecentre.org/,https://en.wikivoyage.org/wiki/Winchester_%28England%29
northamerica/unitedstates/california/palo_alto,Palo Alto,Palo Alto,8,45,see,Cantor Center For The Arts,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.433,-122.171,Cantor Arts Center,northamerica/unitedstates/california/palo_alto/cantor_arts_center,0.65,0.622,1.599,has_external_url,http://museum.stanford.edu/,https://en.wikivoyage.org/wiki/Palo_Alto
europe/italy/lombardia/mantua,Mantua,Mantua,10,44,see,Palazzo d'Arco,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,45.160745,10.788947,Palazzo Ducale,europe/italy/lombardia/mantua/palazzo_ducale,0.714,0.449,9.308,has_external_url,http://www.museodarcomantova.it/sito/,https://en.wikivoyage.org/wiki/Mantua
asia/china/guangdong/foshan,Foshan,Foshan,8,25,see,Zumiao Temple,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,23.03,113.11,Renshou Temple,asia/china/guangdong/foshan/renshou_temple,0.593,1.425,0.459,has_external_url,http://www.fszumiao.com,https://en.wikivoyage.org/wiki/Foshan
europe/germany/northrhinewestphalia/recklinghausen,Recklinghausen,Recklinghausen,7,10,see,Recklinghausen substation,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.5611,7.20778,Kunsthalle Recklinghausen,europe/germany/northrhinewestphalia/recklinghausen/kunsthalle_recklinghausen,0.56,6.236,5.964,has_external_url,https://www.umspannwerk-recklinghausen.de,https://en.wikivoyage.org/wiki/Recklinghausen
northamerica/unitedstates/wisconsin/milwaukee,Milwaukee,Milwaukee,10,127,see,Charles Allis Art Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.053704,-87.890305,Harley-Davidson Museum,northamerica/unitedstates/wisconsin/milwaukee/harley_davidson_museum,0.696,3.656,2.265,has_external_url,http://www.charlesallis.org,https://en.wikivoyage.org/wiki/Milwaukee
northamerica/unitedstates/kansas/kansascity,Kansas City,Kansas City,16,127,do,Music Hall,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.09808,-94.58639,Arabia Steamboat Museum,northamerica/unitedstates/kansas/kansascity/steamboat_arabia_museum,0.633,0.367,0.747,has_external_url,http://www.kcstarlight.com/,https://en.wikivoyage.org/wiki/Kansas_City
asia/china/shaanxi/shenmu,Shenmu,Shenmu,2,5,see,Shenmu Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.84461379803778,110.48638851746534,Shimao Ruins and Museum,asia/china/shaanxi/shenmu/shimao_ruins,0.611,34.025,0.694,has_external_url,http://www.shmbwg.com/,https://en.wikivoyage.org/wiki/Shenmu
northamerica/canada/manitoba/winnipeg,Winnipeg,Winnipeg,22,164,see,Fire Fighters Museum of Winnipeg,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.9037,-97.1318,Ukrainian Cultural and Educational Centre,northamerica/canada/manitoba/winnipeg/ukrainian_cultural_centre,0.596,0.404,1.025,has_external_url,https://wpgfiremuseum.ca,https://en.wikivoyage.org/wiki/Winnipeg
europe/hungary/sopron,Sopron,Sopron,9,234,see,Synagogue,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.68525,16.59096,Domonkos Wine Bar,europe/hungary/sopron/domonkos_wine_bar,0.605,0.395,0.78,has_external_url,http://muemlekem.hu/muemlek?id=4999,https://en.wikivoyage.org/wiki/Sopron
europe/unitedkingdom/scotland/glasgow,Glasgow,Glasgow,32,184,see,Govan Stones,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,55.8645,-4.313,Riverside Museum,europe/unitedkingdom/scotland/glasgow/riverside_museum,0.583,0.417,3.938,has_external_url,https://www.thegovanstones.org.uk/,https://en.wikivoyage.org/wiki/Glasgow
asia/japan/honshu/hiroshima,Hiroshima,Hiroshima,8,99,see,Hiroshima City Museum of Contemporary Art,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.38638,132.473365,Hiroshima Museum of Art,asia/japan/honshu/hiroshima/hiroshima_museum_of_art,0.719,1.959,2.07,has_external_url,https://www.hiroshima-moca.jp,https://en.wikivoyage.org/wiki/Hiroshima
europe/poland/lublin,Lublin,Lublin,10,68,see,Majdanek State Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.22528,22.60633,Majdanek Memorial and Museum,europe/poland/lublin/majdanek,0.694,0.755,3.777,has_external_url,http://www.majdanek.eu,https://en.wikivoyage.org/wiki/Lublin
europe/norway/harstad,Harstad,Harstad,9,21,see,Harstad Kunstforening,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,68.806,16.5449,Harstad Church,europe/norway/harstad/harstad_church,0.571,0.57,0.674,has_external_url,https://harstad-kunstforening.no/,https://en.wikivoyage.org/wiki/Harstad
asia/china/hunan/changsha,Changsha,Changsha,50,47,see,Changsha Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,28.2454138759,112.9752452515,Changsha Chu Culture Museum,asia/china/hunan/changsha/chu_ethnic_museum,0.714,4.594,5.212,has_external_url,http://www.csm.hn.cn/,https://en.wikivoyage.org/wiki/Changsha
northamerica/unitedstates/california/goldcountry/jamestown,Jamestown,Jamestown (California),5,10,do,Jamestown Gold Panning,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.9454,-120.4308,Gold Panning,northamerica/unitedstates/california/goldcountry/jamestown/gold_panning,0.706,1.144,1.191,has_external_url,http://www.jamestowngoldpanning.com,https://en.wikivoyage.org/wiki/Jamestown_%28California%29
northamerica/unitedstates/california/oakland,Oakland,Oakland,16,181,see,The Museum of Art and Digital Entertainment,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.80199,-122.274356,African American Museum & Library at Oakland,northamerica/unitedstates/california/oakland/africanamericanmuseumlibrary,0.684,0.316,0.38,has_external_url,https://themade.org/,https://en.wikivoyage.org/wiki/Oakland
northamerica/unitedstates/florida/crystalriver,Crystal River,Crystal River,8,13,do,Hunter Springs Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,28.8952,-82.5924,Three Sisters Springs,northamerica/unitedstates/florida/crystalriver/three_sisters_springs,0.6,0.785,0.812,has_external_url,https://www.crystalriverfl.org/comserv/page/hunter-springs-park,https://en.wikivoyage.org/wiki/Crystal_River
europe/germany/badenwrttemberg/stuttgart,Stuttgart,Stuttgart,27,176,do,Zoo Wilhelma,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.8042,9.20771,Wilhelma Zoo and Botanical Garden,europe/germany/badenwrttemberg/stuttgart/wilhelma,0.693,0.307,3.509,has_external_url,http://www.wilhelma.de,https://en.wikivoyage.org/wiki/Stuttgart
northamerica/unitedstates/california/northcoast/trinidad,Trinidad,Trinidad (California),8,11,see,Little River State Beach,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.0161,-124.11,Trinidad State Beach,northamerica/unitedstates/california/northcoast/trinidad/trinidad_state_beach,0.682,6.551,5.583,has_external_url,http://www.parks.ca.gov/?page_id=419,https://en.wikivoyage.org/wiki/Trinidad_%28California%29
northamerica/unitedstates/california/long_beach,Long Beach,Long Beach,13,97,do,Long Beach Performing Arts Center,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,33.7653,-118.1894,Grand Prix of Long Beach,northamerica/unitedstates/california/long_beach/grand_prix_of_long_beach,0.663,0.337,0.459,has_external_url,http://www.longbeachcc.com/,https://en.wikivoyage.org/wiki/Long_Beach
europe/hungary/kecskemet,Kecskemét,Kecskemét,12,106,see,Saint Elisabeth Roman Catholic church,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.9029,19.6961,Hungarian Naïve Art Museum,europe/hungary/kecskemet/naive_art_museum,0.663,0.337,0.593,has_external_url,http://www.muemlekem.hu/muemlek?id=2231,https://en.wikivoyage.org/wiki/Kecskem%C3%A9t
europe/unitedkingdom/england/leicester_nottingham_and_east_midlands/derby,Derby,Derby,16,69,do,Derby Arboretum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.910584,-1.4723,Derby Market Hall,europe/unitedkingdom/england/leicester_nottingham_and_east_midlands/derby/derby_market_hall,0.625,1.346,1.442,has_external_url,https://www.inderby.org.uk/parks/derbys-parks-and-open-spaces/derby-arboretum/,https://en.wikivoyage.org/wiki/Derby
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/newtonabbot,Newton Abbot,Newton Abbot,8,8,see,Railway Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.530139,-3.603601,Bradley House,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/newtonabbot/bradley_house,0.593,1.632,0.541,has_external_url,http://www.museum-newtonabbot.org.uk/,https://en.wikivoyage.org/wiki/Newton_Abbot
asia/philippines/coron,Coron,Coron,16,24,do,Siete Pecadoes aka Seven Islands,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,11.98357,120.23075,Siete Pecados Marine Park,asia/philippines/coron/siete_pecados,0.596,6.081,3.244,has_external_url,https://www.openstreetmap.org/#map=17/11.98357/120.23075,https://en.wikivoyage.org/wiki/Coron
europe/azerbaijan/baku,Baku,Baku,52,148,do,Teze Bey Hamami,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.367111,49.827256,Teze Bazaar,europe/azerbaijan/baku/teze_bazaar,0.615,2.698,1.053,has_external_url,https://m.facebook.com/Tazebey.hamam/,https://en.wikivoyage.org/wiki/Baku
europe/unitedkingdom/england/manchester_liverpool_and_north_west/bolton,Bolton,Bolton,14,32,see,Bolton Steam Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,53.585,-2.4546,Bolton Market,europe/unitedkingdom/england/manchester_liverpool_and_north_west/bolton/bolton_market,0.562,1.717,1.785,has_external_url,https://www.nmes.org/,https://en.wikivoyage.org/wiki/Bolton
asia/china/jilin/changchun,Changchun,Changchun,50,41,see,Jilin Province Arts & Crafts Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.7816399698,125.4354848804,Jilin Provincial Museum,asia/china/jilin/changchun/jilin_provincial_museum,0.7,14.347,23.02,has_external_url,http://www.jlgymsg.com/,https://en.wikivoyage.org/wiki/Changchun
northamerica/unitedstates/arkansas/littlerock,Little Rock,Little Rock,14,93,see,KATV-7 Building,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.744722,-92.270278,Historic Arkansas Museum,northamerica/unitedstates/arkansas/littlerock/historic_arkansas_museum,0.583,0.417,1.779,has_external_url,http://www.katv.com/,https://en.wikivoyage.org/wiki/Little_Rock
asia/china/sichuanprovince/leshan,Leshan,Leshan,4,18,see,Oriental Buddha Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,29.5416779014,103.7738220338,Leshan Giant Buddha,asia/china/sichuanprovince/leshan/leshan_giant_buddha,0.66,0.34,0.861,has_external_url,http://www.scdffd.com/en/default/,https://en.wikivoyage.org/wiki/Leshan
northamerica/unitedstates/missouri/kansascity,Kansas City,Kansas City,56,127,see,The Money Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.07567,-94.58606,TWA Museum,northamerica/unitedstates/missouri/kansascity/twa_museum,0.636,4.424,2.8,has_external_url,https://www.kansascityfed.org/moneymuseum/,https://en.wikivoyage.org/wiki/Kansas_City
northamerica/unitedstates/california/oakland,Oakland,Oakland,16,181,see,Cathedral of Christ the Light,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.8105,-122.263,Chapel of the Chimes,northamerica/unitedstates/california/oakland/chapel_of_the_chimes,0.585,1.81,0.995,has_external_url,http://www.ctlcathedral.org/,https://en.wikivoyage.org/wiki/Oakland
asia/china/jiangsu_province/nanjing,Nanjing,Nanjing,51,72,see,Taiping Kingdom History Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,32.0227,118.7798,Jiangning Weaving Museum,asia/china/jiangsu_province/nanjing/nanjing_jiangning_weaving_museum,0.556,2.72,2.351,has_external_url,http://www.tptgmuseum.com/,https://en.wikivoyage.org/wiki/Nanjing
europe/netherlands/dordrecht,Dordrecht,Dordrecht,14,29,see,De Biesbosch,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.807222,4.764204,Biesbosch National Park,europe/netherlands/dordrecht/biesbosch,0.562,5.8,6.816,has_external_url,http://np-debiesbosch.nl/english-information/,https://en.wikivoyage.org/wiki/Dordrecht
asia/laos/luangprabang,Luang Prabang,Luang Prabang,15,64,see,Kuang Si Butterfly Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,19.7544,101.9974,Kuang Si Falls,asia/laos/luangprabang/kuang_si_falls,0.595,2.442,20.81,has_external_url,https://www.kuangsiwaterfalls.com/,https://en.wikivoyage.org/wiki/Luang_Prabang
europe/denmark/aarhus,Aarhus,Aarhus,12,232,do,Phono,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,56.16015,10.21226,Bispetorvet Dinosaur Footprint,europe/denmark/aarhus/bispetorv_dinosaur,0.641,0.359,1.175,has_external_url,https://phonoaarhus.dk/,https://en.wikivoyage.org/wiki/Aarhus
northamerica/canada/ontario/ottawa,Ottawa,Ottawa,23,271,see,Canada Agriculture and Food Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,45.38728,-75.70937,Canada Aviation and Space Museum,northamerica/canada/ontario/ottawa/canadian_aviation_space_museum,0.667,9.705,3.922,has_external_url,https://ingenium.ca/agriculture/,https://en.wikivoyage.org/wiki/Ottawa
asia/unitedarabemirates/rasalkhaimah,Ras Al Khaimah,Ras al Khaimah,13,14,see,Al Jazirah al Hamra Heritage Village,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,25.711118236052496,55.79776474851619,Al Jazirah Al Hamra Ghost Town,asia/unitedarabemirates/rasalkhaimah/al_jazirah_al_hamra,0.667,1.576,16.974,has_external_url,https://www.ajah.ae,https://en.wikivoyage.org/wiki/Ras_al_Khaimah
northamerica/unitedstates/colorado/coloradosprings,Colorado Springs,Colorado Springs,4,54,see,Helen Hunt Falls,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.788596,-104.90319,Seven Falls,northamerica/unitedstates/colorado/coloradosprings/seven_falls,0.667,3.069,8.428,has_external_url,http://www.springsgov.com/Page.asp?NavID=781,https://en.wikivoyage.org/wiki/Colorado_Springs
