world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/spain/aragon/zaragoza,Zaragoza,Zaragoza,12,57,see,Puerta del Carmen,0.89,candidate,has coordinates; has description; high-value type; strong travel term,41.64987,-0.88758,Museo Camón Aznar,europe/spain/aragon/zaragoza/camnaznar,0.467,0.932,0.606,needs_external_source,,https://en.wikivoyage.org/wiki/Zaragoza
asia/malaysia/bintulu,Bintulu,Bintulu,4,36,see,Pantai Tanjung Batu Bintulu,0.89,candidate,has coordinates; has description; high-value type; strong travel term,3.2098891,113.045154,Pasar Tamu,asia/malaysia/bintulu/pasar_tamu,0.378,2.815,2.509,needs_external_source,,https://en.wikivoyage.org/wiki/Bintulu
asia/malaysia/kotakinabalu,Kota Kinabalu,Kota Kinabalu,15,115,see,Perdana Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,5.949546,116.04854,Handicraft Market,asia/malaysia/kotakinabalu/handicraft_market,0.483,3.958,4.156,needs_external_source,,https://en.wikivoyage.org/wiki/Kota_Kinabalu
northamerica/unitedstates/california/big_sur,Big Sur,Big Sur,0,22,do,Ventana Wilderness,0.89,candidate,has coordinates; has description; high-value type; strong travel term,36.25,-121.67,,,0.0,,15.138,needs_external_source,,https://en.wikivoyage.org/wiki/Big_Sur
northamerica/unitedstates/california/livermore,Livermore,Livermore,10,27,do,Brushy Peak Regional Preserve,0.89,candidate,has coordinates; has description; high-value type; strong travel term,37.746982,-121.708274,Bankhead Theater,northamerica/unitedstates/california/livermore/bankhead_theater,0.4,8.877,8.931,needs_external_source,,https://en.wikivoyage.org/wiki/Livermore
europe/hungary/esztergom,Esztergom,Esztergom,6,86,see,Saint Anne (Downtown) Franciscan church,0.89,candidate,has coordinates; has description; high-value type; strong travel term,47.79051,18.7398,Christian Museum,europe/hungary/esztergom/christian_museum,0.318,0.862,0.536,needs_external_source,,https://en.wikivoyage.org/wiki/Esztergom
southamerica/venezuela/maracaibo,Maracaibo,Maracaibo,5,32,see,Baralt Theater,0.89,candidate,has coordinates; has description; high-value type; strong travel term,10.6423,-71.60812,Santa Bárbara Historic District,southamerica/venezuela/maracaibo/santa_barbara_district,0.356,3.11,4.047,needs_external_source,,https://en.wikivoyage.org/wiki/Maracaibo
europe/italy/sicily/messina,Messina,Messina,6,32,see,Sacrario di Cristo Re,0.89,candidate,has coordinates; has description; high-value type; strong travel term,38.19627,15.55169,Messina Cathedral and Astronomical Clock,europe/italy/sicily/messina/messina_cathedral,0.443,0.557,0.351,needs_external_source,,https://en.wikivoyage.org/wiki/Messina
asia/china/hubei/enshi,Enshi,Enshi,4,42,do,Phoenix Mountain National Forest Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,30.28135,109.489474,Enshi Grand Canyon,asia/china/hubei/enshi/enshi_grand_canyon,0.364,15.869,1.024,needs_external_source,,https://en.wikivoyage.org/wiki/Enshi
europe/germany/saxony/leipzig,Leipzig,Leipzig,16,133,do,Clara-Zetkin Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,51.33067,12.35564,Altes Rathaus,europe/germany/saxony/leipzig/altesrathaus,0.333,1.724,1.728,needs_external_source,,https://en.wikivoyage.org/wiki/Leipzig
northamerica/canada/ontario/hamilton,Hamilton,Hamilton (Ontario),18,97,see,Princess Point,0.89,candidate,has coordinates; has description; high-value type; strong travel term,43.2755725,-79.8966389,Hamilton Airport,northamerica/canada/ontario/hamilton/hamilton_airport,0.4,11.911,2.899,needs_external_source,,https://en.wikivoyage.org/wiki/Hamilton_%28Ontario%29
asia/china/shandong_province/taian,Tai'an,Tai'an,14,35,see,Daicong Gateway,0.89,candidate,has coordinates; has description; high-value type; strong travel term,36.2002,117.1245,Red Gate,asia/china/shandong_province/taian/red_gate,0.522,3.214,3.909,needs_external_source,,https://en.wikivoyage.org/wiki/Tai%27an
asia/myanmar/inlelake,Inle Lake,Inle Lake,1,42,see,Inthar Heritage House,0.89,candidate,has coordinates; has description; high-value type; strong travel term,20.4462433,96.8991116,Shwe Inn Thein,asia/myanmar/inlelake/shwe_inn_thein,0.286,2.344,10.583,needs_external_source,,https://en.wikivoyage.org/wiki/Inle_Lake
northamerica/unitedstates/newjersey/trenton,Trenton,Trenton,11,34,do,Cadwalader Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,40.2369,-74.7908,Chambersburg,northamerica/unitedstates/newjersey/trenton/chambersburg,0.37,4.724,2.806,needs_external_source,,https://en.wikivoyage.org/wiki/Trenton
europe/azerbaijan/saki,Sheki,Sheki,1,30,see,Juma Mosque,0.89,candidate,has coordinates; has description; high-value type; strong travel term,41.20252,47.18118,Eating Out,europe/azerbaijan/saki/eating_out,0.201,0.799,0.951,needs_external_source,,https://en.wikivoyage.org/wiki/Sheki
northamerica/unitedstates/montana/bozeman,Bozeman,Bozeman,7,37,see,Planet Bronze Art Gallery,0.89,candidate,has coordinates; has description; high-value type; strong travel term,45.688768,-111.044276,Montana Ale Works,northamerica/unitedstates/montana/bozeman/montana_ale_works,0.333,1.238,1.039,needs_external_source,,https://en.wikivoyage.org/wiki/Bozeman
asia/china/guangdong/foshan,Foshan,Foshan,8,25,do,Qiandeng Lake Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,23.0624,113.1405,Nanfeng Ancient Kiln,asia/china/guangdong/foshan/nanfeng_kiln,0.526,7.507,5.136,needs_external_source,,https://en.wikivoyage.org/wiki/Foshan
europe/ukraine/lviv,Lviv,Lviv,12,176,see,Temple of Svaty Apostola Andriia,0.89,candidate,has coordinates; has description; high-value type; strong travel term,49.85746,24.0123,Gasova Lampa,europe/ukraine/lviv/gasova_lampa,0.318,2.105,2.207,needs_external_source,,https://en.wikivoyage.org/wiki/Lviv
asia/indonesia/lombok/mataram,Mataram,Mataram,4,24,see,Masjid Raya Hubbul Wathan,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-8.580438,116.101687,Mayura Water Palace,asia/indonesia/lombok/mataram/mayura_water_palace,0.409,3.526,0.678,needs_external_source,,https://en.wikivoyage.org/wiki/Mataram
asia/india/karnataka/udupi,Udupi,Udupi,0,41,see,Pajaka Kshetra,0.89,candidate,has coordinates; has description; high-value type; strong travel term,13.2715,74.7921,,,0.0,,9.425,needs_external_source,,https://en.wikivoyage.org/wiki/Udupi
asia/india/kerala/munnar,Munnar,Munnar,5,54,see,Atukkad Waterfalls,0.89,candidate,has coordinates; has description; high-value type; strong travel term,10.053514716755236,77.05886079736274,Anamudi Peak,asia/india/kerala/munnar/anamudi_peak,0.4,12.575,3.725,needs_external_source,,https://en.wikivoyage.org/wiki/Munnar
northamerica/unitedstates/newyorkstate/troy,Troy,Troy (New York),7,34,see,Poesten Kill Gorge Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,42.720485,-73.680417,Prospect Park,northamerica/unitedstates/newyorkstate/troy/prospect_park,0.457,0.543,1.28,needs_external_source,,https://en.wikivoyage.org/wiki/Troy_%28New_York%29
asia/southkorea/suwon,Suwon,Suwon,6,131,see,Hangmijeong,0.89,candidate,has coordinates; has description; high-value type; strong travel term,37.27455,126.986412,Hwaseong Fortress,asia/southkorea/suwon/hwaseong_fortress_1,0.429,3.948,3.139,needs_external_source,,https://en.wikivoyage.org/wiki/Suwon
northamerica/mexico/mexicali,Mexicali,Mexicali,10,68,see,Centro Cívico,0.89,candidate,has coordinates; has description; high-value type; strong travel term,32.64197,-115.47346,Cerro del Centinela,northamerica/mexico/mexicali/cerro_centinela,0.5,27.15,2.752,needs_external_source,,https://en.wikivoyage.org/wiki/Mexicali
northamerica/unitedstates/utah/saltlakecity,Salt Lake City,Salt Lake City,62,174,do,9th West Market,0.89,candidate,has coordinates; has description; high-value type; strong travel term,40.7466375,-111.9182347,Jordan River Parkway,northamerica/unitedstates/utah/saltlakecity/jordan_river_parkway,0.541,0.459,3.016,needs_external_source,,https://en.wikivoyage.org/wiki/Salt_Lake_City
asia/china/hunan/yueyang,Yueyang,Yueyang,4,21,do,Yueyang Intangible Cultural Heritage Center,0.89,candidate,has coordinates; has description; high-value type; strong travel term,29.3478,113.0956,Yueyang Tower,asia/china/hunan/yueyang/yueyang_tower,0.393,4.164,3.903,needs_external_source,,https://en.wikivoyage.org/wiki/Yueyang
asia/southkorea/ulsan,Ulsan,Ulsan,29,31,see,Seonbawi (Standing Rock) and Simnidaebat (Bamboo Grove) of Taehwa River,0.89,candidate,has coordinates; has description; high-value type; strong travel term,35.581176,129.23288,Ulgi and Daewangam Park,asia/southkorea/ulsan/ulgi_daewangam_park,0.413,20.351,8.548,needs_external_source,,https://en.wikivoyage.org/wiki/Ulsan
asia/turkmenistan/ashgabat,Ashgabat,Ashgabat,7,59,see,Oguzhan Palace,0.89,candidate,has coordinates; has description; high-value type; strong travel term,37.93168,58.38463,Turkmen Cuisine,asia/turkmenistan/ashgabat/turkmen_cuisine,0.345,,13.058,needs_external_source,,https://en.wikivoyage.org/wiki/Ashgabat
europe/ukraine/lviv,Lviv,Lviv,12,176,do,Sviatoiurs'kyi park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,49.8386,24.0153,Svit Kavy,europe/ukraine/lviv/cafe_svit_kavy,0.5,1.219,1.229,needs_external_source,,https://en.wikivoyage.org/wiki/Lviv
europe/switzerland/nyon,Nyon,Nyon,8,19,see,UEFA Headquarters,0.89,candidate,has coordinates; has description; high-value type; strong travel term,46.371,6.2312,Château de Prangins,europe/switzerland/nyon/prangins_castle,0.303,3.033,1.418,needs_external_source,,https://en.wikivoyage.org/wiki/Nyon
europe/ukraine/lviv,Lviv,Lviv,12,176,do,Zalizni Vody Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,49.81943,24.03727,Gasova Lampa,europe/ukraine/lviv/gasova_lampa,0.345,2.711,2.542,needs_external_source,,https://en.wikivoyage.org/wiki/Lviv
northamerica/costarica/turrialba,Turrialba,Turrialba,5,9,see,Aquiares Waterfall,0.89,candidate,has coordinates; has description; high-value type; strong travel term,9.9331802,-83.7208843,Río Pacuare Rafting,northamerica/costarica/turrialba/rio_pacuare,0.432,12.394,5.567,needs_external_source,,https://en.wikivoyage.org/wiki/Turrialba
northamerica/unitedstates/massachusetts/salem,Salem,Salem (Massachusetts),11,81,see,Collins Cove Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,42.5291,-70.8872,Old Burying Point Cemetery,northamerica/unitedstates/massachusetts/salem/old_burying_point,0.326,1.01,0.909,needs_external_source,,https://en.wikivoyage.org/wiki/Salem_%28Massachusetts%29
northamerica/canada/ontario/muskoka/huntsville,Huntsville,Huntsville (Ontario),6,19,do,Skeleton Lake Beach,0.89,candidate,has coordinates; has description; high-value type; strong travel term,45.26665,-79.4146,Muskoka Heritage Place,northamerica/canada/ontario/muskoka/huntsville/muskoka_heritage_place,0.39,17.121,16.72,needs_external_source,,https://en.wikivoyage.org/wiki/Huntsville_%28Ontario%29
asia/indonesia/java/borobudur,Borobudur,Borobudur,5,10,see,Candi Ngawen,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-7.604,110.27243,Kedu Plain Cycling,asia/indonesia/java/borobudur/kedu_plain_viewpoint,0.267,6.161,7.577,needs_external_source,,https://en.wikivoyage.org/wiki/Borobudur
northamerica/britishvirginislands/jostvandyke,Jost Van Dyke,Jost Van Dyke,6,28,do,Majohnny Hill,0.89,candidate,has coordinates; has description; high-value type; strong travel term,18.4526,-64.7516,Sandy Cay,northamerica/britishvirginislands/jostvandyke/sandy_cay,0.364,4.785,1.078,needs_external_source,,https://en.wikivoyage.org/wiki/Jost_Van_Dyke
asia/india/maharashtra/nashik,Nashik,Nashik,5,73,see,Bhaktidham,0.89,candidate,has coordinates; has description; high-value type; strong travel term,20.013504,73.792816,Trimbakeshwar,asia/india/maharashtra/nashik/trimbakeshwar_tri,0.435,28.844,0.368,needs_external_source,,https://en.wikivoyage.org/wiki/Nashik
europe/italy/sicily/trapani,Trapani,Trapani,7,70,see,Church of Saint Lucy,0.89,candidate,has coordinates; has description; high-value type; strong travel term,38.017023,12.502581,Trapani Cathedral,europe/italy/sicily/trapani/trapani_cathedral,0.52,0.48,0.658,needs_external_source,,https://en.wikivoyage.org/wiki/Trapani
asia/israel/nethanya,Netanya,Netanya,9,22,see,Gallery on the Cliff,0.89,candidate,has coordinates; has description; high-value type; strong travel term,32.334477,34.851479,Alexander River,asia/israel/nethanya/alexander_river,0.387,7.763,1.452,needs_external_source,,https://en.wikivoyage.org/wiki/Netanya
