world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/rhodeisland/narragansett,Narragansett,Narragansett,12,86,do,Narragansett Bikes Inc.,0.74,candidate,has coordinates; has description; high-value type; has external URL,41.4767,-71.4357,Narragansett Town Beach,northamerica/unitedstates/rhodeisland/narragansett/narragansett_town_beach,0.667,4.66,5.248,has_external_url,http://nbxbikes.com/,https://en.wikivoyage.org/wiki/Narragansett
europe/iceland/akureyri,Akureyri,Akureyri,10,34,do,Hof,0.74,candidate,has coordinates; has description; high-value type; has external URL,65.6834544,-18.0897315,Akureyri Art Museum,europe/iceland/akureyri/akureyri_art_museum,0.646,0.354,0.116,has_external_url,http://www.mak.is/,https://en.wikivoyage.org/wiki/Akureyri
europe/lithuania/kaunas,Kaunas,Kaunas,16,90,do,Kaunas Aeroclub,0.74,candidate,has coordinates; has description; high-value type; has external URL,54.879,23.8822,Kaunas Castle,europe/lithuania/kaunas/kaunas_castle,0.643,2.242,2.564,has_external_url,http://aerokaunas.lt/,https://en.wikivoyage.org/wiki/Kaunas
northamerica/unitedstates/ohio/youngstown,Youngstown,Youngstown (Ohio),5,30,see,Stambaugh Auditorium,0.74,candidate,has coordinates; has description; high-value type; has external URL,41.113889,-80.651944,Powers Auditorium,northamerica/unitedstates/ohio/youngstown/powers_auditorium,0.649,1.305,1.144,has_external_url,http://www.stambaughauditorium.com,https://en.wikivoyage.org/wiki/Youngstown_%28Ohio%29
northamerica/unitedstates/california/carlsbad,Carlsbad,Carlsbad (California),6,21,do,Carlsbad Village Street Faire,0.74,candidate,has coordinates; has description; high-value type; has external URL,33.1611,-117.3489,The Carlsbad Flower Fields,northamerica/unitedstates/california/carlsbad/carlsbad_flower_fields,0.627,4.583,0.369,has_external_url,http://www.carlsbad.org/event/carlsbad-village-faire/,https://en.wikivoyage.org/wiki/Carlsbad_%28California%29
europe/germany/hessen/kassel,Kassel,Kassel,19,95,do,Kurhessen Therme,0.74,candidate,has coordinates; has description; high-value type; has external URL,51.3135,9.42675,Hessian State Museum,europe/germany/hessen/kassel/hessian_state_museum,0.556,4.386,4.948,has_external_url,http://www.kurhessen-therme.de/,https://en.wikivoyage.org/wiki/Kassel
northamerica/nicaragua/len,León,León (Nicaragua),12,79,do,Centro Recreativo Riverside Splash,0.74,candidate,has coordinates; has description; high-value type; has external URL,12.42953,-86.87752,Museo de Tradiciones y Leyendas,northamerica/nicaragua/len/museo_tradiciones_leyendas,0.685,0.315,0.566,has_external_url,https://www.facebook.com/RiversideSplash1/,https://en.wikivoyage.org/wiki/Le%C3%B3n_%28Nicaragua%29
northamerica/canada/ontario/niagrafalls,Niagara Falls,Niagara Falls (Ontario),10,83,see,Bird Kingdom,0.74,candidate,has coordinates; has description; high-value type; has external URL,43.0926,-79.0687,Clifton Hill,northamerica/canada/ontario/niagrafalls/clifton_hill,0.58,0.42,1.6,has_external_url,http://www.birdkingdom.ca/,https://en.wikivoyage.org/wiki/Niagara_Falls_%28Ontario%29
northamerica/unitedstates/southcarolina/florence,Florence,Florence (South Carolina),3,8,see,Florence National Cemetery,0.74,candidate,has coordinates; has description; high-value type; has external URL,34.18197,-79.75201,Florence Stockade,northamerica/unitedstates/southcarolina/florence/florence_stockade,0.605,1.126,1.783,has_external_url,https://www.cem.va.gov/cems/nchp/florence.asp,https://en.wikivoyage.org/wiki/Florence_%28South_Carolina%29
northamerica/unitedstates/nevada/lasvegas,Las Vegas,Las Vegas,110,27,see,El Salvador,0.74,candidate,has coordinates; has description; high-value type; has external URL,36.1769,-115.0622,Shalimar,northamerica/unitedstates/nevada/lasvegas/shalimar,0.625,,7.81,has_external_url,https://rree.gob.sv/,https://en.wikivoyage.org/wiki/Las_Vegas
australiaandpacific/australia/victoria/midura,Mildura,Mildura,9,11,see,Australian Inland Botanic Gardens,0.74,candidate,has coordinates; has description; high-value type; has external URL,-34.136,142.139,Mildura Botanic Gardens,australiaandpacific/australia/victoria/midura/mildura_botanic_gardens,0.679,5.405,5.707,has_external_url,http://www.aibg.live/,https://en.wikivoyage.org/wiki/Mildura
europe/spain/blanes,Blanes,Blanes,4,57,do,Blanes Sub,0.74,candidate,has coordinates; has description; high-value type; has external URL,41.675391,2.800317,Blanes Harbour,europe/spain/blanes/harbour,0.667,0.477,0.588,has_external_url,http://www.blanes-sub.com/,https://en.wikivoyage.org/wiki/Blanes
australiaandpacific/australia/westernaustralia/albany,Albany,Albany (Western Australia),15,46,see,Albany Wind Farm,0.74,candidate,has coordinates; has description; high-value type; has external URL,-35.0581,117.783,Albany Heritage Park,australiaandpacific/australia/westernaustralia/albany/albany_heritage_park,0.611,10.005,9.88,has_external_url,http://www.rainbowcoast.com.au/areas/albany/albanywindfarm.htm,https://en.wikivoyage.org/wiki/Albany_%28Western_Australia%29
asia/china/jiangsu_province/huaian,Huai'an,Huai'an,7,20,see,Zhou Enlai's former residence,0.74,candidate,has coordinates; has description; high-value type; has external URL,33.50823,119.13703,Zhou Enlai Memorial Hall,asia/china/jiangsu_province/huaian/zhou_enlai_memorial,0.566,0.765,1.124,has_external_url,http://english.zeljnjq.com/,https://en.wikivoyage.org/wiki/Huai%27an
europe/denmark/aarhus,Aarhus,Aarhus,12,232,do,Aarhus Watersports Complex,0.74,candidate,has coordinates; has description; high-value type; has external URL,56.16424,10.22469,Aarhus Cathedral,europe/denmark/aarhus/aarhus_cathedral,0.571,1.124,1.772,has_external_url,https://aarhuswatersportscomplex.dk,https://en.wikivoyage.org/wiki/Aarhus
northamerica/canada/britishcolumbia/golden,Golden,Golden (British Columbia),9,35,see,Kicking Horse Country Chamber of Commerce,0.74,candidate,has coordinates; has description; high-value type; has external URL,51.30157,-116.96614,Kicking Horse Mountain Resort,northamerica/canada/britishcolumbia/golden/kicking_horse_mountain_resort,0.629,8.569,0.291,has_external_url,https://www.goldenchamber.bc.ca/,https://en.wikivoyage.org/wiki/Golden_%28British_Columbia%29
northamerica/unitedstates/massachusetts/pittsfield,Pittsfield,Pittsfield,11,32,do,Onota Boat Livery,0.74,candidate,has coordinates; has description; high-value type; has external URL,42.478658,-73.269483,Onota Lake,northamerica/unitedstates/massachusetts/pittsfield/onota_lake,0.593,1.291,3.565,has_external_url,http://www.onotaboat.com,https://en.wikivoyage.org/wiki/Pittsfield
europe/germany/northrhinewestphalia/mnster,Münster,Münster,7,47,do,Solaaris,0.74,candidate,has coordinates; has description; high-value type; has external URL,51.9575,7.6151,Pablo Picasso Museum,europe/germany/northrhinewestphalia/mnster/picasso_museum,0.693,0.307,0.888,has_external_url,https://aaseeschiffahrt.overschmidt.de/solaaris/,https://en.wikivoyage.org/wiki/M%C3%BCnster
northamerica/unitedstates/florida/lake_wales,Lake Wales,Lake Wales,4,40,see,Lake Wales Little Theater,0.74,candidate,has coordinates; has description; high-value type; has external URL,27.907212,-81.585492,Dixie Walesbilt Hotel,northamerica/unitedstates/florida/lake_wales/dixie_walesbilt_hotel,0.565,0.738,0.646,has_external_url,http://www.lwlt.org,https://en.wikivoyage.org/wiki/Lake_Wales
europe/italy/liguria/genoa,Genoa,Genoa,52,61,see,Lanterna di Genova,0.74,candidate,has coordinates; has description; high-value type; has external URL,44.404581,8.904547,Acquario di Genova,europe/italy/liguria/genoa/acquario_di_genova,0.667,1.371,2.348,has_external_url,http://www.liguri.org/lanterna,https://en.wikivoyage.org/wiki/Genoa
northamerica/unitedstates/newyorkstate/syracuse,Syracuse,Syracuse (New York),11,70,do,The Great New York State Fair,0.74,candidate,has coordinates; has description; high-value type; has external URL,43.075,-76.22,Green Lakes State Park,northamerica/unitedstates/newyorkstate/syracuse/green_lakes,0.638,20.229,6.61,has_external_url,http://nysfair.ny.gov/,https://en.wikivoyage.org/wiki/Syracuse_%28New_York%29
northamerica/unitedstates/california/palo_alto,Palo Alto,Palo Alto,8,45,do,Hot Tubs at Watercourse Way,0.74,candidate,has coordinates; has description; high-value type; has external URL,37.44118,-122.15853,HP Garage,northamerica/unitedstates/california/palo_alto/hp_garage,0.608,0.392,0.369,has_external_url,https://watercourseway.com/tub-rooms/,https://en.wikivoyage.org/wiki/Palo_Alto
europe/unitedkingdom/scotland/ayr,Ayr,Ayr (Scotland),8,36,do,Cutty-Sark Centre,0.74,candidate,has coordinates; has description; high-value type; has external URL,55.46438993774982,-4.630671091472796,Gaiety Theatre,europe/unitedkingdom/scotland/ayr/gaiety_theatre,0.663,0.337,0.718,has_external_url,https://destinationsouthayrshire.co.uk/cutty-sark-centre/,https://en.wikivoyage.org/wiki/Ayr_%28Scotland%29
northamerica/unitedstates/nevada/carsoncity,Carson City,Carson City,8,25,see,Nevada Governor Mansion,0.74,candidate,has coordinates; has description; high-value type; has external URL,39.1675,-119.773056,Orion Clemens House,northamerica/unitedstates/nevada/carsoncity/orion_clemens_house,0.606,0.394,0.535,has_external_url,https://www.nps.gov/nr/travel/nevada/gov.htm,https://en.wikivoyage.org/wiki/Carson_City
europe/hungary/kecskemet,Kecskemét,Kecskemét,12,106,see,Ar-avan Limited Partnership,0.74,candidate,has coordinates; has description; high-value type; has external URL,46.90494,19.6867,Cseresznyés Étterem,europe/hungary/kecskemet/cseresznyes_etterem,0.692,0.308,0.497,has_external_url,http://www.car-avan.hu,https://en.wikivoyage.org/wiki/Kecskem%C3%A9t
australiaandpacific/newzealand/south_island/otago/wanaka,Wanaka,Wanaka,8,27,do,The Sauna Wānaka,0.74,candidate,has coordinates; has description; high-value type; has external URL,-44.6643,169.1484,Lake Wānaka,australiaandpacific/newzealand/south_island/otago/wanaka/lake_wanaka,0.696,3.972,3.455,has_external_url,https://www.thesaunawanaka.co.nz/,https://en.wikivoyage.org/wiki/Wanaka
europe/russia/murmansk,Murmansk,Murmansk,13,21,do,Oceanarium,0.74,candidate,has coordinates; has description; high-value type; has external URL,68.994599,33.0895423,Murmansk Oceanarium,europe/russia/murmansk/oceanarium,0.69,0.409,2.72,has_external_url,http://www.okeanarium51.ru,https://en.wikivoyage.org/wiki/Murmansk
asia/india/westbengal/kalimpong,Kalimpong,Kalimpong,8,20,do,Triveni Camping,0.74,candidate,has coordinates; has description; high-value type; has external URL,27.0796,88.4308,Teesta River Rafting,asia/india/westbengal/kalimpong/teesta_rafting,0.571,2.181,3.982,has_external_url,https://www.trivenicampingbooking.com/,https://en.wikivoyage.org/wiki/Kalimpong
northamerica/unitedstates/california/santa_barbara,Santa Barbara,Santa Barbara,17,107,do,Arlington Theater,0.74,candidate,has coordinates; has description; high-value type; has external URL,34.4246,-119.7065,Santa Barbara County Courthouse,northamerica/unitedstates/california/santa_barbara/county_courthouse,0.628,0.372,0.446,has_external_url,https://www.arlingtontheatresb.com/,https://en.wikivoyage.org/wiki/Santa_Barbara
asia/china/zhejiang/hangzhou,Hangzhou,Hangzhou,21,79,do,Impression West Lake,0.74,candidate,has coordinates; has description; high-value type; has external URL,30.2525,120.13,West Lake (Xihu),asia/china/zhejiang/hangzhou/west_lake,0.621,1.455,7.237,has_external_url,http://www.hzyxxh.com,https://en.wikivoyage.org/wiki/Hangzhou
australiaandpacific/australia/newsouthwales/byronbay,Byron Bay,Byron Bay,7,35,do,Byron Bay Dive Centre,0.74,candidate,has coordinates; has description; high-value type; has external URL,-28.643387,153.612224,Byron Bay Bluesfest,australiaandpacific/australia/newsouthwales/byronbay/bluesfest,0.65,8.957,0.003,has_external_url,http://www.byronbaydivecentre.com.au/,https://en.wikivoyage.org/wiki/Byron_Bay
northamerica/unitedstates/california/orangecounty/fullerton,Fullerton,Fullerton,8,27,see,Fullerton College,0.74,candidate,has coordinates; has description; high-value type; has external URL,33.874763,-117.919538,Fullerton Arboretum,northamerica/unitedstates/california/orangecounty/fullerton/arboretum,0.667,3.497,1.012,has_external_url,https://www.fullcoll.edu/,https://en.wikivoyage.org/wiki/Fullerton
europe/italy/piemonte/turin,Turin,Turin,55,105,do,Teatro Colosseo,0.74,candidate,has coordinates; has description; high-value type; has external URL,45.0523,7.6793,Teatro Regio,europe/italy/piemonte/turin/teatro_regio,0.667,2.248,1.742,has_external_url,https://www.teatrocolosseo.it/,https://en.wikivoyage.org/wiki/Turin
northamerica/mexico/mazatlan,Mazatlan,Mazatlan,23,56,see,Gran Acuario Mazatlán,0.74,candidate,has coordinates; has description; high-value type; has external URL,23.228403,-106.42765,Faro Mazatlan,northamerica/mexico/mazatlan/faro_mazatlan,0.647,5.649,2.847,has_external_url,http://acuariomazatlan.com/,https://en.wikivoyage.org/wiki/Mazatlan
europe/italy/lombardia/mantua,Mantua,Mantua,10,44,see,Casa della Beata Osanna Andreasi,0.74,candidate,has coordinates; has description; high-value type; has external URL,45.1533534,10.7940245,Palazzo Te,europe/italy/lombardia/mantua/palazzo_te,0.682,0.318,9.819,has_external_url,http://www.comune.mantova.gov.it/index.php/museums-and-monuments/the-home-of-the-blessed-osanna-andreasi,https://en.wikivoyage.org/wiki/Mantua
europe/france/aquitaine/larochelle,La Rochelle,La Rochelle,20,33,see,Musée des Automates,0.74,candidate,has coordinates; has description; high-value type; has external URL,46.1517,-1.1562,Musée Maritime,europe/france/aquitaine/larochelle/musee_maritime,0.69,0.736,0.958,has_external_url,https://museeslarochelle.com/,https://en.wikivoyage.org/wiki/La_Rochelle
