world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/india/rajasthan/jodhpur,Jodhpur,Jodhpur,23,34,see,Baba Ramdev Temple,0.66,candidate,has coordinates; high-value type; strong travel term,26.27125,72.99367,Kali Mata Temple,asia/india/rajasthan/jodhpur/kali_mata_temple,0.588,3.275,4.719,needs_external_source,,https://en.wikivoyage.org/wiki/Jodhpur
asia/iran/khoram_abad,Khorramabad,Khorramabad,4,9,see,Ghamari Cave,0.66,candidate,has coordinates; high-value type; strong travel term,33.492108,48.345572,Gerdab-e Sangi,asia/iran/khoram_abad/gerdab_e_sangi,0.682,0.318,1.063,needs_external_source,,https://en.wikivoyage.org/wiki/Khorramabad
europe/ireland/rosslare,Rosslare,Rosslare,2,16,see,Rosslare Beach,0.66,candidate,has coordinates; high-value type; strong travel term,52.29,-6.39,Rosslare Strand,europe/ireland/rosslare/rosslare_strand,0.69,1.893,1.836,needs_external_source,,https://en.wikivoyage.org/wiki/Rosslare
europe/lithuania/trakai,Trakai,Trakai,8,12,see,Old Castle,0.66,candidate,has coordinates; high-value type; strong travel term,54.605,24.984,Trakai Island Castle,europe/lithuania/trakai/trakai_island_castle,0.6,6.215,6.157,needs_external_source,,https://en.wikivoyage.org/wiki/Trakai
asia/malaysia/sarawak/kuching,Kuching,Kuching,13,75,see,Orchid Garden,0.66,candidate,has coordinates; high-value type; strong travel term,1.566,110.3479,The Astana,asia/malaysia/sarawak/kuching/the_astana,0.63,0.37,0.748,needs_external_source,,https://en.wikivoyage.org/wiki/Kuching
asia/indonesia/irianjaya/manokwari,Manokwari,Manokwari,4,7,see,Dosa Beach,0.66,candidate,has coordinates; high-value type; strong travel term,-0.921563,134.044438,Amban Beach,asia/indonesia/irianjaya/manokwari/amban_beach,0.667,8.886,6.937,needs_external_source,,https://en.wikivoyage.org/wiki/Manokwari
europe/spain/ceuta,Ceuta,Ceuta,11,29,do,Mediterraneo Marine Park,0.66,candidate,has coordinates; high-value type; strong travel term,35.889627,-5.309843,Murallas Reales (Royal Walls),europe/spain/ceuta/murallas_reales,0.589,0.411,4.174,needs_external_source,,https://en.wikivoyage.org/wiki/Ceuta
europe/russia/novgorod,Novgorod,Novgorod,11,58,see,Church of Peter and Paul,0.66,candidate,has coordinates; high-value type; strong travel term,58.533158,31.278881,Zverin Monastery,europe/russia/novgorod/zverin_monastery,0.665,0.335,1.365,needs_external_source,,https://en.wikivoyage.org/wiki/Novgorod
northamerica/unitedstates/newyorkstate/ithaca_tompkins_c,Ithaca,Ithaca (New York),19,87,do,Stewart Park,0.66,candidate,has coordinates; high-value type; strong travel term,42.46133,-76.5032,State Theatre,northamerica/unitedstates/newyorkstate/ithaca_tompkins_c/state_theatre,0.56,2.477,2.469,needs_external_source,,https://en.wikivoyage.org/wiki/Ithaca_%28New_York%29
northamerica/unitedstates/illinois/collinsville,Collinsville,Collinsville (Illinois),9,10,see,City Museum,0.66,candidate,has coordinates; high-value type; strong travel term,38.66827,-89.99003,World's Largest Catsup Bottle,northamerica/unitedstates/illinois/collinsville/worlds_largest_catsup_bottle,0.618,0.382,0.531,needs_external_source,,https://en.wikivoyage.org/wiki/Collinsville_%28Illinois%29
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/doncaster,Doncaster,Doncaster,5,48,do,Castle Park,0.66,candidate,has coordinates; high-value type; strong travel term,53.5344,-1.07807,Doncaster Market,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/doncaster/corn_exchange_market,0.667,3.756,3.884,needs_external_source,,https://en.wikivoyage.org/wiki/Doncaster
northamerica/unitedstates/ohio/zanesville,Zanesville,Zanesville,5,22,do,Zanes Landing Park,0.66,candidate,has coordinates; high-value type; strong travel term,39.9429,-82.0106,Zanesville Museum of Art,northamerica/unitedstates/ohio/zanesville/zanesville_museum_of_art,0.647,0.353,0.566,needs_external_source,,https://en.wikivoyage.org/wiki/Zanesville
northamerica/unitedstates/michigan/muskegon,Muskegon,Muskegon,13,29,do,PJ Hoffmaster State Park,0.66,candidate,has coordinates; high-value type; strong travel term,43.1239,-86.265,Muskegon State Park,northamerica/unitedstates/michigan/muskegon/muskegon_state_park,0.651,17.02,12.338,needs_external_source,,https://en.wikivoyage.org/wiki/Muskegon
asia/india/andhrapradesh/visakhapatnam,Visakhapatnam,Visakhapatnam,11,44,do,Sagarnagar Beach,0.66,candidate,has coordinates; high-value type; strong travel term,17.7617,83.36,Rushikonda Beach,asia/india/andhrapradesh/visakhapatnam/rushikonda_beach,0.562,1.557,10.445,needs_external_source,,https://en.wikivoyage.org/wiki/Visakhapatnam
europe/unitedkingdom/northernireland/belfast,Belfast,Belfast,25,97,see,Cave Hill,0.66,candidate,has coordinates; high-value type; strong travel term,54.647,-5.951,Cave Hill Country Park,europe/unitedkingdom/northernireland/belfast/cave_hill,0.581,1.687,5.694,needs_external_source,,https://en.wikivoyage.org/wiki/Belfast
europe/ireland/waterford,Waterford,Waterford,6,48,see,Beach Tower,0.66,candidate,has coordinates; high-value type; strong travel term,52.2611,-7.1138,Reginald's Tower,europe/ireland/waterford/reginalds_tower,0.593,0.577,0.129,needs_external_source,,https://en.wikivoyage.org/wiki/Waterford
europe/slovakia/bratislava,Bratislava,Bratislava,51,87,see,Main Indoor Market,0.66,candidate,has coordinates; high-value type; strong travel term,48.15745,17.1261,Main Square (Hlavné námestie),europe/slovakia/bratislava/main_square,0.552,2.017,0.429,needs_external_source,,https://en.wikivoyage.org/wiki/Bratislava
northamerica/unitedstates/florida/pensacola_beach,Pensacola Beach,Pensacola Beach,2,30,see,Pensacola Beach Visitor Information Center,0.66,candidate,has coordinates; high-value type; strong travel term,30.33317,-87.1411,Pensacola Beach Boardwalk,northamerica/unitedstates/florida/pensacola_beach/pensacola_beach_boardwalk,0.567,0.587,0.588,needs_external_source,,https://en.wikivoyage.org/wiki/Pensacola_Beach
asia/turkey/kusadasi,Kuşadası,Kuşadası,9,15,do,Pamucak Beach,0.66,candidate,has coordinates; high-value type; strong travel term,37.944,27.274,Ladies Beach (Kadınlar Denizi),asia/turkey/kusadasi/ladies_beach,0.56,11.339,9.503,needs_external_source,,https://en.wikivoyage.org/wiki/Ku%C5%9Fadas%C4%B1
europe/serbia/kosovoprovince/peja,Peja,Peja,8,64,see,Teftedar Mosque,0.66,candidate,has coordinates; high-value type; strong travel term,42.65825,20.30101,Bajrakli Mosque,europe/serbia/kosovoprovince/peja/bajrakli_mosque,0.6,0.822,1.052,needs_external_source,,https://en.wikivoyage.org/wiki/Peja
northamerica/unitedstates/california/long_beach,Long Beach,Long Beach,13,97,do,Rosie's Dog Beach,0.66,candidate,has coordinates; high-value type; strong travel term,33.755,-118.14,Port of Long Beach,northamerica/unitedstates/california/long_beach/long_beach_port,0.571,7.087,5.018,needs_external_source,,https://en.wikivoyage.org/wiki/Long_Beach
europe/serbia/kosovoprovince/peja,Peja,Peja,8,64,see,Kurshumli Mosque,0.66,candidate,has coordinates; high-value type; strong travel term,42.6601,20.2999,Haxhi Zeka Mill,europe/serbia/kosovoprovince/peja/haxhi_zeka_mill,0.678,0.322,0.95,needs_external_source,,https://en.wikivoyage.org/wiki/Peja
europe/unitedkingdom/scotland/glasgow,Glasgow,Glasgow,32,184,see,Linn Park,0.66,candidate,has coordinates; high-value type; strong travel term,55.8048,-4.2605,Kelvingrove Park,europe/unitedkingdom/scotland/glasgow/kelvingrove_park,0.64,7.36,6.3,needs_external_source,,https://en.wikivoyage.org/wiki/Glasgow
asia/srilanka/kandy,Kandy,Kandy,50,51,see,Embekka Temple,0.66,candidate,has coordinates; high-value type; strong travel term,7.2180248,80.5637063,Embekke Devale,asia/srilanka/kandy/embekke_devale,0.643,4.016,11.473,needs_external_source,,https://en.wikivoyage.org/wiki/Kandy
europe/unitedkingdom/england/manchester_liverpool_and_north_west/wigan,Wigan,Wigan,5,9,see,The monument,0.66,candidate,has coordinates; high-value type; strong travel term,53.555,-2.628,Mab's Cross,europe/unitedkingdom/england/manchester_liverpool_and_north_west/wigan/mabs_cross,0.597,0.403,1.037,needs_external_source,,https://en.wikivoyage.org/wiki/Wigan
northamerica/unitedstates/utah/saltlakecity,Salt Lake City,Salt Lake City,62,174,do,Murray Park,0.66,candidate,has coordinates; high-value type; strong travel term,40.659877,-111.8822977,Liberty Park,northamerica/unitedstates/utah/saltlakecity/liberty_park,0.609,8.834,11.097,needs_external_source,,https://en.wikivoyage.org/wiki/Salt_Lake_City
europe/unitedkingdom/scotland/northberwick,North Berwick,North Berwick,15,21,see,Dirleton Castle,0.66,candidate,has coordinates; high-value type; strong travel term,56.0457,-2.7785,Tantallon Castle,europe/unitedkingdom/scotland/northberwick/tantallon_castle,0.645,8.036,3.833,needs_external_source,,https://en.wikivoyage.org/wiki/North_Berwick
asia/turkey/fethiye,Fethiye,Fethiye,17,8,see,Fethiye Island,0.66,candidate,has coordinates; high-value type; strong travel term,36.65,29.102,Gemiler Island,asia/turkey/fethiye/gemiler_island,0.714,11.129,3.321,needs_external_source,,https://en.wikivoyage.org/wiki/Fethiye
europe/france/normandybrittany/saintmalo,Saint Malo,Saint-Malo,10,16,see,Fort de la Conchée,0.66,candidate,has coordinates; high-value type; strong travel term,48.6836,-2.0442,Fort National,europe/france/normandybrittany/saintmalo/fort_national,0.56,3.561,4.018,needs_external_source,,https://en.wikivoyage.org/wiki/Saint-Malo
europe/russia/suzdal,Suzdal,Suzdal,7,42,see,Cathedral of Rizopolozhensky,0.66,candidate,has coordinates; high-value type; strong travel term,56.4241,40.446,Rizopolozhensky Monastery,europe/russia/suzdal/rizopolozhensky_monastery,0.622,0.378,0.551,needs_external_source,,https://en.wikivoyage.org/wiki/Suzdal
asia/india/maharashtra/nashik,Nashik,Nashik,5,73,see,Sundarnarayan Temple,0.66,candidate,has coordinates; high-value type; strong travel term,20.006884,73.791751,Kalaram Temple,asia/india/maharashtra/nashik/kalaram_temple,0.647,1.337,0.51,needs_external_source,,https://en.wikivoyage.org/wiki/Nashik
asia/china/zhejiang/zhoushan,Zhoushan,Zhoushan,4,13,see,East Pole (Dongji) island,0.66,candidate,has coordinates; high-value type; strong travel term,30.1,122.4,Shengsi Islands,asia/china/zhejiang/zhoushan/shengsi_islands,0.581,68.741,20.962,needs_external_source,,https://en.wikivoyage.org/wiki/Zhoushan
northamerica/unitedstates/ohio/chillicothe,Chillicothe,Chillicothe (Ohio),5,37,see,Chillicothe Railroad Museum,0.66,candidate,has coordinates; high-value type; strong travel term,39.33592,-82.98331,Yoctangee Park,northamerica/unitedstates/ohio/chillicothe/yoctangee_park,0.608,0.392,0.321,needs_external_source,,https://en.wikivoyage.org/wiki/Chillicothe_%28Ohio%29
europe/greece/meteora,Meteora,Meteora,8,10,do,trail from Kalambaka to Holy Trinity,0.66,candidate,has coordinates; high-value type; strong travel term,39.71208,21.63105,Monastery of the Holy Trinity (Agia Triada),europe/greece/meteora/monastery_of_holy_trinity,0.575,0.425,1.097,needs_external_source,,https://en.wikivoyage.org/wiki/Meteora
europe/ukraine/ivanofrankivsk,Ivano-Frankivsk,Ivano-Frankivsk,9,103,see,Ivano-Frankivsk historical and memorial museum of Oleksa Dovbush,0.66,candidate,has coordinates; high-value type; strong travel term,48.9206,24.7055,Sheptytsky Square,europe/ukraine/ivanofrankivsk/sheptytsky_square,0.627,0.373,0.446,needs_external_source,,https://en.wikivoyage.org/wiki/Ivano-Frankivsk
europe/unitedkingdom/scotland/ayr,Ayr,Ayr (Scotland),8,36,see,Dunure Castle,0.66,candidate,has coordinates; high-value type; strong travel term,55.405,-4.762,Culzean Castle,europe/unitedkingdom/scotland/ayr/culzean_castle,0.667,6.03,10.254,needs_external_source,,https://en.wikivoyage.org/wiki/Ayr_%28Scotland%29
asia/syria/hama,Hama,Hama,8,6,see,Museum of Hama,0.66,candidate,has coordinates; high-value type; strong travel term,35.140063,36.754143,Norias of Hama,asia/syria/hama/norias_of_hama,0.643,0.541,0.758,needs_external_source,,https://en.wikivoyage.org/wiki/Hama
europe/greece/piraeus,Piraeus,Piraeus,13,9,do,Votsalakia Beach,0.66,candidate,has coordinates; high-value type; strong travel term,37.93559,23.65472,Greek Genocide Memorial,europe/greece/piraeus/genocide_memorial,0.575,0.425,1.07,needs_external_source,,https://en.wikivoyage.org/wiki/Piraeus
europe/germany/lowersaxony/east_frisian_islands/norderney,Norderney,Norderney,6,19,see,Clothing monument,0.66,candidate,has coordinates; high-value type; strong travel term,53.70852,7.14478,Bade- und Kurhaus (Thalasso Spa),europe/germany/lowersaxony/east_frisian_islands/norderney/thalasso_spa,0.609,0.391,5.889,needs_external_source,,https://en.wikivoyage.org/wiki/Norderney
europe/macedonia/bitola,Bitola,Bitola,6,65,do,The Champions Park,0.66,candidate,has coordinates; high-value type; strong travel term,41.02089,21.33825,Abandoned Yugoslav Fighter Jets,europe/macedonia/bitola/abandoned_fighter_jets,0.6,0.4,1.367,needs_external_source,,https://en.wikivoyage.org/wiki/Bitola
