world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/panama/panamacity,Panama City,Panama City,10,65,see,Panama History Museum,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,8.95202,-79.53491,Amador Causeway,northamerica/panama/panamacity/amador_causeway,0.5,3.123,3.759,has_external_url,http://www.inac.gob.pa/museos/99-museo-de-historia,https://en.wikivoyage.org/wiki/Panama_City
northamerica/unitedstates/texas/galveston,Galveston,Galveston,12,39,see,African-American Museum,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,29.2973,-94.8059,Galveston Railroad Museum,northamerica/unitedstates/texas/galveston/galveston_railroad_museum,0.5,1.353,0.906,has_external_url,https://www.visitgalveston.com/blog/african-american-history-on-galveston-island/,https://en.wikivoyage.org/wiki/Galveston
europe/france/east/alsace/strasbourg,Strasbourg,Strasbourg,15,55,see,Zoological Museum,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,48.583056,7.764722,Place des Halles,europe/france/east/alsace/strasbourg/place_des_halles,0.345,1.081,1.42,has_external_url,https://en.musees.strasbourg.eu/zoological-museum,https://en.wikivoyage.org/wiki/Strasbourg
northamerica/unitedstates/texas/arlington,Arlington,Arlington (Texas),7,29,see,International Bowling Museum and Hall of Fame,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,32.7497,-97.0692,National Medal of Honor Museum,northamerica/unitedstates/texas/arlington/national_medal_of_honor_museum,0.48,1.541,3.876,has_external_url,https://www.bowlingmuseum.com/,https://en.wikivoyage.org/wiki/Arlington_%28Texas%29
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/devon/barnstaple,Barnstaple,Barnstaple,6,18,do,Pilton Park,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,51.0845135,-4.0643925,Pannier Market and Butchers Row,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/devon/barnstaple/pannier_market,0.444,0.556,0.481,has_external_url,https://www.northdevon.gov.uk/leisure-and-lifestyle/public-toilets/pilton-park-barnstaple/,https://en.wikivoyage.org/wiki/Barnstaple
europe/italy/liguria/genoa,Genoa,Genoa,52,61,see,Museum of Modern Art - Villa Croce,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,44.39826,8.9382,Museo di Sant'Agostino,europe/italy/liguria/genoa/sant_agostino_museum,0.481,0.891,1.058,has_external_url,http://www.villacroce.it/,https://en.wikivoyage.org/wiki/Genoa
europe/russia/novgorod,Novgorod,Novgorod,11,58,see,Saviour Church on Nereditsa,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,58.497417,31.311472,Church of the Transfiguration on Ilyina Street,europe/russia/novgorod/church_of_the_transfiguration,0.406,2.326,3.349,has_external_url,http://www.nereditsa.ru/index.htm,https://en.wikivoyage.org/wiki/Novgorod
europe/croatia/krka_national_park_1,Krka National Park,Krka National Park,0,24,see,Nacionalni park Krka,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,43.817053,15.923336,,,0.0,,12.16,has_external_url,http://www.np-krka.hr/en/,https://en.wikivoyage.org/wiki/Krka_National_Park
northamerica/elsalvador/sanmiguel,San Miguel,San Miguel (El Salvador),5,13,see,East Regional Museum,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,13.47399,-88.170947,Laguna de Olomega,northamerica/elsalvador/sanmiguel/laguna_de_olomega,0.412,28.134,1.69,has_external_url,http://www.cultura.gob.sv/museo-regional-de-oriente-san-miguel/,https://en.wikivoyage.org/wiki/San_Miguel_%28El_Salvador%29
northamerica/unitedstates/california/northcoast/crescentcity,Crescent City,Crescent City,8,7,see,Tolowa Dunes State Park,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,41.8667,-124.2,Jedediah Smith Redwoods State Park,northamerica/unitedstates/california/northcoast/crescentcity/jedediah_smith_redwoods,0.456,11.164,12.388,has_external_url,https://www.parks.ca.gov/?page_id=430,https://en.wikivoyage.org/wiki/Crescent_City
europe/poland/krynicazdroj,Krynica-Zdrój,Krynica-Zdrój,3,8,see,Orthodox Church of Duke Vladimir,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,49.408141,20.949166,Nikifor Museum (Muzeum Nikifora),europe/poland/krynicazdroj/nikifor_museum,0.423,0.577,1.573,has_external_url,http://www.cerkiew-krynica.ns24.net/,https://en.wikivoyage.org/wiki/Krynica-Zdr%C3%B3j
europe/spain/canaryislands/lapalma,La Palma,La Palma,6,14,see,Archaeological Museum Benahoritas,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,28.65682,-17.91021,Fuencaliente Saltworks,europe/spain/canaryislands/lapalma/fuencaliente_saltworks,0.364,20.823,5.169,has_external_url,http://cabildodelapalma.es,https://en.wikivoyage.org/wiki/La_Palma
europe/spain/catalonia/platjadaro,Platja d'Aro,Platja d'Aro,5,21,do,PP’s park,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,41.81173,3.06066,Castell d'Aro,europe/spain/catalonia/platjadaro/castell_daro,0.364,2.494,1.008,has_external_url,https://www.ppspark.com/,https://en.wikivoyage.org/wiki/Platja_d%27Aro
northamerica/unitedstates/texas/galveston,Galveston,Galveston,12,39,do,Fort Travis Seashore Park,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,29.35857,-94.75797,Seawolf Park,northamerica/unitedstates/texas/galveston/seawolf_park,0.486,3.255,7.452,has_external_url,https://www.crystalbeach.com/travis.htm,https://en.wikivoyage.org/wiki/Galveston
europe/netherlands/friesland/hindeloopen,Hindeloopen,Hindeloopen,3,13,do,Museum Hindeloopen,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,52.943289,5.398617,Hidde Nijland Museum,europe/netherlands/friesland/hindeloopen/hidde_nijland_museum,0.316,0.752,0.146,has_external_url,http://www.museumhindeloopen.nl/node/30,https://en.wikivoyage.org/wiki/Hindeloopen
europe/unitedkingdom/england/birmingham_and_west_midlands/birmingham,Birmingham,Birmingham,16,180,see,Kanzul Huda Mosque,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,52.484841,-1.8653972,Victoria Square,europe/unitedkingdom/england/birmingham_and_west_midlands/birmingham/victoria_square,0.364,2.615,2.59,has_external_url,https://www.kanzulhuda.com/,https://en.wikivoyage.org/wiki/Birmingham
northamerica/unitedstates/mississippi/tupelo,Tupelo,Tupelo,0,14,see,Tupelo Auto Museum,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,34.25889,-88.69691,,,0.0,,0.612,has_external_url,http://www.tupeloautomuseum.com/,https://en.wikivoyage.org/wiki/Tupelo
northamerica/elsalvador/sansalvador,San Salvador,San Salvador,8,55,see,Museum of Art of El Salvador,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,13.692644,-89.24198,MUNA - National Museum of Anthropology,northamerica/elsalvador/sansalvador/muna,0.426,1.524,2.569,has_external_url,https://museomarte.org/,https://en.wikivoyage.org/wiki/San_Salvador
africa/morocco/casablanca,Casablanca,Casablanca,11,37,see,Loft Art Gallery,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,33.59236,-7.6439,Villa des Arts,africa/morocco/casablanca/villa_des_arts,0.385,1.516,2.224,has_external_url,http://loftartgallery.net,https://en.wikivoyage.org/wiki/Casablanca
northamerica/unitedstates/newyorkstate/utica,Utica,Utica,6,46,see,Utica Zoo,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,43.082,-75.246,Hotel Utica,northamerica/unitedstates/newyorkstate/utica/hotel_utica,0.5,2.602,2.364,has_external_url,http://uticazoo.org/,https://en.wikivoyage.org/wiki/Utica
asia/malaysia/kluang,Kluang,Kluang,5,28,see,Zenxin Organic Park,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,1.962956,103.212602,Gunung Lambak,asia/malaysia/kluang/gunung_lambak,0.312,17.156,14.125,has_external_url,http://zenxin.com/park/,https://en.wikivoyage.org/wiki/Kluang
europe/germany/lowersaxony/east_frisian_islands/norderney,Norderney,Norderney,6,19,see,Watt Welten UNESCO-Weltnaturerbe Wattenmeer Besucherzentrum Norderney,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,53.69844,7.16201,Wadden Sea Mudflat Walks (Wattwanderungen),europe/germany/lowersaxony/east_frisian_islands/norderney/wadden_sea_walks,0.301,2.671,4.987,has_external_url,http://www.wattwelten.de,https://en.wikivoyage.org/wiki/Norderney
europe/france/centre/loirevalley/saumur,Saumur,Saumur,12,10,see,Castle of Brézé,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,47.174444,-0.0575,Cadre Noir,europe/france/centre/loirevalley/saumur/cadre_noir,0.5,10.286,9.601,has_external_url,http://www.chateaudebreze.com/,https://en.wikivoyage.org/wiki/Saumur
europe/poland/lodz,Łódź,Łódź,7,114,see,Film Museum,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,51.759566,19.474667,Museum of Art (ms1),europe/poland/lodz/ms1,0.5,2.268,1.686,has_external_url,http://www.kinomuzeum.pl/,https://en.wikivoyage.org/wiki/%C5%81%C3%B3d%C5%BA
northamerica/unitedstates/oregon/lincolncity,Lincoln City,Lincoln City,5,35,see,Connie Hansen Garden Conservatory,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,44.9893,-124.0076,Chinook Winds Casino,northamerica/unitedstates/oregon/lincolncity/chinook_winds_casino,0.34,0.974,3.129,has_external_url,https://www.conniehansengarden.com/,https://en.wikivoyage.org/wiki/Lincoln_City
northamerica/unitedstates/iowa/iowacity,Iowa City,Iowa City,16,48,see,Herbert Hoover National Historic Site,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,41.668889,-91.348056,Englert Theatre,northamerica/unitedstates/iowa/iowacity/englert_theatre,0.423,15.331,15.13,has_external_url,https://www.nps.gov/heho/,https://en.wikivoyage.org/wiki/Iowa_City
europe/finland/pirkkala,Pirkkala,Pirkkala,2,13,do,Pirkkala Disc Golf Park,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,61.455391,23.664762,Tampere-Pirkkala Airport,europe/finland/pirkkala/tampere_pirkkala_airport,0.468,5.602,1.548,has_external_url,https://frisbeegolfradat.fi/rata/pirkkala-discgolfpark/,https://en.wikivoyage.org/wiki/Pirkkala
europe/germany/badenwrttemberg/stuttgart,Stuttgart,Stuttgart,27,176,see,Museum of Viticulture,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,48.776554,9.279155,Kunstmuseum Stuttgart,europe/germany/badenwrttemberg/stuttgart/kunstmuseum_stuttgart,0.476,7.431,7.268,has_external_url,https://www.stuttgart-tourist.de/en/a-viniculture-museum-stuttgart,https://en.wikivoyage.org/wiki/Stuttgart
europe/hungary/zalakaros,Zalakaros,Zalakaros,2,56,do,7 Chieftains Historic Adventure Park and Garabonciás Farm,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,46.58484,17.11983,Gránit Thermal and Adventure Bath,europe/hungary/zalakaros/granit_thermal_bath,0.333,3.29,2.679,has_external_url,https://7-vezer-kalandpark.hu/en/,https://en.wikivoyage.org/wiki/Zalakaros
northamerica/unitedstates/connecticut/newhaven,New Haven,New Haven,17,42,see,Blessed Michael McGivney Pilgrimage Center (formerly Knights of Columbus Museum),0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,41.30207,-72.92388,Yale Repertory Theatre,northamerica/unitedstates/connecticut/newhaven/yale_repertory_theatre,0.454,0.546,0.77,has_external_url,https://www.michaelmcgivneycenter.org/,https://en.wikivoyage.org/wiki/New_Haven
europe/netherlands/heerlen,Heerlen,Heerlen,4,69,see,Castle Hoensbroek,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,50.918358,5.916506,Thermenmuseum,europe/netherlands/heerlen/thermenmuseum,0.4,5.629,6.434,has_external_url,http://kasteelhoensbroek.nl,https://en.wikivoyage.org/wiki/Heerlen
australiaandpacific/solomonislands/guadalcanal,Guadalcanal,Guadalcanal,4,8,see,Guadalcanal American Memorial,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,-9.44261,159.958,Henderson Field,australiaandpacific/solomonislands/guadalcanal/henderson_field,0.318,10.729,9.671,has_external_url,https://www.abmc.gov/cemeteries-memorials/pacific/guadalcanal-memorial#.WfOlUtNSzIU,https://en.wikivoyage.org/wiki/Guadalcanal
northamerica/unitedstates/colorado/coloradosprings,Colorado Springs,Colorado Springs,4,54,see,United States Olympic & Paralympic Museum,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,38.8295,-104.8296,Old Colorado City,northamerica/unitedstates/colorado/coloradosprings/old_colorado_city,0.233,3.423,0.624,has_external_url,https://usopm.org,https://en.wikivoyage.org/wiki/Colorado_Springs
northamerica/unitedstates/southcarolina/charleston,Charleston,Charleston (South Carolina),9,61,see,McLeod Plantation Historic Site,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,32.762778,-79.972361,International African American Museum,northamerica/unitedstates/southcarolina/charleston/iaam,0.382,4.946,4.163,has_external_url,https://www.ccprc.com/1447/McLeod-Plantation-Historic-Site,https://en.wikivoyage.org/wiki/Charleston_%28South_Carolina%29
northamerica/unitedstates/massachusetts/concord,Concord,Concord (Massachusetts),7,55,see,Minute Man National Historical Park,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,42.4531,-71.2986,Sleepy Hollow Cemetery (Author's Ridge),northamerica/unitedstates/massachusetts/concord/sleepy_hollow_cemetery,0.246,3.905,4.206,has_external_url,http://www.nps.gov/mima/,https://en.wikivoyage.org/wiki/Concord_%28Massachusetts%29
northamerica/canada/saskatchewan/swift_current,Swift Current,Swift Current,3,15,see,Mennonite Heritage Village,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,50.278917,-107.776667,Swift Current Museum & Visitor Centre,northamerica/canada/saskatchewan/swift_current/swift_current_museum,0.308,1.851,1.685,has_external_url,http://www.mennoniteheritagevillage.ca/,https://en.wikivoyage.org/wiki/Swift_Current
europe/germany/badenwrttemberg/freiburg,Freiburg,Freiburg,31,46,see,Botanic garden,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,48.0093,7.8573,Bertoldsbrunnen,europe/germany/badenwrttemberg/freiburg/bertoldsbrunnen,0.345,1.693,1.582,has_external_url,http://www.botanischer-garten.uni-freiburg.de/,https://en.wikivoyage.org/wiki/Freiburg
northamerica/unitedstates/nevada/virginiacity,Virginia City,Virginia City (Nevada),5,26,see,Dayton State Park,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,39.2483,-119.589,Comstock Mine Tours,northamerica/unitedstates/nevada/virginiacity/comstock_mine_tours,0.333,8.415,8.686,has_external_url,http://parks.nv.gov/parks/dayton,https://en.wikivoyage.org/wiki/Virginia_City_%28Nevada%29
northamerica/unitedstates/ohio/akron,Akron,Akron,16,72,do,Sand Run Metro Park,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,41.131,-81.5705,Highland Square,northamerica/unitedstates/ohio/akron/highland_square,0.412,6.13,6.885,has_external_url,https://www.summitmetroparks.org/sand-run-metro-park.aspx,https://en.wikivoyage.org/wiki/Akron
europe/finland/kuopio,Kuopio,Kuopio,6,104,see,Vehmersalmi Church,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,62.760001,28.034189,Kuopio Cathedral,europe/finland/kuopio/kuopio_cathedral,0.294,22.999,23.312,has_external_url,https://www.kuopionseurakunnat.fi/kirkot-ja-tilat/kirkot/vehmersalmen-kirkko,https://en.wikivoyage.org/wiki/Kuopio
