world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/ukraine/ivanofrankivsk,Ivano-Frankivsk,Ivano-Frankivsk,9,103,see,Shevchenkove village,0.89,candidate,has coordinates; has description; high-value type; strong travel term,49.132222,24.693056,Hrushevsky Street (Stometrivka),europe/ukraine/ivanofrankivsk/hrushevsky_street,0.378,23.492,23.322,needs_external_source,,https://en.wikivoyage.org/wiki/Ivano-Frankivsk
europe/ukraine/lviv,Lviv,Lviv,12,176,see,Museum of Metrology,0.89,candidate,has coordinates; has description; high-value type; strong travel term,49.83626,24.03407,Latin Cathedral,europe/ukraine/lviv/latin_cathedral,0.437,0.563,0.662,needs_external_source,,https://en.wikivoyage.org/wiki/Lviv
northamerica/unitedstates/washington/leavenworth,Leavenworth,Leavenworth (Washington),5,51,do,Tumwater Pipeline Trail,0.89,candidate,has coordinates; has description; high-value type; strong travel term,47.5881,-120.7085,Iron Goat Trail,northamerica/unitedstates/washington/leavenworth/iron_goat_trail,0.421,32.388,3.641,needs_external_source,,https://en.wikivoyage.org/wiki/Leavenworth_%28Washington%29
europe/greece/thassos_island,Thassos,Thasos,14,112,see,Prinos,0.89,candidate,has coordinates; has description; high-value type; strong travel term,40.7402,24.5774,Paradise Beach,europe/greece/thassos_island/paradise_beach,0.4,13.394,8.782,needs_external_source,,https://en.wikivoyage.org/wiki/Thasos
asia/indonesia/sumatra/medan,Medan,Medan,4,86,see,Gunung Timur Temple,0.89,candidate,has coordinates; has description; high-value type; strong travel term,3.577593,98.668396,Maimun Palace,asia/indonesia/sumatra/medan/maimun_palace,0.438,1.739,1.462,needs_external_source,,https://en.wikivoyage.org/wiki/Medan
europe/italy/sicily/trapani,Trapani,Trapani,7,70,do,Villa Margherita,0.89,candidate,has coordinates; has description; high-value type; strong travel term,38.017222,12.516111,Castello della Colombaia,europe/italy/sicily/trapani/castello_della_colombaia,0.4,1.881,0.57,needs_external_source,,https://en.wikivoyage.org/wiki/Trapani
europe/ukraine/donetsk,Donetsk,Donetsk,12,124,see,Artem (F.A.Sergeevu) Monument,0.89,candidate,has coordinates; has description; high-value type; strong travel term,48.0175,37.8026,To Donbas Liberators Monument,europe/ukraine/donetsk/to_donbas_liberators_monument,0.512,1.373,0.179,needs_external_source,,https://en.wikivoyage.org/wiki/Donetsk
southamerica/colombia/palmira,Palmira,Palmira,3,5,see,Reserva Natural Nirvana,0.89,candidate,has coordinates; has description; high-value type; strong travel term,3.47571,-76.19221,Estadio Francisco Rivera Escobar,southamerica/colombia/palmira/estadio_francisco_rivera,0.4,13.871,13.324,needs_external_source,,https://en.wikivoyage.org/wiki/Palmira
africa/somalia/mogadishu,Mogadishu,Mogadishu,11,28,see,Sayid Mohamed Abdulle Hassan Monument,0.89,candidate,has coordinates; has description; high-value type; strong travel term,2.0369,45.3297,Fakhr al-Din Mosque,africa/somalia/mogadishu/fakhr_ad_din_mosque,0.429,0.773,1.375,needs_external_source,,https://en.wikivoyage.org/wiki/Mogadishu
northamerica/thecaribbean/cuba/vinales,Viñales,Viñales,11,39,do,Walk through the Cueva de la Vaca,0.89,candidate,has coordinates; has description; high-value type; strong travel term,22.6267,-83.7166,Cueva del Indio,northamerica/thecaribbean/cuba/vinales/cueva_del_indio,0.353,4.843,1.467,needs_external_source,,https://en.wikivoyage.org/wiki/Vi%C3%B1ales
asia/malaysia/johorbahru,Johor Bahru,Johor Bahru,8,205,see,Taman Pelangi Indah Lake and Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,1.583178,103.795623,Sultan Abu Bakar State Mosque,asia/malaysia/johorbahru/sultan_abu_bakar_state_mosque,0.323,14.878,14.31,needs_external_source,,https://en.wikivoyage.org/wiki/Johor_Bahru
asia/philippines/makati,Makati,Makati,9,59,see,Washington Sycip Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,14.55358,121.01797,Rooftop Bars,asia/philippines/makati/rooftop_bars,0.364,,0.492,needs_external_source,,https://en.wikivoyage.org/wiki/Makati
asia/israel/tiberias,Tiberias,Tiberias,11,25,see,Berko Archaeological Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,32.772826,35.546215,Hammat Tiberias,asia/israel/tiberias/hammat_tiberias,0.491,0.509,1.757,needs_external_source,,https://en.wikivoyage.org/wiki/Tiberias
europe/unitedkingdom/england/south_east/guildford,Guildford,Guildford,17,84,see,The Spike Heritage Centre,0.89,candidate,has coordinates; has description; high-value type; strong travel term,51.23583,-0.55739,Guildford High Street,europe/unitedkingdom/england/south_east/guildford/high_street,0.429,1.038,1.101,needs_external_source,,https://en.wikivoyage.org/wiki/Guildford
northamerica/unitedstates/pennsylvania/pittsburgh,Pittsburgh,Pittsburgh,7,21,see,Downtown Pittsburgh Info Center,0.89,candidate,has coordinates; has description; high-value type; strong travel term,40.44212,-80.00322,Monongahela Incline,northamerica/unitedstates/pennsylvania/pittsburgh/monongahela_incline,0.48,1.151,0.168,needs_external_source,,https://en.wikivoyage.org/wiki/Pittsburgh
asia/china/heilongjiang/harbin,Harbin,Harbin,7,108,see,Sun Island,0.89,candidate,has coordinates; has description; high-value type; strong travel term,45.79108,126.5956,Songhua River Embankment,asia/china/heilongjiang/harbin/songhua_river,0.353,3.186,4.313,needs_external_source,,https://en.wikivoyage.org/wiki/Harbin
europe/france/aquitaine/saintes,Saintes,Saintes,6,93,see,Église Saint-Vivien,0.89,candidate,has coordinates; has description; high-value type; strong travel term,45.7499,-0.6342,Cathédrale Saint-Pierre,europe/france/aquitaine/saintes/saintes_cathedral,0.537,0.637,0.448,needs_external_source,,https://en.wikivoyage.org/wiki/Saintes
africa/kenya/thecoast/malindi,Malindi,Malindi,5,38,do,Mapango Beach,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-3.3534,40.0258,Portuguese Chapel,africa/kenya/thecoast/malindi/portuguese_chapel,0.333,18.428,14.873,needs_external_source,,https://en.wikivoyage.org/wiki/Malindi
europe/ukraine/kharkiv,Kharkiv,Kharkiv,13,157,see,Ozeryanska church on Kholodna hill,0.89,candidate,has coordinates; has description; high-value type; strong travel term,49.9859,36.1915,Annunciation Cathedral,europe/ukraine/kharkiv/annunciation_cathedral,0.357,2.388,2.914,needs_external_source,,https://en.wikivoyage.org/wiki/Kharkiv
asia/indonesia/java/salatiga,Salatiga,Salatiga,3,35,see,Candi Dukuh,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-7.31145,110.42579,Satya Wacana Christian University,asia/indonesia/java/salatiga/satya_wacana_university,0.227,8.081,8.395,needs_external_source,,https://en.wikivoyage.org/wiki/Salatiga
europe/azerbaijan/qax,Qax,Qax,5,10,see,Complex of Historical Museum and Caucasian Orthodox Church,0.89,candidate,has coordinates; has description; high-value type; strong travel term,41.42018,46.91759,St George's Church,europe/azerbaijan/qax/st_georges_church,0.368,2.227,20.665,needs_external_source,,https://en.wikivoyage.org/wiki/Qax
europe/finland/vaasa,Vaasa,Vaasa,12,80,see,Waterfront,0.89,candidate,has coordinates; has description; high-value type; strong travel term,63.0902,21.6065,Wasa Theatre,europe/finland/vaasa/wasa_theatre,0.455,0.743,0.779,needs_external_source,,https://en.wikivoyage.org/wiki/Vaasa
asia/myanmar/yangon,Yangon,Yangon,21,140,see,Kan Taw Mingalar Garden,0.89,candidate,has coordinates; has description; high-value type; strong travel term,16.79431,96.1493,Kandawgyi Lake,asia/myanmar/yangon/kandawgyi_lake,0.486,0.947,1.273,needs_external_source,,https://en.wikivoyage.org/wiki/Yangon
northamerica/canada/newfoundland/stjohns,St. John's,St. John's,9,76,see,Fort Amherst,0.89,candidate,has coordinates; has description; high-value type; strong travel term,47.5634,-52.6806,Water Street,northamerica/canada/newfoundland/stjohns/water_street,0.417,2.103,2.41,needs_external_source,,https://en.wikivoyage.org/wiki/St._John%27s
northamerica/unitedstates/arizona/prescott,Prescott,Prescott,12,23,do,Hike Thumb Butte,0.89,candidate,has coordinates; has description; high-value type; strong travel term,34.546881,-112.51938,Whiskey Row,northamerica/unitedstates/arizona/prescott/whiskey_row,0.37,4.546,4.695,needs_external_source,,https://en.wikivoyage.org/wiki/Prescott
europe/greece/drama,Drama,Drama,6,25,see,Lookout Cafe Enaston,0.89,candidate,has coordinates; has description; high-value type; strong travel term,41.1638,24.1593,Archaeological Museum of Drama,europe/greece/drama/archaeological_museum,0.28,2.214,1.861,needs_external_source,,https://en.wikivoyage.org/wiki/Drama
northamerica/unitedstates/florida/pensacola_beach,Pensacola Beach,Pensacola Beach,2,30,do,Opal Beach,0.89,candidate,has coordinates; has description; high-value type; strong travel term,30.36468,-86.96249,Pensacola Beach Boardwalk,northamerica/unitedstates/florida/pensacola_beach/pensacola_beach_boardwalk,0.514,16.906,16.905,needs_external_source,,https://en.wikivoyage.org/wiki/Pensacola_Beach
asia/iraq/mosul,Mosul,Mosul,11,34,see,Monastery of Saint Elijah,0.89,candidate,has coordinates; has description; high-value type; strong travel term,36.292586,43.131085,Great Mosque of al-Nuri,asia/iraq/mosul/great_mosque_al_nuri,0.458,5.625,6.34,needs_external_source,,https://en.wikivoyage.org/wiki/Mosul
