world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/china/shandong_province/jinan,Jinan,Jinan,65,109,see,Jinan Zoo,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.7006,116.9812,Jinan Great Mosque,asia/china/shandong_province/jinan/jinan_mosque,0.519,3.979,6.704,has_external_url,http://www.jinanzoo.com/,https://en.wikivoyage.org/wiki/Jinan
asia/kazakhstan/astana,Astana,Astana,26,82,see,Expo 2017 buildings,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.0892333,71.4163604,Expo District,asia/kazakhstan/astana/expo_district,0.5,0.607,4.447,has_external_url,https://expo2017astana.com/en/,https://en.wikivoyage.org/wiki/Astana
asia/israel/eliat,Eilat,Eilat,1,35,see,Kings City in Eilat,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,29.550808,34.966285,The Red Sea Star,asia/israel/eliat/the_red_sea_star,0.194,1.281,1.928,has_external_url,http://www.kingscity.co.il/,https://en.wikivoyage.org/wiki/Eilat
asia/malaysia/langkawi,Langkawi,Langkawi,4,57,see,Underwater World,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,6.28799,99.7289,Dataran Lang (Eagle Square),asia/malaysia/langkawi/dataran_lang,0.429,14.058,11.542,has_external_url,https://www.underwaterworldlangkawi.com/,https://en.wikivoyage.org/wiki/Langkawi
europe/portugal/leiria,Leiria,Leiria,10,9,see,Sanctuary of Our Lady of the Incarnation,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.73879,-8.79986,Castle of Leiria,europe/portugal/leiria/castle_of_leiria,0.385,1.259,0.833,has_external_url,https://www.visiteleiria.pt/en/pontos-de-interesse/places-of-worship/shrine-of-our-lady-of-the-incarnation/,https://en.wikivoyage.org/wiki/Leiria
europe/russia/khabarovsk,Khabarovsk,Khabarovsk,9,58,do,Triada Pantomime Theatre,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.4713,135.074,Amur Cliff Promenade,europe/russia/khabarovsk/amur_cliff_promenade,0.364,1.683,1.466,has_external_url,http://www.triada27.ru/,https://en.wikivoyage.org/wiki/Khabarovsk
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield,Sheffield,Sheffield,2,253,do,Five Weirs Walk,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,53.3858,-1.4641,Kelham Island,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield/kelham_island,0.281,0.719,0.697,has_external_url,https://www.welcometosheffield.co.uk/content/attractions/five-weirs-walk/,https://en.wikivoyage.org/wiki/Sheffield
europe/finland/vantaa,Vantaa,Vantaa,4,103,see,Viherpaja,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,60.3051,25.0017,Tikkurila,europe/finland/vantaa/tikkurila,0.333,2.681,2.676,has_external_url,http://www.viherpaja.fi,https://en.wikivoyage.org/wiki/Vantaa
europe/italy/liguria/genoa,Genoa,Genoa,52,61,see,Wolfsoniana,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,44.3817,9.04436,Porta Soprana,europe/italy/liguria/genoa/porta_soprana,0.5,8.934,9.228,has_external_url,http://www.wolfsoniana.it,https://en.wikivoyage.org/wiki/Genoa
europe/belgium/genk,Genk,Genk,6,10,see,Labiomista,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.015903,5.496511,Kattevennen Forest,europe/belgium/genk/kattevennen,0.286,4.41,5.612,has_external_url,https://www.labiomista.be/,https://en.wikivoyage.org/wiki/Genk
europe/ukraine/kyiv,Kyiv,Kyiv,52,205,do,Palace of Sports,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.437222,30.522222,PinchukArtCentre,europe/ukraine/kyiv/pinchuk_art_centre,0.502,0.498,1.427,has_external_url,https://www.spalace.com.ua,https://en.wikivoyage.org/wiki/Kyiv
northamerica/unitedstates/ohio/toledo,Toledo,Toledo (Ohio),13,91,do,The Lights Before Christmas,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.6191,-83.5807,Toledo Zoo and Aquarium,northamerica/unitedstates/ohio/toledo/toledo_zoo,0.304,0.952,5.181,has_external_url,https://www.toledozoo.org/lights,https://en.wikivoyage.org/wiki/Toledo_%28Ohio%29
asia/china/zhejiang/ningbo,Ningbo,Ningbo,50,112,see,Hemudu Site,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,29.9644,121.3488,Drum Tower (Gulou),asia/china/zhejiang/ningbo/drum_tower,0.476,21.298,22.227,has_external_url,http://www.hemudusite.com/,https://en.wikivoyage.org/wiki/Ningbo
europe/slovakia/banskabystrica,Banská Bystrica,Banská Bystrica,5,32,see,Hronsek,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.6496,19.1561,Thurzov Dom (Thurzo House),europe/slovakia/banskabystrica/thurzov_dom,0.333,9.58,9.875,has_external_url,http://www.hronsek.sk/english.phtml?id3=75914,https://en.wikivoyage.org/wiki/Bansk%C3%A1_Bystrica
northamerica/unitedstates/southcarolina/columbia,Columbia,Columbia (South Carolina),14,35,see,Fort Jackson,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.04216,-80.930929,Five Points,northamerica/unitedstates/southcarolina/columbia/five_points,0.348,9.915,10.658,has_external_url,https://home.army.mil/jackson/index.php/my-fort/visitor-information,https://en.wikivoyage.org/wiki/Columbia_%28South_Carolina%29
europe/unitedkingdom/england/birmingham_and_west_midlands/coventry,Coventry,Coventry,16,65,see,Lake View Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.4135,-1.54,FarGo Village,europe/unitedkingdom/england/birmingham_and_west_midlands/coventry/fargo_village,0.37,2.865,2.086,has_external_url,http://www.coventry.gov.uk/directory_record/329/lake_view_park,https://en.wikivoyage.org/wiki/Coventry
northamerica/unitedstates/kentucky/frankfort,Frankfort,Frankfort (Kentucky),5,47,see,Berry Mansion,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.188,-84.8816,Liberty Hall,northamerica/unitedstates/kentucky/frankfort/liberty_hall,0.48,1.313,1.607,has_external_url,https://historicproperties.ky.gov/hp/bm/,https://en.wikivoyage.org/wiki/Frankfort_%28Kentucky%29
africa/kenya/thecoast/mombasa,Mombasa,Mombasa,20,137,see,Rabai Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-3.92,39.581,Jain Temple,africa/kenya/thecoast/mombasa/jain_temple,0.435,17.69,17.378,has_external_url,http://www.museums.or.ke/rabai-museum/,https://en.wikivoyage.org/wiki/Mombasa
europe/spain/northernspain/gijon,Gijón,Gijón,10,24,see,Atlantic Botanical Garden,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.5215,-5.6159,Playa San Lorenzo,europe/spain/northernspain/gijon/playa_san_lorenzo,0.429,5.79,4.589,has_external_url,https://www.gijon.es/en/directorio/jardin-botanico-atlantico-de-gijon,https://en.wikivoyage.org/wiki/Gij%C3%B3n
northamerica/unitedstates/california/longbeach,Long Beach,Long Beach,10,97,see,Historical Society of Long Beach,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,33.833823,-118.184879,Shoreline Village,northamerica/unitedstates/california/longbeach/shoreline_village,0.327,8.197,7.235,has_external_url,http://hslb.org/,https://en.wikivoyage.org/wiki/Long_Beach
northamerica/unitedstates/iowa/dubuque,Dubuque,Dubuque,4,50,see,Dubuque Arboretum and Botanical Gardens,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.5323,-90.7177,Dubuque Museum of Art,northamerica/unitedstates/iowa/dubuque/dubuque_museum_of_art,0.533,5.431,5.588,has_external_url,http://www.dubuquearboretum.net,https://en.wikivoyage.org/wiki/Dubuque
northamerica/jamaica/kingston,Kingston,Kingston (Jamaica),50,50,see,Hope Zoo,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,18.024653,-76.747334,Hope Botanical Gardens,northamerica/jamaica/kingston/hope_botanical_gardens,0.4,2.586,5.778,has_external_url,http://hopezookingston.com/,https://en.wikivoyage.org/wiki/Kingston_%28Jamaica%29
northamerica/unitedstates/washington/auburn,Auburn,Auburn (Washington),7,16,do,Flaming Geyser State Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.2722,-122.023,Green River Trail,northamerica/unitedstates/washington/auburn/green_river_trail,0.333,15.354,15.983,has_external_url,https://www.parks.wa.gov/504/Flaming-Geyser,https://en.wikivoyage.org/wiki/Auburn_%28Washington%29
europe/ireland/kenmare,Kenmare,Kenmare,16,14,see,Kilgarvan Motor Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.889,-9.434,Davitt's,europe/ireland/kenmare/davitts,0.333,10.302,10.354,has_external_url,https://kilgarvanmotormuseum.ie/wp/,https://en.wikivoyage.org/wiki/Kenmare
europe/unitedkingdom/england/leicester_nottingham_and_east_midlands/derby,Derby,Derby,16,69,see,Kedleston Hall,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.9592,-1.537,Derby Market Hall,europe/unitedkingdom/england/leicester_nottingham_and_east_midlands/derby/derby_market_hall,0.516,5.785,5.687,has_external_url,https://www.nationaltrust.org.uk/kedleston-hall/,https://en.wikivoyage.org/wiki/Derby
europe/denmark/koge,Køge,Køge,9,39,see,Vallø Castle,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,55.4025,12.211242,Køge Huskors — The Witch Trial Site,europe/denmark/koge/koge-huskors,0.3,6.292,6.283,has_external_url,http://www.valloe-stift.dk/,https://en.wikivoyage.org/wiki/K%C3%B8ge
northamerica/unitedstates/massachusetts/salem,Salem,Salem (Massachusetts),11,81,do,Pioneer Village,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.5078,-70.8852,Gardner-Pingree House,northamerica/unitedstates/massachusetts/salem/gardner_pingree_house,0.389,1.702,1.659,has_external_url,https://www.pioneervillagesalem.org/,https://en.wikivoyage.org/wiki/Salem_%28Massachusetts%29
europe/finland/kotka,Kotka,Kotka,3,31,see,Haukkavuori observation tower,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,60.4597,26.9296,Langinkoski Imperial Fishing Lodge,europe/finland/kotka/langinkoski,0.349,4.068,1.23,has_external_url,https://www.facebook.com/haukkavuorennakotorni/?ref=page_internal,https://en.wikivoyage.org/wiki/Kotka
europe/estonia/tartu,Tartu,Tartu,16,89,see,Tartu Salem Church,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,58.368573,26.734693,Estonian National Museum,europe/estonia/tartu/estonian_national_museum,0.537,0.463,1.095,has_external_url,https://salem.ee/,https://en.wikivoyage.org/wiki/Tartu
asia/japan/honshu/nagahama,Nagahama,Nagahama,9,20,see,Kaiyoudou Figurine Museum Kurokabe,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.381194,136.268389,Lake Biwa,asia/japan/honshu/nagahama/lake_biwa_view,0.406,0.594,0.918,has_external_url,https://www.ryuyukan.net/kurokabe,https://en.wikivoyage.org/wiki/Nagahama
europe/hungary/szombathely,Szombathely,Szombathely,8,42,see,Sorokpolány,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.137,16.671,Csónakázótó,europe/hungary/szombathely/csonakazoto,0.286,14.83,10.978,has_external_url,http://www.sorokpolany.hu/,https://en.wikivoyage.org/wiki/Szombathely
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/skipton,Skipton,Skipton,6,16,see,Hesketh Farm Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,53.98,-1.9099,Skipton Market,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/skipton/skipton_market,0.387,7.24,7.26,has_external_url,https://www.heskethfarmpark.co.uk,https://en.wikivoyage.org/wiki/Skipton
northamerica/unitedstates/florida/kissimmee,Kissimmee,Kissimmee,4,18,do,Shingle Creek Regional Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,28.303142,-81.451095,Pioneer Village at Shingle Creek,northamerica/unitedstates/florida/kissimmee/pioneer_village,0.441,0.87,4.44,has_external_url,https://www.osceola.org/Community/Parks-and-Conservation-Lands/Find-a-Park-or-Facility/Shingle-Creek-Regional-Park,https://en.wikivoyage.org/wiki/Kissimmee
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield,Sheffield,Sheffield,2,253,see,Park Hill,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,53.38,-1.458,Kelham Island,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield/kelham_island,0.273,1.451,0.813,has_external_url,https://www.parkhill.estate/,https://en.wikivoyage.org/wiki/Sheffield
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/devon/exeter,Exeter,Exeter,6,59,do,Crealy Great Adventure Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.705554,-3.416076,Exeter Quayside,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/devon/exeter/exeter_quayside,0.333,8.035,8.117,has_external_url,https://www.crealy.co.uk,https://en.wikivoyage.org/wiki/Exeter
europe/germany/badenwrttemberg/stuttgart,Stuttgart,Stuttgart,27,176,see,Standseilbahn Talstation,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.75596,9.14215,Weissenhof Estate,europe/germany/badenwrttemberg/stuttgart/weissenhof_estate,0.39,5.428,3.736,has_external_url,https://www.stuttgart.de/en/tourismus/sehenswuerdigkeiten/seilbahn,https://en.wikivoyage.org/wiki/Stuttgart
northamerica/unitedstates/california/chulavista,Chula Vista,Chula Vista,15,37,see,North Island Credit Union Amphitheatre,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,32.5878,-117.006,Gaylord Pacific Resort and Convention Center,northamerica/unitedstates/california/chulavista/gaylord_pacific_resort,0.415,9.905,9.349,has_external_url,http://www.chulavistaamphitheatre.org/,https://en.wikivoyage.org/wiki/Chula_Vista
asia/china/liaoning/shenyang,Shenyang,Shenyang,6,59,see,Liaoning Provincial Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.6758,123.4544,Zhaoling Tomb (North Tomb),asia/china/liaoning/shenyang/zhaoling_tomb,0.41,20.974,14.27,has_external_url,https://www.lnmuseum.com.cn,https://en.wikivoyage.org/wiki/Shenyang
northamerica/unitedstates/california/sanjose,San Jose,San Jose (California),6,114,see,San Jose Museum of Art,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.3335,-121.89,La Victoria Taqueria,northamerica/unitedstates/california/sanjose/la_victoria_taquer,0.491,0.509,0.301,has_external_url,http://www.sjmusart.org/,https://en.wikivoyage.org/wiki/San_Jose_%28California%29
asia/japan/kyushu/fukuoka_city,Fukuoka,Fukuoka,10,85,do,Kabuki theatre,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,33.595703,130.406477,Kushida Shrine,asia/japan/kyushu/fukuoka_city/kushida_shrine,0.521,0.479,0.523,has_external_url,http://www.hakataza.co.jp/,https://en.wikivoyage.org/wiki/Fukuoka
