world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/belgium/antwerp,Antwerp,Antwerp,47,64,see,Palace of Justice,0.89,candidate,has coordinates; has description; high-value type; strong travel term,51.20398,4.38743,Diamond District,europe/belgium/antwerp/diamond_district,0.424,2.629,2.088,needs_external_source,,https://en.wikivoyage.org/wiki/Antwerp
europe/greece/kavala,Kavala,Kavala,14,95,see,Chapell St. Panteleimon,0.89,candidate,has coordinates; has description; high-value type; strong travel term,40.9459,24.3957,Kavala Castle,europe/greece/kavala/kavala_castle,0.4,2.272,1.716,needs_external_source,,https://en.wikivoyage.org/wiki/Kavala
asia/india/himachalpradesh/dalhousie,Dalhousie,Dalhousie (India),0,16,see,Chamba,0.89,candidate,has coordinates; has description; high-value type; strong travel term,32.553046,76.126459,,,0.0,,14.83,needs_external_source,,https://en.wikivoyage.org/wiki/Dalhousie_%28India%29
europe/spain/spanishcostas/elche,Elche,Elche,8,42,see,Centre d'Exposicions,0.89,candidate,has coordinates; has description; high-value type; strong travel term,38.26166,-0.69901,Misteri d'Elx,europe/spain/spanishcostas/elche/misteri_delx,0.424,0.59,0.408,needs_external_source,,https://en.wikivoyage.org/wiki/Elche
europe/belgium/nieuwpoort,Nieuwpoort,Nieuwpoort,6,27,see,Channel,0.89,candidate,has coordinates; has description; high-value type; strong travel term,51.1499,2.7289,Nieuwpoort Marina,europe/belgium/nieuwpoort/nieuwpoort_marina,0.526,0.474,2.775,needs_external_source,,https://en.wikivoyage.org/wiki/Nieuwpoort
europe/greece/thassos_island,Thassos,Thasos,14,112,do,Limenaria,0.89,candidate,has coordinates; has description; high-value type; strong travel term,40.6258,24.5686,Simi Taverna,europe/greece/thassos_island/simi_taverna,0.476,12.617,9.544,needs_external_source,,https://en.wikivoyage.org/wiki/Thasos
europe/montenegro/podgorica,Podgorica,Podgorica,12,39,do,Rogami Beach,0.89,candidate,has coordinates; has description; high-value type; strong travel term,42.4687,19.2575,Gorica Hill,europe/montenegro/podgorica/gorica_hill,0.348,3.484,3.045,needs_external_source,,https://en.wikivoyage.org/wiki/Podgorica
europe/serbia/kosovoprovince/peja,Peja,Peja,8,64,see,Drini river,0.89,candidate,has coordinates; has description; high-value type; strong travel term,42.739,20.305,Old Çarshia (Bazaar),europe/serbia/kosovoprovince/peja/carsija,0.381,9.447,8.923,needs_external_source,,https://en.wikivoyage.org/wiki/Peja
europe/germany/brandenburg/potsdam,Potsdam,Potsdam,50,62,do,Nikolskoe,0.89,candidate,has coordinates; has description; high-value type; strong travel term,52.4245,13.1163,St. Nicholas Church,europe/germany/brandenburg/potsdam/st_nicholas_church,0.37,4.889,5.153,needs_external_source,,https://en.wikivoyage.org/wiki/Potsdam
northamerica/unitedstates/northdakota/williston,Williston,Williston (North Dakota),8,27,see,Cut Bluff Overlook,0.89,candidate,has coordinates; has description; high-value type; strong travel term,48.12491,-103.56151,Confluence Coffee,northamerica/unitedstates/northdakota/williston/confluence_coffee,0.343,,5.081,needs_external_source,,https://en.wikivoyage.org/wiki/Williston_%28North_Dakota%29
africa/uganda/kampala,Kampala,Kampala,13,59,do,One Love Beach,0.89,candidate,has coordinates; has description; high-value type; strong travel term,0.2059,32.6195,Owino Market (St Balikuddembe Market),africa/uganda/kampala/owino_market,0.385,12.958,13.137,needs_external_source,,https://en.wikivoyage.org/wiki/Kampala
asia/india/tamilnadu/salem,Salem,Salem (India),8,40,do,Rakkipatti,0.89,candidate,has coordinates; has description; high-value type; strong travel term,11.57222,78.03468,Kurumbapatti Zoological Park,asia/india/tamilnadu/salem/kurumbapatti_zoo,0.316,24.201,20.896,needs_external_source,,https://en.wikivoyage.org/wiki/Salem_%28India%29
europe/finland/porvoo,Porvoo,Porvoo,11,41,do,Sikosaari,0.89,candidate,has coordinates; has description; high-value type; strong travel term,60.368,25.6724,Soderskär Lighthouse,europe/finland/porvoo/sodersk_lighthouse,0.276,31.173,2.995,needs_external_source,,https://en.wikivoyage.org/wiki/Porvoo
europe/finland/saariselk,Saariselkä,Saariselkä,11,23,see,Magneettimäki,0.89,candidate,has coordinates; has description; high-value type; strong travel term,68.4753,27.432,Reindeer Farm Visit,europe/finland/saariselk/reindeer_farm_visit,0.375,6.022,6.022,needs_external_source,,https://en.wikivoyage.org/wiki/Saariselk%C3%A4
asia/taiwan/jiufen,Jiufen,Jiufen,8,13,do,Mount Jilong,0.89,candidate,has coordinates; has description; high-value type; strong travel term,25.1189336,121.8490583,Keelung Mountain (Jilong Shan),asia/taiwan/jiufen/keelung_mountain,0.5,1.855,1.255,needs_external_source,,https://en.wikivoyage.org/wiki/Jiufen
northamerica/turksandcaicosislands/southcaicos,South Caicos,South Caicos,5,13,do,Highlands Bay,0.89,candidate,has coordinates; has description; high-value type; strong travel term,21.4937,-71.4975,Sail Rock and the South-End Beaches,northamerica/turksandcaicosislands/southcaicos/sail_rock,0.409,5.909,2.431,needs_external_source,,https://en.wikivoyage.org/wiki/South_Caicos
europe/armenia/vayots_dzor_marz/yeghegnadzor,Yeghegnadzor,Yeghegnadzor,5,23,see,Smbataberd Fortress,0.89,candidate,has coordinates; has description; high-value type; strong travel term,39.871736,45.338113,Gladzor University Site,europe/armenia/vayots_dzor_marz/yeghegnadzor/gladzor_university_site,0.333,10.423,12.432,needs_external_source,,https://en.wikivoyage.org/wiki/Yeghegnadzor
europe/unitedkingdom/england/newcastle_and_north_east/sunderland,Sunderland,Sunderland,10,32,see,Herrington Country Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,54.874,-1.469,National Glass Centre,europe/unitedkingdom/england/newcastle_and_north_east/sunderland/national_glass_centre,0.409,6.979,6.549,needs_external_source,,https://en.wikivoyage.org/wiki/Sunderland
asia/thailand/chiangrai,Chiang Rai,Chiang Rai,14,71,do,Central Plaza Movie Theatre,0.89,candidate,has coordinates; has description; high-value type; strong travel term,19.8868,99.835,Night Bazaar,asia/thailand/chiangrai/night_bazaar,0.41,2.406,22.083,needs_external_source,,https://en.wikivoyage.org/wiki/Chiang_Rai
asia/china/anhui/tongling,Tongling,Tongling,5,24,do,Tongling Happy World,0.89,candidate,has coordinates; has description; high-value type; strong travel term,30.9572,117.7911,Tongling Museum,asia/china/anhui/tongling/tongling_museum,0.514,2.711,3.355,needs_external_source,,https://en.wikivoyage.org/wiki/Tongling
europe/sweden/tanum,Tanum,Tanum,6,20,see,Skräddö,0.89,candidate,has coordinates; has description; high-value type; strong travel term,58.69748,11.38978,Greby Grave Field,europe/sweden/tanum/greby_grave_field,0.261,7.443,6.043,needs_external_source,,https://en.wikivoyage.org/wiki/Tanum
europe/romania/curtea_de_arges,Curtea de Arges,Curtea de Argeș,4,17,see,Tutana Monastery,0.89,candidate,has coordinates; has description; high-value type; strong travel term,45.045656,24.638297,Royal Tombs at Curtea de Argeș Monastery,europe/romania/curtea_de_arges/kings_and_queens,0.462,11.268,10.889,needs_external_source,,https://en.wikivoyage.org/wiki/Curtea_de_Arge%C8%99
europe/italy/sicily/erice,Erice,Erice,6,102,see,Sanctuary of Demeter,0.89,candidate,has coordinates; has description; high-value type; strong travel term,38.04212,12.59029,Ancient Walls of Erice,europe/italy/sicily/erice/phoenician_walls,0.524,0.682,0.513,needs_external_source,,https://en.wikivoyage.org/wiki/Erice
europe/netherlands/waddenislands/schiermonnikoog_is/schiermonnikoog,Schiermonnikoog,Schiermonnikoog,10,37,see,Rariteitenkabinet Gribus,0.89,candidate,has coordinates; has description; high-value type; strong travel term,53.48625,6.15544,Drive yourself,europe/netherlands/waddenislands/schiermonnikoog_is/getting_there/drive_yourself,0.316,2.411,3.304,needs_external_source,,https://en.wikivoyage.org/wiki/Schiermonnikoog
europe/italy/abruzzo/opi,Opi,Opi,4,6,see,Museum of the Forest and of Man,0.89,candidate,has coordinates; has description; high-value type; strong travel term,41.774,13.837,Museo dell'Uomo e della Foresta,europe/italy/abruzzo/opi/museo_dell_uomo_e_della_foresta,0.448,1.653,0.984,needs_external_source,,https://en.wikivoyage.org/wiki/Opi
asia/turkmenistan/ashgabat,Ashgabat,Ashgabat,7,59,see,Constitution Monument,0.89,candidate,has coordinates; has description; high-value type; strong travel term,37.8989,58.3201,National Museum of Turkmenistan,asia/turkmenistan/ashgabat/national_museum,0.462,,8.558,needs_external_source,,https://en.wikivoyage.org/wiki/Ashgabat
northamerica/unitedstates/montana/deer_lodge,Deer Lodge,Deer Lodge,4,17,see,Milwaukee Road Exhibits,0.89,candidate,has coordinates; has description; high-value type; strong travel term,46.391001,-112.736369,Grant-Kohrs Ranch National Historic Site,northamerica/unitedstates/montana/deer_lodge/grant_kohrs_ranch,0.317,1.938,0.819,needs_external_source,,https://en.wikivoyage.org/wiki/Deer_Lodge
europe/macedonia/kicevo,Kičevo,Kičevo,4,32,see,Church of Saint George,0.89,candidate,has coordinates; has description; high-value type; strong travel term,41.401592,20.947519,Treska River Gorge,europe/macedonia/kicevo/treska_river_gorge,0.35,13.881,11.967,needs_external_source,,https://en.wikivoyage.org/wiki/Ki%C4%8Devo
europe/germany/bavaria/romanticroad/weikersheim,Weikersheim,Weikersheim,2,7,see,Laudenbach Mountain Church,0.89,candidate,has coordinates; has description; high-value type; strong travel term,49.456258,9.9196,Marktplatz and Town Church,europe/germany/bavaria/romanticroad/weikersheim/marktplatz,0.462,3.197,3.141,needs_external_source,,https://en.wikivoyage.org/wiki/Weikersheim
asia/india/maharashtra/nashik,Nashik,Nashik,5,73,see,Chambhar Leni,0.89,candidate,has coordinates; has description; high-value type; strong travel term,20.066186,73.792768,Kalaram Temple,asia/india/maharashtra/nashik/kalaram_temple,0.444,7.824,6.115,needs_external_source,,https://en.wikivoyage.org/wiki/Nashik
europe/france/nord/le_touquet,Le Touquet,Le Touquet,7,25,see,Hippodrome de la Canche,0.89,candidate,has coordinates; has description; high-value type; strong travel term,50.52369,1.60619,The Beach,europe/france/nord/le_touquet/the_beach,0.364,2.277,1.454,needs_external_source,,https://en.wikivoyage.org/wiki/Le_Touquet
asia/thailand/ayutthaya,Ayutthaya,Ayutthaya,15,60,see,Ayutthaya Floating Market,0.89,candidate,has coordinates; has description; high-value type; strong travel term,14.3595,100.5933,Chao Phrom Market,asia/thailand/ayutthaya/chao_phrom_market,0.476,1.584,2.666,needs_external_source,,https://en.wikivoyage.org/wiki/Ayutthaya
asia/china/guangdong/zhanjiang,Zhanjiang,Zhanjiang,4,34,see,Haibin Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,21.2018685478,110.4121566498,Huguangyan Volcanic Lake,asia/china/guangdong/zhanjiang/huguangyan_volcanic_lake,0.343,16.784,1.277,needs_external_source,,https://en.wikivoyage.org/wiki/Zhanjiang
europe/netherlands/waddenislands/schiermonnikoog_is,Schiermonnikoog,Schiermonnikoog,10,37,see,Noordertoren,0.89,candidate,has coordinates; has description; high-value type; strong travel term,53.486839,6.146525,Wadlopen (Mudflat Walking),europe/netherlands/waddenislands/schiermonnikoog_is/wadlopen,0.4,4.824,3.894,needs_external_source,,https://en.wikivoyage.org/wiki/Schiermonnikoog
europe/germany/northrhinewestphalia/cologne,Cologne,Cologne,17,152,see,St. Maria vom Frieden church and convent,0.89,candidate,has coordinates; has description; high-value type; strong travel term,50.92672,6.95291,Krieler Dömchen,europe/germany/northrhinewestphalia/cologne/krielerdmchen,0.407,3.37,1.386,needs_external_source,,https://en.wikivoyage.org/wiki/Cologne
asia/indonesia/java/semarang,Semarang,Semarang,8,164,see,Gondoriyo Waterfall,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-7.005187,110.321062,Great Mosque of Central Java,asia/indonesia/java/semarang/great_mosque_central_java,0.34,13.988,11.359,needs_external_source,,https://en.wikivoyage.org/wiki/Semarang
asia/malaysia/johorbahru,Johor Bahru,Johor Bahru,8,205,see,Taman Eko Flora Urban Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,1.588556,103.7655,Sultan Abu Bakar State Mosque,asia/malaysia/johorbahru/sultan_abu_bakar_state_mosque,0.364,14.716,14.495,needs_external_source,,https://en.wikivoyage.org/wiki/Johor_Bahru
europe/finland/kotka,Kotka,Kotka,3,31,see,Sapokka Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,60.4579,26.9456,Langinkoski Imperial Fishing Lodge,europe/finland/kotka/langinkoski,0.261,4.784,1.045,needs_external_source,,https://en.wikivoyage.org/wiki/Kotka
asia/china/jiangxi/mount_longhu,Mount Longhu,Mount Longhu,5,11,do,Dream of Tao,0.89,candidate,has coordinates; has description; high-value type; strong travel term,28.0874,116.9601,Luxi River Boat Trip,asia/china/jiangxi/mount_longhu/luxi_river_boat,0.25,2.919,2.919,needs_external_source,,https://en.wikivoyage.org/wiki/Mount_Longhu
europe/ukraine/kyiv,Kyiv,Kyiv,52,205,see,Hydropark,0.89,candidate,has coordinates; has description; high-value type; strong travel term,50.443611,30.576944,Khreshchatyy Park,europe/ukraine/kyiv/khreshchatyk_park,0.462,2.791,3.809,needs_external_source,,https://en.wikivoyage.org/wiki/Kyiv
