world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/india/himachalpradesh/manali,Manali,Manali,10,47,see,Rahala waterfalls,0.85,candidate,has coordinates; has description; high-value type,32.33655,77.21851,Solang Valley,asia/india/himachalpradesh/manali/solang_valley,0.4,6.219,10.541,needs_external_source,,https://en.wikivoyage.org/wiki/Manali
northamerica/unitedstates/texas/midland,Midland,Midland (Texas),4,33,see,The Midland Center,0.85,candidate,has coordinates; has description; high-value type,31.998132,-102.074428,Haley Memorial Library and History Center,northamerica/unitedstates/texas/midland/haley_memorial_library,0.4,18.077,18.919,needs_external_source,,https://en.wikivoyage.org/wiki/Midland_%28Texas%29
asia/india/maharashtra/konkan/dapoli,Dapoli,Dapoli,4,22,see,Unhavare,0.85,candidate,has coordinates; has description; high-value type,17.60709,73.32076,Anjarle Beach,asia/india/maharashtra/konkan/dapoli/anjarle_beach,0.381,30.386,21.851,needs_external_source,,https://en.wikivoyage.org/wiki/Dapoli
europe/hungary/esztergom,Esztergom,Esztergom,6,86,see,Trinity-statue,0.85,candidate,has coordinates; has description; high-value type,47.79173,18.73983,Christian Museum,europe/hungary/esztergom/christian_museum,0.467,0.744,0.671,needs_external_source,,https://en.wikivoyage.org/wiki/Esztergom
asia/india/andhrapradesh/kurnool,Kurnool,Kurnool,6,9,see,Kotla Vijaya Bhaskar Reddy,0.85,candidate,has coordinates; has description; high-value type,15.82418,78.03738,Konda Reddy Fort,asia/india/andhrapradesh/kurnool/konda_reddy_fort,0.429,1.883,0.931,needs_external_source,,https://en.wikivoyage.org/wiki/Kurnool
europe/sweden/gotska_sandn,Gotska Sandön,Gotska Sandön,0,5,see,Gotska Sandön lighthouse,0.85,candidate,has coordinates; has description; high-value type,58.39412,19.193029,,,0.0,,4.784,needs_external_source,,https://en.wikivoyage.org/wiki/Gotska_Sand%C3%B6n
asia/india/westbengal/barrackpore,Barrackpore,Barrackpore,4,13,see,Government House,0.85,candidate,has coordinates; has description; high-value type,22.760101,88.356431,Barrackpore Government High School,asia/india/westbengal/barrackpore/barrackpore_government_high_school,0.52,1.582,2.218,needs_external_source,,https://en.wikivoyage.org/wiki/Barrackpore
asia/china/zhejiang/shaoxing,Shaoxing,Shaoxing,11,48,do,Warehouse bridge straight street,0.85,candidate,has coordinates; has description; high-value type,30.008192,120.583991,Former Residence of Cai Yuanpei,asia/china/zhejiang/shaoxing/cai_yuanpei_residence,0.538,0.462,1.791,needs_external_source,,https://en.wikivoyage.org/wiki/Shaoxing
northamerica/mexico/tulum,Tulum,Tulum,27,59,see,Cenote Cristal & Cenote Escondido,0.85,candidate,has coordinates; has description; high-value type,20.201559,-87.5105165,Cenote Calavera,northamerica/mexico/tulum/cenote_calavera,0.48,3.413,4.833,needs_external_source,,https://en.wikivoyage.org/wiki/Tulum
africa/ethiopia/addisababa,Addis Ababa,Addis Ababa,29,99,do,Jan Meda Race Ground,0.85,candidate,has coordinates; has description; high-value type,9.0428,38.7694,Anwar Mosque,africa/ethiopia/addisababa/anwar_mosque,0.375,3.304,2.023,needs_external_source,,https://en.wikivoyage.org/wiki/Addis_Ababa
asia/mongolia/karakorum,Karakorum,Karakorum,6,18,see,Tolgoin Boolt,0.85,candidate,has coordinates; has description; high-value type,47.180081,102.790846,Orkhon Valley,asia/mongolia/karakorum/orkhon_valley,0.385,3.696,4.774,needs_external_source,,https://en.wikivoyage.org/wiki/Karakorum
southamerica/colombia/neiva,Neiva,Neiva,6,13,see,Edificio Nacional,0.85,candidate,has coordinates; has description; high-value type,2.92648,-75.287,La Gaitana Monument,southamerica/colombia/neiva/la_gaitana_monument,0.303,11.815,11.903,needs_external_source,,https://en.wikivoyage.org/wiki/Neiva
europe/germany/badenwrttemberg/stuttgart,Stuttgart,Stuttgart,27,176,see,Burgholzturm,0.85,candidate,has coordinates; has description; high-value type,48.819108,9.19479,Rosenau,europe/germany/badenwrttemberg/stuttgart/rosenau,0.316,5.441,4.649,needs_external_source,,https://en.wikivoyage.org/wiki/Stuttgart
asia/mongolia/darkhan,Darkhan,Darkhan,3,33,see,Kharagiin Monastery,0.85,candidate,has coordinates; has description; high-value type,49.48689,105.93842,My Mongolia Park,asia/mongolia/darkhan/my_mongolia_park,0.343,2.489,0.617,needs_external_source,,https://en.wikivoyage.org/wiki/Darkhan
asia/india/rajasthan/jaipur,Jaipur,Jaipur,39,85,see,Gaitore,0.85,candidate,has coordinates; has description; high-value type,26.942865,75.824643,Gaitore Ki Chhatriyan,asia/india/rajasthan/jaipur/gaitore_ki_chhatriyan,0.5,2.074,3.105,needs_external_source,,https://en.wikivoyage.org/wiki/Jaipur
northamerica/unitedstates/newyorkstate/rochester,Rochester,Rochester (New York),13,238,see,Visitor Information Booth,0.85,candidate,has coordinates; has description; high-value type,43.1277,-77.6663,Strong National Museum of Play,northamerica/unitedstates/newyorkstate/rochester/strong_national_museum_of_play,0.4,6.04,5.665,needs_external_source,,https://en.wikivoyage.org/wiki/Rochester_%28New_York%29
asia/india/madhyapradesh/indore,Indore,Indore,7,60,see,Gomatgiri,0.85,candidate,has coordinates; has description; high-value type,22.74554,75.7733,Kanch Mandir,asia/india/madhyapradesh/indore/kanch_mandir,0.381,9.131,10.127,needs_external_source,,https://en.wikivoyage.org/wiki/Indore
europe/romania/bucharest,Bucharest,Bucharest,11,139,see,Victory Square,0.85,candidate,has coordinates; has description; high-value type,44.4529,26.0858,Herăstrău Park,europe/romania/bucharest/herastrau_park,0.429,2.508,2.3,needs_external_source,,https://en.wikivoyage.org/wiki/Bucharest
europe/slovakia/banskabystrica,Banská Bystrica,Banská Bystrica,5,32,see,Suchý vrch,0.85,candidate,has coordinates; has description; high-value type,48.7255,19.0772,Urpín Hill,europe/slovakia/banskabystrica/urpin_hill,0.316,4.687,6.138,needs_external_source,,https://en.wikivoyage.org/wiki/Bansk%C3%A1_Bystrica
northamerica/unitedstates/westvirginia/parkersburg,Parkersburg,Parkersburg,9,28,do,West Virginia Honey Festival,0.85,candidate,has coordinates; has description; high-value type,39.271,-81.529,Blennerhassett Hotel,northamerica/unitedstates/westvirginia/parkersburg/blennerhassett_hotel,0.333,2.876,2.889,needs_external_source,,https://en.wikivoyage.org/wiki/Parkersburg
asia/china/jiangsu_province/nanjing,Nanjing,Nanjing,51,72,see,The tomb of Sun Quan,0.85,candidate,has coordinates; has description; high-value type,32.049038,118.838632,Drum Tower of Nanjing,asia/china/jiangsu_province/nanjing/drum_tower,0.486,5.442,5.663,needs_external_source,,https://en.wikivoyage.org/wiki/Nanjing
asia/india/bihar/bhagalpur,Bhagalpur,Bhagalpur,5,11,see,Sultanganj,0.85,candidate,has coordinates; has description; high-value type,25.246,86.738,Budhanath Temple,asia/india/bihar/bhagalpur/budhanath_temple,0.308,23.841,24.765,needs_external_source,,https://en.wikivoyage.org/wiki/Bhagalpur
europe/switzerland/neuchatel,Neuchatel,Neuchatel,8,33,see,Le Jardin Botanique,0.85,candidate,has coordinates; has description; high-value type,47.00074,6.93547,Valangin Castle,europe/switzerland/neuchatel/valangin_castle,0.387,2.665,1.324,needs_external_source,,https://en.wikivoyage.org/wiki/Neuchatel
