world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/channelislands/alderney,Alderney,Alderney,6,9,see,Fort Clonque,0.66,candidate,has coordinates; high-value type; strong travel term,49.7138,-2.233,Fort Tourgis,europe/channelislands/alderney/fort_tourgis,0.583,1.147,2.87,needs_external_source,,https://en.wikivoyage.org/wiki/Alderney
europe/spain/canaryislands/lanzarote/puertodelcarmen,Puerto del Carmen,Puerto del Carmen,9,33,see,Old Town Harbour,0.66,candidate,has coordinates; high-value type; strong travel term,28.9213,-13.6725,Varadero Old Harbour,europe/spain/canaryislands/lanzarote/puertodelcarmen/varadero_harbour,0.611,2.322,2.124,needs_external_source,,https://en.wikivoyage.org/wiki/Puerto_del_Carmen
asia/turkey/marmaris,Marmaris,Marmaris,8,18,see,Sedir Island,0.66,candidate,has coordinates; high-value type; strong travel term,36.992,28.203,Cleopatra's Island (Sedir),asia/turkey/marmaris/cleopatras_island,0.6,7.257,16.781,needs_external_source,,https://en.wikivoyage.org/wiki/Marmaris
europe/russia/suzdal,Suzdal,Suzdal,7,42,see,Cathedral of the Intercession,0.66,candidate,has coordinates; high-value type; strong travel term,56.42901,40.43698,Cathedral of the Nativity,europe/russia/suzdal/cathedral_of_the_nativity,0.696,1.41,1.293,needs_external_source,,https://en.wikivoyage.org/wiki/Suzdal
asia/philippines/zambales,Zambales,Zambales,7,5,see,Magalawa Island,0.66,candidate,has coordinates; high-value type; strong travel term,15.495049424191857,119.89477532534556,Capones Island,asia/philippines/zambales/capones_island,0.552,66.026,8.083,needs_external_source,,https://en.wikivoyage.org/wiki/Zambales
asia/china/jiangsu_province/zhenjiang,Zhenjiang,Zhenjiang,6,13,see,Maoshan Mountain,0.64,candidate,has coordinates; has description; high-value type; has external URL,31.902861,119.229927,Jiaoshan Island,asia/china/jiangsu_province/zhenjiang/jiaoshan_island,0.581,44.047,36.618,has_external_url; day_trip_review,https://www.maoshanchina.com.cn/ms/html/webpc/index,https://en.wikivoyage.org/wiki/Zhenjiang
europe/georgia/kakheti,Kakheti,Kakheti,13,28,do,Alaverdoba,0.64,candidate,has coordinates; has description; high-value type; has external URL,42.032,45.377,Alaverdi Cathedral,europe/georgia/kakheti/alaverdi_cathedral,0.571,7.311,40.872,has_external_url; day_trip_review,https://en.wikipedia.org/wiki/Alaverdoba,https://en.wikivoyage.org/wiki/Kakheti
africa/southafrica/capetown,Cape Town,Cape Town,95,187,see,City Hall,0.64,candidate,has coordinates; has description; high-value type; has external URL,-33.5531,18.2526,City Bowl,africa/southafrica/capetown/city_bowl,0.667,44.165,44.466,has_external_url; day_trip_review,https://www.southafrica.net/za/en/travel/article/cape-town-city-hall-a-grand-old-building,https://en.wikivoyage.org/wiki/Cape_Town
northamerica/unitedstates/alaska/anchorage,Anchorage,Anchorage,23,84,do,Alyeska Resort,0.64,candidate,has coordinates; has description; high-value type; has external URL,60.9705,-149.098,Alaska Zoo,northamerica/unitedstates/alaska/anchorage/alaska_zoo,0.583,39.772,50.81,has_external_url; day_trip_review,http://www.alyeskaresort.com/,https://en.wikivoyage.org/wiki/Anchorage
northamerica/mexico/tequila,Tequila,Tequila,5,20,see,José Cuervo Distillery,0.64,candidate,has coordinates; has description; high-value type; has external URL,20.886119390179005,-103.84223096366094,Sauza Distillery (La Perseverancia),northamerica/mexico/tequila/sauza_distillery,0.703,0.604,25.758,has_external_url; day_trip_review,https://www.mundocuervo.com/,https://en.wikivoyage.org/wiki/Tequila
asia/qatar/alwakrah,Al Wakrah,Al Wakrah,3,11,see,Al Wakrah Primary Health Center,0.64,candidate,has coordinates; has description; high-value type; has external URL,25.173408,51.595218,Al Wakrah Public Beach,asia/qatar/alwakrah/al_wakrah_beach,0.604,27.477,26.506,has_external_url; day_trip_review,http://phcc.qa/portal/index/,https://en.wikivoyage.org/wiki/Al_Wakrah
europe/russia/pskov,Pskov,Pskov,13,11,see,Pskov-Caves Monastery,0.64,candidate,has coordinates; has description; high-value type; has external URL,57.810034,27.615058,Mirozhsky Monastery,europe/russia/pskov/mirozhsky_monastery,0.6,42.309,42.609,has_external_url; day_trip_review,http://www.pskovo-pechersky-monastery.ru,https://en.wikivoyage.org/wiki/Pskov
northamerica/unitedstates/florida/thepanhandle/apalachicola,Apalachicola,Apalachicola,17,31,see,Apalachicola National Forest,0.64,candidate,has coordinates; has description; high-value type; has external URL,30.2361,-84.6656,Apalachicola National Estuarine Research Reserve,northamerica/unitedstates/florida/thepanhandle/apalachicola/apalachicola_estuarine_reserve,0.658,68.236,64.896,has_external_url; day_trip_review,http://www.fs.usda.gov/apalachicola,https://en.wikivoyage.org/wiki/Apalachicola
africa/sierraleone/freetown,Freetown,Freetown,35,49,see,John Obey Beach,0.64,candidate,has coordinates; has description; high-value type; strong travel term,8.2411,-13.1629,Lumley Beach,africa/sierraleone/freetown/lumley_beach,0.593,27.986,28.87,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Freetown
asia/vietnam/phu_quoc,Phu Quoc,Phu Quoc,13,28,see,Phu Quoc Prison History Museum,0.64,candidate,has coordinates; has description; high-value type; strong travel term,10.04329,104.01865,Phu Quoc Prison (Coconut Tree Prison),asia/vietnam/phu_quoc/phu_quoc_prison,0.667,1.325,27.683,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Phu_Quoc
europe/spain/centralspain/zamora,Zamora,Zamora (Spain),5,28,see,Iglesia de San Juan,0.64,candidate,has coordinates; has description; high-value type; strong travel term,41.5033,-5.7469,Iglesia de la Magdalena,europe/spain/centralspain/zamora/iglesia_de_la_magdalena,0.667,26.526,25.995,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Zamora_%28Spain%29
europe/georgia/kakheti,Kakheti,Kakheti,13,28,see,Ujarma Castle,0.64,candidate,has coordinates; has description; high-value type; strong travel term,41.810778,45.153611,Shuamta Monasteries,europe/georgia/kakheti/shuamta_monasteries,0.562,23.687,43.771,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Kakheti
asia/india/orissa/chilika,Chilika Lake,Chilika Lake,2,10,see,Bird Island,0.64,candidate,has coordinates; has description; high-value type; strong travel term,19.5172,85.1346,Kalijai Island,asia/india/orissa/chilika/kalijai_island,0.64,18.474,29.256,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Chilika_Lake
europe/spain/soria,Soria,Soria,6,12,see,Concatedral de San Pedro,0.64,candidate,has coordinates; has description; high-value type; strong travel term,41.7662,-2.459,Monasterio de San Juan de Duero,europe/spain/soria/monasterio_san_juan_de_duero,0.609,0.447,28.517,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Soria
asia/iraq/karbala,Karbala,Karbala,6,13,see,Khan al-Atshan,0.64,candidate,has coordinates; has description; high-value type; strong travel term,32.3498,44.017,Bayn al-Haramayn,asia/iraq/karbala/bayn_al_haramayn,0.6,29.722,27.644,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Karbala
asia/china/gansu/lanzhou,Lanzhou,Lanzhou,11,26,see,White Cloud Temple,0.64,candidate,has coordinates; has description; high-value type; strong travel term,36.062647,103.810536,Xiguan Muslim Food Street,asia/china/gansu/lanzhou/xiguan_food_street,0.688,0.312,46.307,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Lanzhou
northamerica/nicaragua/elcastillo,El Castillo,El Castillo,3,5,see,Indio Maiz national park,0.64,candidate,has coordinates; has description; high-value type; strong travel term,11.082423,-84.095122,Indio Maíz Biological Reserve,northamerica/nicaragua/elcastillo/indio_maiz_reserve,0.604,27.562,34.363,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/El_Castillo
asia/china/xinjiangprovince/turpan,Turpan,Turpan,10,8,see,Tuyoq Valley,0.64,candidate,has coordinates; has description; high-value type; strong travel term,42.858,89.682778,Grape Valley,asia/china/xinjiangprovince/turpan/grape_valley,0.583,12.737,42.05,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Turpan
asia/indonesia/belitung,Belitung,Belitung,6,16,see,Burung Island,0.64,candidate,has coordinates; has description; high-value type; strong travel term,-2.5676,107.6261,Lengkuas Island,asia/indonesia/belitung/lengkuas_island,0.643,5.399,35.453,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Belitung
africa/kenya/thecoast/kilifi,Kilifi,Kilifi,8,15,do,Kilifi Beach,0.64,candidate,has coordinates; has description; high-value type; strong travel term,-3.617721,39.87759,Kilifi Creek,africa/kenya/thecoast/kilifi/kilifi_creek,0.667,3.352,56.583,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Kilifi
asia/china/shandong_province/weihai,Weihai,Weihai,4,37,do,Weihai Swan Lake National Park,0.64,candidate,has coordinates; has description; high-value type; strong travel term,37.36,122.58,Weihai Swan Lake,asia/china/shandong_province/weihai/weihai_swan_lake,0.696,56.732,44.352,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Weihai
asia/india/orissa/chilika,Chilika Lake,Chilika Lake,2,10,see,Breakfast Island,0.64,candidate,has coordinates; has description; high-value type; strong travel term,19.5242778,85.1179444,Kalijai Island,asia/india/orissa/chilika/kalijai_island,0.6,18.656,29.852,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Chilika_Lake
asia/china/zhejiang/ningbo,Ningbo,Ningbo,50,112,do,ZheDong Grand Canyon,0.64,candidate,has coordinates; has description; high-value type; strong travel term,29.2266,121.2291,Cicheng Ancient Town,asia/china/zhejiang/ningbo/cicheng_ancient_town,0.55,81.809,77.651,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Ningbo
asia/uzbekistan/shakhrisabz,Shakhrisabz,Shakhrisabz,4,12,see,Amir Temur Museum,0.64,candidate,has coordinates; has description; high-value type; strong travel term,39.05685,66.8302,Ak-Saray Palace,asia/uzbekistan/shakhrisabz/ak_saray_palace,0.613,0.387,25.133,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Shakhrisabz
asia/china/gansu/lanzhou,Lanzhou,Lanzhou,11,26,see,Nanguan Grand Mosque,0.64,candidate,has coordinates; has description; high-value type; strong travel term,36.051638786096646,103.82700384787171,Xiguan Mosque,asia/china/gansu/lanzhou/xiguan_mosque,0.667,1.835,47.755,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Lanzhou
asia/southkorea/dae_gu,Daegu,Daegu,7,73,see,Dodong-seowon,0.64,candidate,has coordinates; has description; high-value type; strong travel term,35.700919,128.371908,Dongseongno,asia/southkorea/dae_gu/dongseongno,0.667,27.597,28.069,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Daegu
asia/thailand/udonthani,Udon Thani,Udon Thani,10,41,see,Ban Chiang,0.64,candidate,has coordinates; has description; high-value type; strong travel term,17.548611,103.358333,Ban Chiang National Museum,asia/thailand/udonthani/ban_chiang_national_museum,0.556,22.578,62.34,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Udon_Thani
asia/china/gansu/lanzhou,Lanzhou,Lanzhou,11,26,see,Five-Spring Mountain,0.64,candidate,has coordinates; has description; high-value type; strong travel term,36.036296,103.824887,Wuquan Mountain Park,asia/china/gansu/lanzhou/wuquan_mountain,0.679,0.321,49.404,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Lanzhou
asia/china/shandong_province/jinan,Jinan,Jinan,65,109,see,Longshan Culture Museum,0.64,candidate,has coordinates; has description; high-value type; strong travel term,36.734,117.356,Shandong Art Museum,asia/china/shandong_province/jinan/shandong_art_museum,0.619,27.072,32.131,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Jinan
asia/iran/yazd,Yazd,Yazd,9,25,see,Takyeh Amir Chakhmagh,0.64,candidate,has coordinates; has description; high-value type; strong travel term,31.893673,54.369575,Amir Chakhmaq Complex,asia/iran/yazd/amir_chakhmaq_complex,0.571,17.932,32.363,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Yazd
asia/china/henan_province/zhengzhou,Zhengzhou,Zhengzhou,4,39,see,Yellow Emperor's Palace,0.64,candidate,has coordinates; has description; high-value type; strong travel term,34.481259,113.534054,Yellow River Scenic Area,asia/china/henan_province/zhengzhou/yellow_river_scenic_area,0.553,50.829,30.594,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Zhengzhou
asia/iran/yazd,Yazd,Yazd,9,25,see,Dowlat Abad Gardens,0.64,candidate,has coordinates; has description; high-value type; strong travel term,31.903936,54.351539,Dolat Abad Garden and Windcatcher,asia/iran/yazd/dolat_abad_garden,0.654,16.977,33.306,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Yazd
asia/indonesia/belitung,Belitung,Belitung,6,16,see,Burung Mandi Beach,0.64,candidate,has coordinates; has description; high-value type; strong travel term,-2.761,108.262,Tanjung Tinggi Beach,asia/indonesia/belitung/tanjung_tinggi_beach,0.632,77.07,67.905,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Belitung
europe/ukraine/poltava,Poltava,Poltava,7,54,see,Svyato-Panteleymonivska Church,0.64,candidate,has coordinates; has description; high-value type; strong travel term,49.5766,34.5375,Spaska Church,europe/ukraine/poltava/spaska_church,0.605,2.127,64.844,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Poltava
asia/china/sichuanprovince/panzhihua,Panzhihua,Panzhihua,5,10,do,Panzhihua climbing park,0.64,candidate,has coordinates; has description; high-value type; strong travel term,26.3337,101.4348,Panzhihua Museum,asia/china/sichuanprovince/panzhihua/panzhihua_museum,0.564,39.992,39.525,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Panzhihua
