world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/germany/brandenburg/cottbus,Cottbus,Cottbus,6,43,see,Triebwagen 24,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.750411,14.325829,Spremberger Turm,europe/germany/brandenburg/cottbus/spremberger_turm,0.414,0.697,0.98,has_external_url,https://www.cottbusverkehr.de/fahrzeugvermietung/,https://en.wikivoyage.org/wiki/Cottbus
europe/netherlands/deventer,Deventer,Deventer,13,32,see,Kunstenlab,0.89,candidate,has coordinates; has description; high-value type; has external URL,52.246945,6.169478,Deventer op Stelten,europe/netherlands/deventer/deventer_op_stelten,0.345,0.81,0.806,has_external_url,https://kunstenlab.nl,https://en.wikivoyage.org/wiki/Deventer
europe/switzerland/zurich,Zurich,Zurich,54,136,do,Zürcher Theater Spektakel,0.89,candidate,has coordinates; has description; high-value type; has external URL,47.3503,8.53511,Zürich Hauptbahnhof,europe/switzerland/zurich/zurich_hauptbahnhof,0.5,3.126,2.722,has_external_url,https://www.theaterspektakel.ch/,https://en.wikivoyage.org/wiki/Zurich
europe/croatia/krka_national_park_1,Krka National Park,Krka National Park,0,24,see,Manastir Krka,0.89,candidate,has coordinates; has description; high-value type; has external URL,43.963168,15.990171,,,0.0,,5.008,has_external_url,http://www.npkrka.hr/stranice/manastir-krka/19/en.html,https://en.wikivoyage.org/wiki/Krka_National_Park
europe/finland/vaasa,Vaasa,Vaasa,12,80,see,Aava Kertun Kotitila,0.89,candidate,has coordinates; has description; high-value type; has external URL,63.172543,21.28863,Kvarken Archipelago,europe/finland/vaasa/kvarken_archipelago,0.462,11.066,18.523,has_external_url,https://www.aavakertunkotitila.fi/,https://en.wikivoyage.org/wiki/Vaasa
europe/germany/saxony/leipzig,Leipzig,Leipzig,16,133,see,Schiller House,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.358805,12.362827,Schumann-Haus,europe/germany/saxony/leipzig/clara_schumann_haus,0.519,2.817,2.183,has_external_url,https://www.stadtgeschichtliches-museum-leipzig.de/en/visit/our-museums/schiller-house/,https://en.wikivoyage.org/wiki/Leipzig
asia/indonesia/java/surabaya,Surabaya,Surabaya,12,138,do,Ciputra Golf,0.89,candidate,has coordinates; has description; high-value type; has external URL,-7.2933,112.6368,Surabaya Zoo (Kebun Binatang Surabaya),asia/indonesia/java/surabaya/surabaya_zoo,0.417,11.151,12.305,has_external_url,http://www.ciputragolf.com/golf-course/,https://en.wikivoyage.org/wiki/Surabaya
europe/portugal/oporto,Oporto,Porto,15,65,do,Boavista FC,0.89,candidate,has coordinates; has description; high-value type; has external URL,41.1622,-8.6428,Casa da Música,europe/portugal/oporto/casa_da_musica,0.4,1.238,3.026,has_external_url,https://boavistafc.pt/,https://en.wikivoyage.org/wiki/Porto
europe/unitedkingdom/england/gloucestershire/cheltenham,Cheltenham,Cheltenham,10,51,see,Chedworth Roman Villa,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.819401,-1.92295,Cheltenham Racecourse,europe/unitedkingdom/england/gloucestershire/cheltenham/cheltenham_racecourse,0.381,13.697,13.53,has_external_url,https://www.nationaltrust.org.uk/chedworth-roman-villa/,https://en.wikivoyage.org/wiki/Cheltenham
northamerica/unitedstates/alabama/mobile,Mobile,Mobile,6,32,see,Bragg-Mitchell Mansion,0.89,candidate,has coordinates; has description; high-value type; has external URL,30.692378,-88.086235,Bienville Square,northamerica/unitedstates/alabama/mobile/bienville_square,0.368,4.182,4.059,has_external_url,https://braggmitchellmansion.com/,https://en.wikivoyage.org/wiki/Mobile
asia/indonesia/java/bogor,Bogor,Bogor,6,30,do,One Earth Retreat Center,0.89,candidate,has coordinates; has description; high-value type; has external URL,-6.63233,106.87701,Bogor Cathedral (Gereja Katedral),asia/indonesia/java/bogor/bogor_cathedral,0.359,10.056,9.668,has_external_url,http://www.anandashram.asia/our-centres/,https://en.wikivoyage.org/wiki/Bogor
northamerica/unitedstates/oregon/corvallis,Corvallis,Corvallis (Oregon),5,42,do,DaVinci Days,0.89,candidate,has coordinates; has description; high-value type; has external URL,44.56707,-123.31407,Corvallis Saturday Farmers Market,northamerica/unitedstates/oregon/corvallis/farmers_market,0.311,3.748,4.131,has_external_url,https://www.davincidays.org/,https://en.wikivoyage.org/wiki/Corvallis_%28Oregon%29
northamerica/unitedstates/northcarolina/wilmington,Wilmington,Wilmington (North Carolina),9,43,do,Watersmyth Kayaking,0.89,candidate,has coordinates; has description; high-value type; has external URL,34.2912,-77.9138,USS North Carolina,northamerica/unitedstates/northcarolina/wilmington/uss_north_carolina,0.378,7.135,7.815,has_external_url,https://www.facebook.com/p/Watersmith-Kayaking-100063569288230/,https://en.wikivoyage.org/wiki/Wilmington_%28North_Carolina%29
northamerica/unitedstates/oregon/eugene,Eugene,Eugene,20,105,do,Mushroom Festival,0.89,candidate,has coordinates; has description; high-value type; has external URL,44.00686,-122.98041,Hayward Field,northamerica/unitedstates/oregon/eugene/hayward_field,0.4,8.101,10.371,has_external_url,http://www.mountpisgaharboretum.com/festivals-events/mushroom-festival/,https://en.wikivoyage.org/wiki/Eugene
europe/finland/raahe,Raahe,Raahe,5,22,see,Ruukki Steel Mill,0.89,candidate,has coordinates; has description; high-value type; has external URL,64.6524,24.4315,Pekkatori,europe/finland/raahe/pekkatori,0.308,4.128,4.296,has_external_url,http://www.ruukki.com/,https://en.wikivoyage.org/wiki/Raahe
europe/denmark/fredrikshavn,Frederikshavn,Frederikshavn,7,44,do,Rødspætte Cup,0.89,candidate,has coordinates; has description; high-value type; has external URL,57.44228397626964,10.519624276650253,Krudttårnet,europe/denmark/fredrikshavn/krudttarnet,0.417,1.297,0.845,has_external_url,http://www.rodcup.dk/,https://en.wikivoyage.org/wiki/Frederikshavn
asia/china/gansu/zhangye,Zhangye,Zhangye,3,22,see,Blackwater National site,0.89,candidate,has coordinates; has description; high-value type; has external URL,39.032343,100.339769,Mati Si Temple Grottoes,asia/china/gansu/zhangye/mati_si,0.34,69.515,14.694,has_external_url,http://www.bestchinahotel.com/attractions-in-zhangye/,https://en.wikivoyage.org/wiki/Zhangye
europe/denmark/aarhus,Aarhus,Aarhus,12,232,do,Lyseng Svømmebad,0.89,candidate,has coordinates; has description; high-value type; has external URL,56.112219,10.191228,Den Permanente,europe/denmark/aarhus/den_permanente,0.333,3.302,4.378,has_external_url,https://vigirbyenpuls.dk/svoemmehaller/lyseng-svoemmebad/,https://en.wikivoyage.org/wiki/Aarhus
northamerica/thecaribbean/puertorico/aguadilla,Aguadilla,Aguadilla,11,6,do,Ocean Casino at Courtyard by Marriott Aguadilla,0.89,candidate,has coordinates; has description; high-value type; has external URL,18.50128,-67.13977,Museo de Arte de Aguadilla,northamerica/thecaribbean/puertorico/aguadilla/museo_de_arte_aguadilla,0.478,8.567,8.353,has_external_url,https://www.courtyardaguadilla.com/,https://en.wikivoyage.org/wiki/Aguadilla
asia/qatar/doha,Doha,Doha,50,160,do,Drag racing,0.89,candidate,has coordinates; has description; high-value type; has external URL,25.174728,51.47609,Katara Beach,asia/qatar/doha/katara_beach,0.435,20.78,15.48,has_external_url,http://qrczone.com/,https://en.wikivoyage.org/wiki/Doha
northamerica/unitedstates/california/northcoast/santarosa,Santa Rosa,Santa Rosa (California),10,37,see,Safari West,0.89,candidate,has coordinates; has description; high-value type; has external URL,38.5571,-122.696,SingleThread Farms Restaurant,northamerica/unitedstates/california/northcoast/santarosa/single_thread_farms,0.45,15.836,13.061,has_external_url,http://www.safariwest.com,https://en.wikivoyage.org/wiki/Santa_Rosa_%28California%29
northamerica/unitedstates/westvirginia/morgantown,Morgantown,Morgantown,10,63,do,West Virginia Mountaineers basketball,0.89,candidate,has coordinates; has description; high-value type; has external URL,39.649254,-79.981198,Monongalia Arts Center,northamerica/unitedstates/westvirginia/morgantown/monongalia_arts_center,0.339,3.073,3.069,has_external_url,http://www.wvusports.com/,https://en.wikivoyage.org/wiki/Morgantown
europe/unitedkingdom/scotland/kelso,Kelso,Kelso (Scotland),6,8,see,Smailholm Tower,0.89,candidate,has coordinates; has description; high-value type; has external URL,55.609,-2.564,The Square,europe/unitedkingdom/scotland/kelso/the_square,0.286,8.274,8.261,has_external_url,https://www.historicenvironment.scot/visit-a-place/places/smailholm-tower/,https://en.wikivoyage.org/wiki/Kelso_%28Scotland%29
europe/hungary/sopron,Sopron,Sopron,9,234,do,Sopron's Railway Sports Association,0.89,candidate,has coordinates; has description; high-value type; has external URL,47.6734,16.5843,Roman Remains of Scarbantia,europe/hungary/sopron/roman_remains,0.452,1.27,1.302,has_external_url,http://www.svse.hu/,https://en.wikivoyage.org/wiki/Sopron
europe/unitedkingdom/england/suffolk/lowestoft,Lowestoft,Lowestoft,7,20,do,Somerleyton Hall,0.89,candidate,has coordinates; has description; high-value type; has external URL,52.521,1.67336,Pleasurewood Hills,europe/unitedkingdom/england/suffolk/lowestoft/pleasurewood_hills,0.412,7.501,7.346,has_external_url,http://www.somerleyton.co.uk,https://en.wikivoyage.org/wiki/Lowestoft
europe/unitedkingdom/england/eastern_england/harwich,Harwich,Harwich (England),12,24,do,Dovercourt Roller Skate Rink,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.9291,1.2718,Beacon Hill Battery,europe/unitedkingdom/england/eastern_england/harwich/beacon_hill_battery,0.468,1.557,2.124,has_external_url,http://www.simplyskating.co.uk,https://en.wikivoyage.org/wiki/Harwich_%28England%29
northamerica/guatemala/antiguaguatemala,Antigua Guatemala,Antigua Guatemala,16,66,see,Valhalla Macadamia Farm,0.89,candidate,has coordinates; has description; high-value type; has external URL,14.516524,-90.78792,Plaza de Armas,northamerica/guatemala/antiguaguatemala/plazadearmas,0.412,7.513,7.438,has_external_url,http://valhallamacfarm.com/,https://en.wikivoyage.org/wiki/Antigua_Guatemala
