world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/israel/ein_gedi,Ein Gedi,Ein Gedi,7,7,do,Ein Gedi Public Beach (closed),0.89,candidate,has coordinates; has description; high-value type; strong travel term,31.45817,35.39696,Ein Gedi Kibbutz Botanical Garden,asia/israel/ein_gedi/kibbutz_botanical_garden,0.519,1.29,1.318,needs_external_source,,https://en.wikivoyage.org/wiki/Ein_Gedi
africa/burundi/bujumbura,Bujumbura,Bujumbura,7,41,see,Musée Vivant,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-3.387,29.3536,Mausolée du Prince Louis Rwagasore,africa/burundi/bujumbura/mausolee_louis_rwagasore,0.372,3.714,1.312,needs_external_source,,https://en.wikivoyage.org/wiki/Bujumbura
europe/germany/thuringia/erfurt,Erfurt,Erfurt,8,43,do,Stadtpark,0.89,candidate,has coordinates; has description; high-value type; strong travel term,50.97011,11.03828,St Augustine's Monastery,europe/germany/thuringia/erfurt/augustinerkloster,0.364,1.393,1.085,needs_external_source,,https://en.wikivoyage.org/wiki/Erfurt
northamerica/unitedstates/arizona/cave_creek,Cave Creek,Cave Creek,0,31,do,Black Mountain Summit Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,33.818875,-111.936032,,,0.0,,1.821,needs_external_source,,https://en.wikivoyage.org/wiki/Cave_Creek
southamerica/argentina/parana,Paraná,Paraná (Argentina),12,18,see,Urquiza Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-31.71795,-60.536,Parque Urquiza,southamerica/argentina/parana/parque_urquiza,0.538,1.353,1.773,needs_external_source,,https://en.wikivoyage.org/wiki/Paran%C3%A1_%28Argentina%29
africa/ethiopia/danakilsdepression,Danakil Depression,Danakil Depression,6,9,see,Salt canyons,0.89,candidate,has coordinates; has description; high-value type; strong travel term,14.229,40.29,Erta Ale Volcano,africa/ethiopia/danakilsdepression/erta_ale,0.5,79.998,1.776,needs_external_source,,https://en.wikivoyage.org/wiki/Danakil_Depression
europe/serbia/kosovoprovince/pristina,Pristina,Pristina,20,107,see,Mausoleum of Sultan Murat I,0.89,candidate,has coordinates; has description; high-value type; strong travel term,42.70204,21.10474,Home Restaurant,europe/serbia/kosovoprovince/pristina/home_restaurant,0.476,6.392,6.604,needs_external_source,,https://en.wikivoyage.org/wiki/Pristina
asia/oman/sohar,Sohar,Sohar,3,14,see,Fish market,0.89,candidate,has coordinates; has description; high-value type; strong travel term,24.378342,56.739846,Sohar Fort,asia/oman/sohar/sohar_fort,0.476,1.685,4.168,needs_external_source,,https://en.wikivoyage.org/wiki/Sohar
europe/macedonia/bitola,Bitola,Bitola,6,65,see,Džepane,0.89,candidate,has coordinates; has description; high-value type; strong travel term,41.0118,21.3588,Heraclea Lyncestis,europe/macedonia/bitola/heraclea_lyncestis,0.24,1.372,3.253,needs_external_source,,https://en.wikivoyage.org/wiki/Bitola
europe/france/centre/auvergne/vichy,Vichy,Vichy,14,77,do,Parc Omnisports Pierre-Coulon,0.89,candidate,has coordinates; has description; high-value type; strong travel term,46.141,3.406378,Brasserie du Casino,europe/france/centre/auvergne/vichy/brasserie_du_casino,0.4,2.223,2.174,needs_external_source,,https://en.wikivoyage.org/wiki/Vichy
asia/uzbekistan/samarkand,Samarkand,Samarkand,19,61,see,Panjab Shia Mosque and Panjab Madrasah,0.89,candidate,has coordinates; has description; high-value type; strong travel term,39.6438,66.929,Hazrat Khizr Mosque,asia/uzbekistan/samarkand/hazrat_khizr_mosque,0.421,5.126,2.872,needs_external_source,,https://en.wikivoyage.org/wiki/Samarkand
europe/greece/drama,Drama,Drama,6,25,see,Ruined castle Aggitis,0.89,candidate,has coordinates; has description; high-value type; strong travel term,41.2243,23.8902,Drama International Short Film Festival,europe/greece/drama/drama_short_film_festival,0.3,23.011,23.012,needs_external_source,,https://en.wikivoyage.org/wiki/Drama
asia/vietnam/vungtau,Vung Tau,Vung Tau,11,45,do,Bãi Dâu,0.89,candidate,has coordinates; has description; high-value type; strong travel term,10.36874,107.0616,Bạch Dinh (White Villa),asia/vietnam/vungtau/bach_dinh,0.5,2.137,2.713,needs_external_source,,https://en.wikivoyage.org/wiki/Vung_Tau
asia/china/anhui/huaibei,Huaibei,Huaibei,5,33,do,Leyou Sports Park (Outdoor Activity Park),0.89,candidate,has coordinates; has description; high-value type; strong travel term,33.97,116.8,Xiangshan Park and Temple,asia/china/anhui/huaibei/xiangshan_park,0.286,1.246,0.0,needs_external_source,,https://en.wikivoyage.org/wiki/Huaibei
africa/kenya/thecoast/mombasa,Mombasa,Mombasa,20,137,see,Krapf Memorial,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-4.05581,39.68301,Cafe Mocha,africa/kenya/thecoast/mombasa/cafe_mocha,0.5,3.401,1.853,needs_external_source,,https://en.wikivoyage.org/wiki/Mombasa
asia/india/westbengal/barrackpore,Barrackpore,Barrackpore,4,13,see,St. Bartholomew's Cathedral,0.89,candidate,has coordinates; has description; high-value type; strong travel term,22.7646,88.3567,Flagstaff House,asia/india/westbengal/barrackpore/flagstaff_house,0.341,1.517,2.144,needs_external_source,,https://en.wikivoyage.org/wiki/Barrackpore
southamerica/brazil/petropolis,Petrópolis,Petrópolis,4,30,see,A Encantada,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-22.5103412,-43.1842278,Catedral de São Pedro de Alcântara,southamerica/brazil/petropolis/catedral_sao_pedro,0.345,0.655,13.635,needs_external_source,,https://en.wikivoyage.org/wiki/Petr%C3%B3polis
europe/azerbaijan/qax,Qax,Qax,5,10,see,İçəri bazar,0.89,candidate,has coordinates; has description; high-value type; strong travel term,41.4178,46.9291,Ilisu Waterfall,europe/azerbaijan/qax/ilisu_waterfall,0.4,11.815,20.909,needs_external_source,,https://en.wikivoyage.org/wiki/Qax
asia/myanmar/mrauku,Mrauk-U,Mrauk U,11,21,see,Wethali,0.89,candidate,has coordinates; has description; high-value type; strong travel term,20.66834,93.153022,Le-myet-hna Temple,asia/myanmar/mrauku/le_myet_hna,0.455,8.704,9.578,needs_external_source,,https://en.wikivoyage.org/wiki/Mrauk_U
africa/benin/cotonou,Cotonou,Cotonou,8,44,do,Obama Beach,0.89,candidate,has coordinates; has description; high-value type; strong travel term,6.3438,2.40315,Fidjrosse Beach,africa/benin/cotonou/fidjrosse_beach,0.538,0.478,3.613,needs_external_source,,https://en.wikivoyage.org/wiki/Cotonou
