world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/canada/britishcolumbia/vancouver/coquitlam,Coquitlam,Coquitlam,9,30,see,Como Lake Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.2604,-122.8583,Town Centre Park,northamerica/canada/britishcolumbia/vancouver/coquitlam/town_centre_park,0.533,6.049,5.48,has_external_url,https://www.coquitlam.ca/Facilities/Facility/Details/Como-Lake-Park-26,https://en.wikivoyage.org/wiki/Coquitlam
northamerica/unitedstates/oklahoma/pawhuska,Pawhuska,Pawhuska,4,8,see,Osage County Historical Society,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.66433,-96.33135,Osage Nation Museum,northamerica/unitedstates/oklahoma/pawhuska/osage_nation_museum,0.36,0.863,0.79,has_external_url,http://osage-county.edan.io/,https://en.wikivoyage.org/wiki/Pawhuska
northamerica/mexico/tulum,Tulum,Tulum,27,59,see,Mystika Immersive,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,20.21739,-87.436897,Sian Ka'an Biosphere Reserve,northamerica/mexico/tulum/sian_kaan,0.524,38.348,3.048,has_external_url,https://mystikaimmersive.com/,https://en.wikivoyage.org/wiki/Tulum
europe/portugal/arouca,Arouca,Arouca,10,12,see,Casa das Pedras Parideiras,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.85077,-8.28255,Passadiços do Paiva,europe/portugal/arouca/passadiços_do_paiva,0.533,6.531,9.266,has_external_url,http://www.aroucageopark.pt/en/explore/what-visit/museums-and-interpretive-units/casa-das-pedras-parideiras-interpretative-center/,https://en.wikivoyage.org/wiki/Arouca
europe/unitedkingdom/england/manchester_liverpool_and_north_west/carlisle,Carlisle,Carlisle,5,19,do,Watchtree Nature Reserve,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,54.8744,-3.0842,Carlisle Cathedral,europe/unitedkingdom/england/manchester_liverpool_and_north_west/carlisle/carlisle_cathedral,0.381,9.659,9.618,has_external_url,https://www.watchtree.co.uk/,https://en.wikivoyage.org/wiki/Carlisle
northamerica/unitedstates/arizona/tempe,Tempe,Tempe,15,51,see,Petersen House Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,33.393459,-111.961794,Eisendrath House,northamerica/unitedstates/arizona/tempe/eisendrath_house,0.541,4.545,4.097,has_external_url,https://www.tempe.gov/government/community-services/tempe-history-museum/petersen-house-museum,https://en.wikivoyage.org/wiki/Tempe
europe/montenegro/cetinje,Cetinje,Cetinje,6,12,see,Lipa Cave,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.374,18.9534,Royal Palace (Dvorac),europe/montenegro/cetinje/royal_palace,0.476,2.816,2.935,has_external_url,https://lipa-cave.me/,https://en.wikivoyage.org/wiki/Cetinje
europe/netherlands/enschede,Enschede,Enschede,14,28,see,Volkspark,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.220489,6.87948,Grote Kerk (St Jacobskerk),europe/netherlands/enschede/grote_kerk,0.421,0.908,0.994,has_external_url,http://www.volkspark.nl/index.php,https://en.wikivoyage.org/wiki/Enschede
northamerica/unitedstates/florida/northeastflorida/staugustine,St. Augustine,St. Augustine,11,75,see,Alligator Farm Zoological Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,29.881717,-81.28895,Anastasia State Park,northamerica/unitedstates/florida/northeastflorida/staugustine/anastasia_state_park,0.36,1.511,2.833,has_external_url,https://www.alligatorfarm.com/,https://en.wikivoyage.org/wiki/St._Augustine
northamerica/unitedstates/newyorkstate/buffalo,Buffalo,Buffalo,20,84,see,Times Beach Nature Preserve,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.87477,-78.885294,Delaware Consumer Square,northamerica/unitedstates/newyorkstate/buffalo/delaware_consumer,0.392,9.063,1.42,has_external_url,http://www.friendsoftimesbeachnp.org/,https://en.wikivoyage.org/wiki/Buffalo
northamerica/unitedstates/florida/st_augustine,St. Augustine,St. Augustine,15,75,see,Ponce de Leon's Fountain of Youth,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,29.9073,-81.3161,Castillo de San Marcos,northamerica/unitedstates/florida/st_augustine/castillo_de_san_marcos,0.367,1.173,1.41,has_external_url,http://www.fountainofyouthflorida.com,https://en.wikivoyage.org/wiki/St._Augustine
europe/austria/linz,Linz,Linz,11,63,see,Military History Collection in Ebelsberg Castle,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.24692,14.328263,Ars Electronica Center,europe/austria/linz/ars_electronica_center,0.406,7.514,7.373,has_external_url,https://www.donauregion.at/en/austria/poi/402377/ebelsberg-castle.html,https://en.wikivoyage.org/wiki/Linz
northamerica/unitedstates/florida/fortlauderdale,Fort Lauderdale,Fort Lauderdale,17,67,see,Antique Car Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,26.10216,-80.14349,Jaxson's Ice Cream,northamerica/unitedstates/florida/fortlauderdale/jaxsons_ice_cream,0.5,5.155,2.24,has_external_url,https://www.antiquecarmuseum.net/,https://en.wikivoyage.org/wiki/Fort_Lauderdale
northamerica/canada/britishcolumbia/richmond,Richmond,Richmond (British Columbia),5,56,see,Britannia Shipyards National Historic Site,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.1211,-123.1695,International Buddhist Temple,northamerica/canada/britishcolumbia/richmond/international_buddhist_temple,0.535,3.614,5.231,has_external_url,https://britanniashipyard.ca/,https://en.wikivoyage.org/wiki/Richmond_%28British_Columbia%29
europe/hungary/gyor,Győr,Győr,13,201,see,Nádorváros Lutheran Church,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.6762,17.6399,Carmelite Monastery and Church,europe/hungary/gyor/karmelita_kolostor,0.5,1.126,0.914,has_external_url,http://nadorvaros.lutheran.hu/nadorvaros.htm,https://en.wikivoyage.org/wiki/Gy%C5%91r
northamerica/unitedstates/massachusetts/plymouth,Plymouth,Plymouth (Massachusetts),6,68,do,White Horse Beach,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.93106,-70.55758,Plymouth Waterfront,northamerica/unitedstates/massachusetts/plymouth/plymouth_waterfront,0.222,9.361,9.57,has_external_url,http://whbeach.com/,https://en.wikivoyage.org/wiki/Plymouth_%28Massachusetts%29
asia/southkorea/suwon,Suwon,Suwon,6,131,see,Gyeonggi Arts Center,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.2615,127.0377,Hwaseong Fortress,asia/southkorea/suwon/hwaseong_fortress_1,0.432,0.818,2.274,has_external_url,http://www.ggac.or.kr/,https://en.wikivoyage.org/wiki/Suwon
europe/hungary/kecskemet,Kecskemét,Kecskemét,12,106,do,Nyíri forest,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.927,19.579,Kodály Institute,europe/hungary/kecskemet/kodaly_institute,0.357,8.86,8.859,has_external_url,http://www.kefag.hu,https://en.wikivoyage.org/wiki/Kecskem%C3%A9t
asia/israel/beer_sheva,Be'er Sheva,Beer Sheva,11,19,see,Negev Zoo,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,31.26,34.745,Negev Museum of Art,asia/israel/beer_sheva/negev_museum_of_art,0.5,4.605,4.787,has_external_url,https://www.facebook.com/Negev.zoo.B7/,https://en.wikivoyage.org/wiki/Beer_Sheva
europe/slovakia/kosice,Košice,Košice,7,153,see,Museum of Aviation,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.668253,21.235643,East Slovak Museum,europe/slovakia/kosice/east_slovak_museum,0.333,6.712,6.075,has_external_url,https://stm-ke.sk/en/branches/museum-of-aviation-in-kosice/basic-information,https://en.wikivoyage.org/wiki/Ko%C5%A1ice
europe/unitedkingdom/northernireland/belfast,Belfast,Belfast,25,97,see,Irish Republican History Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,54.59966,-5.95058,Ulster Museum,europe/unitedkingdom/northernireland/belfast/ulster_museum,0.545,2.345,1.492,has_external_url,https://www.eileenhickeymuseum.com/,https://en.wikivoyage.org/wiki/Belfast
northamerica/unitedstates/newyorkstate/rochester,Rochester,Rochester (New York),13,238,do,Seabreeze Amusement Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.233,-77.5435,George Eastman Museum,northamerica/unitedstates/newyorkstate/rochester/george_eastman_museum,0.444,10.532,10.01,has_external_url,http://seabreeze.com/,https://en.wikivoyage.org/wiki/Rochester_%28New_York%29
northamerica/unitedstates/utah/saltlakecity,Salt Lake City,Salt Lake City,62,174,see,Tracy Aviary,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.742685,-111.875188,Liberty Park,northamerica/unitedstates/utah/saltlakecity/liberty_park,0.547,0.453,2.122,has_external_url,http://www.tracyaviary.org/,https://en.wikivoyage.org/wiki/Salt_Lake_City
northamerica/jamaica/kingston,Kingston,Kingston (Jamaica),50,50,see,Trenchtown Culture Yard Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,17.9816,-76.8054,Trench Town,northamerica/jamaica/kingston/trenchtown,0.488,0.981,2.119,has_external_url,https://www.ttcultureyard.com/visit,https://en.wikivoyage.org/wiki/Kingston_%28Jamaica%29
asia/turkey/ankara,Ankara,Ankara,13,116,see,Atatürk Forest Farm,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.945,32.7957,Trilye Restaurant,asia/turkey/ankara/trilye_restaurant,0.5,7.256,5.658,has_external_url,https://www.aoc.gov.tr/Portal/Geziyerlerimiz/ataturk-orman-ciftligi-muze-ve-sergi-salonu/37,https://en.wikivoyage.org/wiki/Ankara
northamerica/unitedstates/kentucky/bowlinggreen,Bowling Green,Bowling Green (Kentucky),9,44,see,Smiths Grove Historic District,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.052628,-86.208198,Riverview at Hobson Grove,northamerica/unitedstates/kentucky/bowlinggreen/riverview_at_hobson_grove,0.364,25.208,21.866,has_external_url,http://www.smithsgrove.org/,https://en.wikivoyage.org/wiki/Bowling_Green_%28Kentucky%29
europe/germany/badenwrttemberg/ulm,Ulm,Ulm,12,35,see,Tiergarten Ulm,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.4103,10.0119,Fishermen's Quarter (Fischerviertel),europe/germany/badenwrttemberg/ulm/fischerviertel,0.424,2.182,2.021,has_external_url,http://www.tiergarten.ulm.de/,https://en.wikivoyage.org/wiki/Ulm
northamerica/unitedstates/florida/lake_wales,Lake Wales,Lake Wales,4,40,see,Lake Wales Museum & Cultural Center (The Depot),0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,27.896944,-81.583611,Dixie Walesbilt Hotel,northamerica/unitedstates/florida/lake_wales/dixie_walesbilt_hotel,0.414,0.835,0.546,has_external_url,http://www.cityoflakewales.com/depot,https://en.wikivoyage.org/wiki/Lake_Wales
asia/vietnam/ninh_binh,Ninh Binh,Ninh Binh,8,23,see,Khe Coc Island,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,20.25158,105.92444,Tam Coc,asia/vietnam/ninh_binh/tam_coc,0.381,2.999,5.222,has_external_url,https://disantrangan.vn/,https://en.wikivoyage.org/wiki/Ninh_Binh
europe/unitedkingdom/scotland/peterhead,Peterhead,Peterhead,1,30,see,Arbuthnot Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,57.507,-1.7814,Things to do in Peterhead,europe/unitedkingdom/scotland/peterhead/things_to_do,0.244,,0.27,has_external_url,https://www.livelifeaberdeenshire.org.uk/museums/find-a-museum/arbuthnot-museum/,https://en.wikivoyage.org/wiki/Peterhead
europe/ukraine/ivanofrankivsk,Ivano-Frankivsk,Ivano-Frankivsk,9,103,do,Shevchenko Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.9101,24.6947,Hrushevsky Street (Stometrivka),europe/ukraine/ivanofrankivsk/hrushevsky_street,0.438,1.883,1.829,has_external_url,http://park-if.org.ua/,https://en.wikivoyage.org/wiki/Ivano-Frankivsk
asia/china/zhejiang/wenzhou,Wenzhou,Wenzhou,8,76,see,Sanyang Wetlands,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,27.9653712044,120.6961681205,Jiangxin Island,asia/china/zhejiang/wenzhou/jiangxin_island,0.516,4.063,3.45,has_external_url,http://sty.wenzhou.gov.cn/,https://en.wikivoyage.org/wiki/Wenzhou
