world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
europe/germany/brandenburg/cottbus,Cottbus,Cottbus,6,43,see,Triebwagen 24,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.750411,14.325829,Spremberger Turm,europe/germany/brandenburg/cottbus/spremberger_turm,0.414,0.697,0.98,has_external_url,https://www.cottbusverkehr.de/fahrzeugvermietung/,https://en.wikivoyage.org/wiki/Cottbus,Historic tram rental is a vehicle/service listing rather than a durable public POI.
northamerica/unitedstates/kansas/kansascity,Kansas City,Kansas City,16,127,do,Kansas City Roller Warriors,0.89,candidate,has coordinates; has description; high-value type; has external URL,39.112352,-94.62761,Kansas City Library Community Bookshelf,northamerica/unitedstates/kansas/kansascity/community_bookshelf,0.545,4.206,4.48,has_external_url,https://www.kcrollerwarriors.com/,https://en.wikivoyage.org/wiki/Kansas_City,Roller derby team is too event-specific and not a durable Kansas City POI.
northamerica/canada/manitoba/winnipeg,Winnipeg,Winnipeg,22,164,do,Speedworld Indoor Kart Track,0.89,candidate,has coordinates; has description; high-value type; has external URL,49.8915,-97.2092,Assiniboine Park,northamerica/canada/manitoba/winnipeg/assiniboine_park,0.364,2.792,5.087,has_external_url,http://www.speedworld.ca,https://en.wikivoyage.org/wiki/Winnipeg,Indoor karting business is a local entertainment service below Winnipeg's POI threshold.
northamerica/belize/cayecaulker,Caye Caulker,Caye Caulker,4,25,do,Frenchie's Diving Services,0.89,candidate,has coordinates; has description; high-value type; has external URL,17.7484471,-88.0260019,Barrier Reef Diving,northamerica/belize/cayecaulker/barrier_reef_diving,0.489,8.055,0.608,has_external_url,http://www.frenchiesdivingbelize.com/,https://en.wikivoyage.org/wiki/Caye_Caulker,Dive shop is an operator rather than a place POI and diving is already represented.
europe/germany/bavaria/bayreuth,Bayreuth,Bayreuth,8,76,see,Federal Police,0.89,candidate,has coordinates; has description; high-value type; has external URL,49.950079,11.579421,Margravial Opera House,europe/germany/bavaria/bayreuth/margravial_opera_house,0.413,0.587,0.707,has_external_url,https://www.bundespolizei.de/SharedDocs/Webs/Web/Organisationseinheiten/BPOLR/Bayreuth.html,https://en.wikivoyage.org/wiki/Bayreuth,Police office is a government service and not a visitor attraction.
europe/netherlands/deventer,Deventer,Deventer,13,32,see,Kunstenlab,0.89,candidate,has coordinates; has description; high-value type; has external URL,52.246945,6.169478,Deventer op Stelten,europe/netherlands/deventer/deventer_op_stelten,0.345,0.81,0.806,has_external_url,https://kunstenlab.nl,https://en.wikivoyage.org/wiki/Deventer,Local contemporary art workspace has limited standalone travel draw below Deventer threshold.
europe/switzerland/zurich,Zurich,Zurich,54,136,do,Zürcher Theater Spektakel,0.89,candidate,has coordinates; has description; high-value type; has external URL,47.3503,8.53511,Zürich Hauptbahnhof,europe/switzerland/zurich/zurich_hauptbahnhof,0.5,3.126,2.722,has_external_url,https://www.theaterspektakel.ch/,https://en.wikivoyage.org/wiki/Zurich,Annual theater festival is notable but too date-specific for the current durable POI pass in Zurich.
europe/finland/vaasa,Vaasa,Vaasa,12,80,see,Aava Kertun Kotitila,0.89,candidate,has coordinates; has description; high-value type; has external URL,63.172543,21.28863,Kvarken Archipelago,europe/finland/vaasa/kvarken_archipelago,0.462,11.066,18.523,has_external_url,https://www.aavakertunkotitila.fi/,https://en.wikivoyage.org/wiki/Vaasa,Farm visit is far from Vaasa and too limited as a general travel POI.
asia/indonesia/java/surabaya,Surabaya,Surabaya,12,138,do,Ciputra Golf,0.89,candidate,has coordinates; has description; high-value type; has external URL,-7.2933,112.6368,Surabaya Zoo (Kebun Binatang Surabaya),asia/indonesia/java/surabaya/surabaya_zoo,0.417,11.151,12.305,has_external_url,http://www.ciputragolf.com/golf-course/,https://en.wikivoyage.org/wiki/Surabaya,Golf course resort is a recreational facility with weak broad travel value for Surabaya.
europe/portugal/oporto,Oporto,Porto,15,65,do,Boavista FC,0.89,candidate,has coordinates; has description; high-value type; has external URL,41.1622,-8.6428,Casa da Música,europe/portugal/oporto/casa_da_musica,0.4,1.238,3.026,has_external_url,https://boavistafc.pt/,https://en.wikivoyage.org/wiki/Porto,Football club is too schedule-dependent and not a strong standalone Oporto POI.
asia/indonesia/java/bogor,Bogor,Bogor,6,30,do,One Earth Retreat Center,0.89,candidate,has coordinates; has description; high-value type; has external URL,-6.63233,106.87701,Bogor Cathedral (Gereja Katedral),asia/indonesia/java/bogor/bogor_cathedral,0.359,10.056,9.668,has_external_url,http://www.anandashram.asia/our-centres/,https://en.wikivoyage.org/wiki/Bogor,Retreat center is operator-like and outside central Bogor with limited general visitor appeal.
northamerica/unitedstates/oregon/corvallis,Corvallis,Corvallis (Oregon),5,42,do,DaVinci Days,0.89,candidate,has coordinates; has description; high-value type; has external URL,44.56707,-123.31407,Corvallis Saturday Farmers Market,northamerica/unitedstates/oregon/corvallis/farmers_market,0.311,3.748,4.131,has_external_url,https://www.davincidays.org/,https://en.wikivoyage.org/wiki/Corvallis_%28Oregon%29,Event listing has uncertain continuity and is too date-specific for a durable POI.
northamerica/unitedstates/northcarolina/wilmington,Wilmington,Wilmington (North Carolina),9,43,do,Watersmyth Kayaking,0.89,candidate,has coordinates; has description; high-value type; has external URL,34.2912,-77.9138,USS North Carolina,northamerica/unitedstates/northcarolina/wilmington/uss_north_carolina,0.378,7.135,7.815,has_external_url,https://www.facebook.com/p/Watersmith-Kayaking-100063569288230/,https://en.wikivoyage.org/wiki/Wilmington_%28North_Carolina%29,Kayak outfitter is a commercial operator rather than a stable POI.
europe/finland/raahe,Raahe,Raahe,5,22,see,Ruukki Steel Mill,0.89,candidate,has coordinates; has description; high-value type; has external URL,64.6524,24.4315,Pekkatori,europe/finland/raahe/pekkatori,0.308,4.128,4.296,has_external_url,http://www.ruukki.com/,https://en.wikivoyage.org/wiki/Raahe,Active industrial steel mill has limited visitor access and weak travel signal.
europe/denmark/fredrikshavn,Frederikshavn,Frederikshavn,7,44,do,Rødspætte Cup,0.89,candidate,has coordinates; has description; high-value type; has external URL,57.44228397626964,10.519624276650253,Krudttårnet,europe/denmark/fredrikshavn/krudttarnet,0.417,1.297,0.845,has_external_url,http://www.rodcup.dk/,https://en.wikivoyage.org/wiki/Frederikshavn,Youth sports tournament is event-specific and below travel POI threshold.
asia/china/gansu/zhangye,Zhangye,Zhangye,3,22,see,Blackwater National site,0.89,candidate,has coordinates; has description; high-value type; has external URL,39.032343,100.339769,Mati Si Temple Grottoes,asia/china/gansu/zhangye/mati_si,0.34,69.515,14.694,has_external_url,http://www.bestchinahotel.com/attractions-in-zhangye/,https://en.wikivoyage.org/wiki/Zhangye,Unclear and weakly corroborated archaeological lead far from existing Zhangye POI cluster.
europe/denmark/aarhus,Aarhus,Aarhus,12,232,do,Lyseng Svømmebad,0.89,candidate,has coordinates; has description; high-value type; has external URL,56.112219,10.191228,Den Permanente,europe/denmark/aarhus/den_permanente,0.333,3.302,4.378,has_external_url,https://vigirbyenpuls.dk/svoemmehaller/lyseng-svoemmebad/,https://en.wikivoyage.org/wiki/Aarhus,Public swimming pool is a local recreation facility not a travel POI.
northamerica/thecaribbean/puertorico/aguadilla,Aguadilla,Aguadilla,11,6,do,Ocean Casino at Courtyard by Marriott Aguadilla,0.89,candidate,has coordinates; has description; high-value type; has external URL,18.50128,-67.13977,Museo de Arte de Aguadilla,northamerica/thecaribbean/puertorico/aguadilla/museo_de_arte_aguadilla,0.478,8.567,8.353,has_external_url,https://www.courtyardaguadilla.com/,https://en.wikivoyage.org/wiki/Aguadilla,Casino inside a hotel is accommodation-adjacent and not a strong standalone POI.
asia/qatar/doha,Doha,Doha,50,160,do,Drag racing,0.89,candidate,has coordinates; has description; high-value type; has external URL,25.174728,51.47609,Katara Beach,asia/qatar/doha/katara_beach,0.435,20.78,15.48,has_external_url,http://qrczone.com/,https://en.wikivoyage.org/wiki/Doha,Motorsport venue is far from central Doha and below threshold against stronger existing sights.
northamerica/unitedstates/westvirginia/morgantown,Morgantown,Morgantown,10,63,do,West Virginia Mountaineers basketball,0.89,candidate,has coordinates; has description; high-value type; has external URL,39.649254,-79.981198,Monongalia Arts Center,northamerica/unitedstates/westvirginia/morgantown/monongalia_arts_center,0.339,3.073,3.069,has_external_url,http://www.wvusports.com/,https://en.wikivoyage.org/wiki/Morgantown,College basketball listing is schedule-dependent and weaker than existing WVU campus and football coverage.
europe/hungary/sopron,Sopron,Sopron,9,234,do,Sopron's Railway Sports Association,0.89,candidate,has coordinates; has description; high-value type; has external URL,47.6734,16.5843,Roman Remains of Scarbantia,europe/hungary/sopron/roman_remains,0.452,1.27,1.302,has_external_url,http://www.svse.hu/,https://en.wikivoyage.org/wiki/Sopron,Sports association and venue lack broad visitor value.
europe/unitedkingdom/england/eastern_england/harwich,Harwich,Harwich (England),12,24,do,Dovercourt Roller Skate Rink,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.9291,1.2718,Beacon Hill Battery,europe/unitedkingdom/england/eastern_england/harwich/beacon_hill_battery,0.468,1.557,2.124,has_external_url,http://www.simplyskating.co.uk,https://en.wikivoyage.org/wiki/Harwich_%28England%29,Roller rink is a local recreation business below Harwich travel POI threshold.
northamerica/unitedstates/missouri/kansascity,Kansas City,Kansas City,56,127,do,The Blue Room,0.89,candidate,has coordinates; has description; high-value type; has external URL,39.09136,-94.56314,Brookside,northamerica/unitedstates/missouri/kansascity/brookside,0.444,7.205,1.623,has_external_url,https://americanjazzmuseum.org/the-blue-room,https://en.wikivoyage.org/wiki/Kansas_City,Duplicate of existing World66 POI at northamerica/unitedstates/kansas/kansascity/blue_room.
northamerica/unitedstates/california/northcoast/santarosa,Santa Rosa,Santa Rosa (California),10,37,see,Safari West,0.89,candidate,has coordinates; has description; high-value type; has external URL,38.5571,-122.696,SingleThread Farms Restaurant,northamerica/unitedstates/california/northcoast/santarosa/single_thread_farms,0.45,15.836,13.061,has_external_url,http://www.safariwest.com,https://en.wikivoyage.org/wiki/Santa_Rosa_%28California%29,Duplicate of existing World66 POI at northamerica/unitedstates/california/santa_rosa/safari_west.
europe/unitedkingdom/england/suffolk/lowestoft,Lowestoft,Lowestoft,7,20,do,Somerleyton Hall,0.89,candidate,has coordinates; has description; high-value type; has external URL,52.521,1.67336,Pleasurewood Hills,europe/unitedkingdom/england/suffolk/lowestoft/pleasurewood_hills,0.412,7.501,7.346,has_external_url,http://www.somerleyton.co.uk,https://en.wikivoyage.org/wiki/Lowestoft,Duplicate of existing World66 POI at europe/unitedkingdom/england/eastern_england/greatyarmouth/somerleyton_hall.
