world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
europe/germany/bavaria/hof,Hof,Hof,11,9,do,Kletterpark Untreusee,0.59,candidate,has description; high-value type; has external URL,,,Theresienstein Park,europe/germany/bavaria/hof/theresienstein_park,0.35,,,missing_coordinates; has_external_url,http://www.kletterpark-untreusee.de/,https://en.wikivoyage.org/wiki/Hof,candidate score 0.59 is below the 6.0 POI threshold; ordinary commercial or service listing
northamerica/unitedstates/montana/bozeman,Bozeman,Bozeman,7,37,see,Gallatin River,0.59,candidate,has description; high-value type; has external URL,,,Main Street,northamerica/unitedstates/montana/bozeman/main_street,0.48,,,missing_coordinates; has_external_url,https://www.montanawhitewater.com/whitewater-rafting/gallatin-river-whitewater-rafting/,https://en.wikivoyage.org/wiki/Bozeman,candidate score 0.59 is below the 6.0 POI threshold; weak/local-only candidate for this destination
africa/namibia/swakopmund,Swakopmund,Swakopmund,13,44,do,Camel Farm,0.59,candidate,has description; high-value type; has external URL,,,Café Anton,africa/namibia/swakopmund/cafe_anton,0.421,,,missing_coordinates; has_external_url,http://swakopmundcamelfarm.com,https://en.wikivoyage.org/wiki/Swakopmund,candidate score 0.59 is below the 6.0 POI threshold; weak/local-only candidate for this destination
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/leeds,Leeds,Leeds,12,24,do,Leeds International Pianoforte Competition,0.59,candidate,has description; high-value type; has external URL,,,Leeds Art Gallery,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/leeds/leedsartgallery,0.373,,,missing_coordinates; has_external_url,http://www.leedspiano.com/,https://en.wikivoyage.org/wiki/Leeds,candidate score 0.59 is below the 6.0 POI threshold; event-only listing rather than a durable POI
northamerica/unitedstates/northcarolina/asheville,Asheville,Asheville,20,153,see,American Folk Art & Framing,0.59,candidate,has description; high-value type; has external URL,,,Folk Art Center,northamerica/unitedstates/northcarolina/asheville/folk_art_center,0.5,,,missing_coordinates; has_external_url,http://www.amerifolk.com,https://en.wikivoyage.org/wiki/Asheville,candidate score 0.59 is below the 6.0 POI threshold; ordinary commercial or service listing
northamerica/canada/britishcolumbia/duncan,Duncan,Duncan (British Columbia),8,16,see,BC Ferries,0.59,candidate,has description; high-value type; has external URL,,,Cowichan Valley Wineries,northamerica/canada/britishcolumbia/duncan/cowichan_valley_wineries,0.412,,,missing_coordinates; has_external_url,https://www.bcferries.com/,https://en.wikivoyage.org/wiki/Duncan_%28British_Columbia%29,candidate score 0.59 is below the 6.0 POI threshold; transport operator rather than an attraction POI
europe/hungary/nyiregyhaza,Nyíregyháza,Nyíregyháza,7,35,do,Móricz Zsigmond town theater,0.59,candidate,has description; high-value type; has external URL,,,Sóstó Thermal Baths,europe/hungary/nyiregyhaza/sosto_thermal_baths,0.391,,,missing_coordinates; has_external_url,http://www.moriczszinhaz.hu,https://en.wikivoyage.org/wiki/Ny%C3%ADregyh%C3%A1za,candidate score 0.59 is below the 6.0 POI threshold; weak/local-only candidate for this destination
asia/india/bihar/bodhgaya,Bodh Gaya,Bodh Gaya,9,26,do,Nyingma Monlam Chenmo,0.59,candidate,has description; high-value type; has external URL,,,Tergar Monastery (Tibetan),asia/india/bihar/bodhgaya/tibetan_monastery,0.432,,,missing_coordinates; has_external_url,https://siddharthasintent.org/events/8th-dzongsar-monlam-chenmo/,https://en.wikivoyage.org/wiki/Bodh_Gaya,candidate score 0.59 is below the 6.0 POI threshold; event-only listing rather than a durable POI
asia/thailand/pattaya,Pattaya,Pattaya,9,124,see,Pattaya Today,0.59,candidate,has description; high-value type; has external URL,,,Sanctuary of Truth,asia/thailand/pattaya/sanctuary_of_truth,0.387,,,missing_coordinates; has_external_url,http://www.pattayatoday.net,https://en.wikivoyage.org/wiki/Pattaya,candidate score 0.59 is below the 6.0 POI threshold; ordinary commercial or service listing
europe/denmark/aarhus,Aarhus,Aarhus,12,232,do,Aarhus International Jazz Festival,0.59,candidate,has description; high-value type; has external URL,,,Aarhus Theatre,europe/denmark/aarhus/aarhus_theatre,0.5,,,missing_coordinates; has_external_url,http://www.jazzfest.dk/,https://en.wikivoyage.org/wiki/Aarhus,candidate score 0.59 is below the 6.0 POI threshold; event-only listing rather than a durable POI
northamerica/mexico/manzanillo,Manzanillo,Manzanillo,11,9,see,Grupo Estrella Blanca,0.59,candidate,has description; high-value type; has external URL,,,Playa La Audiencia,northamerica/mexico/manzanillo/playa_la_audiencia,0.389,,,missing_coordinates; has_external_url,http://www.estrellablanca.com.mx/,https://en.wikivoyage.org/wiki/Manzanillo,candidate score 0.59 is below the 6.0 POI threshold; transport operator rather than an attraction POI
europe/italy/tuscany/florenceprovince/chiantiregion/greveinchianti,Greve in Chianti,Greve in Chianti,6,8,do,Querciabella,0.59,candidate,has description; high-value type; has external URL,,,Montefioralle,europe/italy/tuscany/florenceprovince/chiantiregion/greveinchianti/montefioralle,0.4,,,missing_coordinates; has_external_url,http://www.querciabella.com/,https://en.wikivoyage.org/wiki/Greve_in_Chianti,candidate score 0.59 is below the 6.0 POI threshold; weak/local-only candidate for this destination
northamerica/unitedstates/california/julian,Julian,Julian,6,57,do,Observer's Inn/Observatory/Gifts,0.59,candidate,has description; high-value type; has external URL,,,Apple Pie on Main Street,northamerica/unitedstates/california/julian/apple_pie,0.286,,,missing_coordinates; has_external_url,http://www.observersinn.com/,https://en.wikivoyage.org/wiki/Julian,candidate score 0.59 is below the 6.0 POI threshold; accommodation or lodging-led listing is out of scope
asia/laos/vientiane,Vientiane,Vientiane,28,135,see,Vietnam,0.59,candidate,has description; high-value type; has external URL,,,That Dam,asia/laos/vientiane/that_dam,0.4,,,missing_coordinates; has_external_url,http://www.mofa.gov.vn/vnemb.la,https://en.wikivoyage.org/wiki/Vientiane,candidate score 0.59 is below the 6.0 POI threshold; weak/local-only candidate for this destination
northamerica/unitedstates/newyorkstate/lakeplacid,Lake Placid,Lake Placid,9,36,do,Uihlein Sugar Maple Field Station,0.59,candidate,has description; high-value type; has external URL,,,High Peaks Wilderness,northamerica/unitedstates/newyorkstate/lakeplacid/high_peaks,0.407,,,missing_coordinates; has_external_url,https://blogs.cornell.edu/cornellmaple/uihlein-research-forest/,https://en.wikivoyage.org/wiki/Lake_Placid,candidate score 0.59 is below the 6.0 POI threshold; weak/local-only candidate for this destination
australiaandpacific/australia/newsouthwales/goulburn,Goulburn,Goulburn,7,28,do,Australian Blues Music Festival,0.59,candidate,has description; high-value type; has external URL,,,Goulburn Pumping Station Museum,australiaandpacific/australia/newsouthwales/goulburn/goulburn_pumping_station,0.355,,,missing_coordinates; has_external_url,http://www.australianbluesmusic.com.au/,https://en.wikivoyage.org/wiki/Goulburn,candidate score 0.59 is below the 6.0 POI threshold; event-only listing rather than a durable POI
europe/switzerland/verbier,Verbier,Verbier,14,13,do,Performance Verbier,0.59,candidate,has description; high-value type; has external URL,,,Place Centrale,europe/switzerland/verbier/place_centrale,0.485,,,missing_coordinates; has_external_url,http://www.performanceverbier.com,https://en.wikivoyage.org/wiki/Verbier,candidate score 0.59 is below the 6.0 POI threshold; weak/local-only candidate for this destination
europe/germany/hessen/darmstadt,Darmstadt,Darmstadt,10,54,do,Der Feurige Elias,0.59,candidate,has description; high-value type; has external URL,,,Zum Goldenen Engel,europe/germany/hessen/darmstadt/zum_goldenen_engel,0.343,,,missing_coordinates; has_external_url,http://www.historische-heag-fahrzeuge.de/,https://en.wikivoyage.org/wiki/Darmstadt,candidate score 0.59 is below the 6.0 POI threshold; weak/local-only candidate for this destination
europe/austria/bludenz,Bludenz,Bludenz,4,34,see,Franziskanerkloster,0.59,candidate,has description; high-value type; has external URL,,,Milka Lädele,europe/austria/bludenz/milka_factory,0.323,,,missing_coordinates; has_external_url,https://www.franziskanerkloster-bludenz.at/,https://en.wikivoyage.org/wiki/Bludenz,candidate score 0.59 is below the 6.0 POI threshold; weak/local-only candidate for this destination
northamerica/unitedstates/pennsylvania/harrisburg,Harrisburg,Harrisburg,6,44,see,Rabbittransit,0.59,candidate,has description; high-value type; has external URL,,,Riverfront Park,northamerica/unitedstates/pennsylvania/harrisburg/riverfront_park,0.357,,,missing_coordinates; has_external_url,http://www.rabbittransit.org,https://en.wikivoyage.org/wiki/Harrisburg,candidate score 0.59 is below the 6.0 POI threshold; transport operator rather than an attraction POI
northamerica/unitedstates/newhampshire/portsmouth,Portsmouth,Portsmouth (New Hampshire),11,40,do,NH Film Festival,0.59,candidate,has description; high-value type; has external URL,,,Isles of Shoals,northamerica/unitedstates/newhampshire/portsmouth/isles_of_shoals,0.387,,,missing_coordinates; has_external_url,http://www.nhfilmfestival.com,https://en.wikivoyage.org/wiki/Portsmouth_%28New_Hampshire%29,candidate score 0.59 is below the 6.0 POI threshold; event-only listing rather than a durable POI
northamerica/unitedstates/california/oakland,Oakland,Oakland,16,181,see,The East Bay Times,0.59,candidate,has description; high-value type; has external URL,,,Chapel of the Chimes,northamerica/unitedstates/california/oakland/chapel_of_the_chimes,0.467,,,missing_coordinates; has_external_url,http://www.eastbaytimes.com/,https://en.wikivoyage.org/wiki/Oakland,candidate score 0.59 is below the 6.0 POI threshold; weak/local-only candidate for this destination
asia/oman/muscat,Muscat,Muscat,24,152,see,flydubai,0.59,candidate,has description; high-value type; has external URL,,,Bait Al Zubair,asia/oman/muscat/bait_al_zubair,0.455,,,missing_coordinates; has_external_url,http://flydubai.com/,https://en.wikivoyage.org/wiki/Muscat,candidate score 0.59 is below the 6.0 POI threshold; transport operator rather than an attraction POI
asia/turkey/bursa,Bursa,Bursa,13,44,do,Yeni Baths,0.59,candidate,has description; high-value type; has external URL,,,Iskender Kebab,asia/turkey/bursa/iskender_kebab,0.417,,,missing_coordinates; has_external_url,http://www.yenikaplica.com.tr/,https://en.wikivoyage.org/wiki/Bursa,candidate score 0.59 is below the 6.0 POI threshold; weak/local-only candidate for this destination
northamerica/elsalvador/sansalvador,San Salvador,San Salvador,8,55,see,Jugueton San Salvador,0.59,candidate,has description; high-value type; has external URL,,,Iglesia El Rosario,northamerica/elsalvador/sansalvador/iglesia_el_rosario,0.333,,,missing_coordinates; has_external_url,https://jugueton.com.sv/,https://en.wikivoyage.org/wiki/San_Salvador,candidate score 0.59 is below the 6.0 POI threshold; ordinary commercial or service listing
europe/germany/schleswigholstein/neumuenster,Neumünster,Neumünster,3,11,do,Horse auctions,0.59,candidate,has description; high-value type; has external URL,,,Museum Tuch + Technik,europe/germany/schleswigholstein/neumuenster/museum_tuch_technik,0.424,,,missing_coordinates; has_external_url,http://www.trakehner-verband.de/,https://en.wikivoyage.org/wiki/Neum%C3%BCnster,candidate score 0.59 is below the 6.0 POI threshold; event-only listing rather than a durable POI
northamerica/panama/portobelo,Portobelo,Portobelo,6,5,do,Scubapanama,0.59,candidate,has description; high-value type; has external URL,,,Caribbean Seafood,northamerica/panama/portobelo/caribbean_seafood,0.357,,,missing_coordinates; has_external_url,http://www.scubapanama.com/,https://en.wikivoyage.org/wiki/Portobelo,candidate score 0.59 is below the 6.0 POI threshold; ordinary commercial or service listing
africa/kenya/thecoast/mombasa,Mombasa,Mombasa,20,137,see,Mash Poa,0.59,candidate,has description; high-value type; has external URL,,,Mandhry Mosque,africa/kenya/thecoast/mombasa/mandhry_mosque,0.455,,,missing_coordinates; has_external_url,http://masheastafrica.com,https://en.wikivoyage.org/wiki/Mombasa,candidate score 0.59 is below the 6.0 POI threshold; transport operator rather than an attraction POI
europe/netherlands/amsterdam,Amsterdam,Amsterdam,153,66,do,Adam's Boats,0.59,candidate,has description; high-value type; has external URL,,,Diamonds,europe/netherlands/amsterdam/diamonds,0.5,,,missing_coordinates; has_external_url,https://adamsboats.com/en/home,https://en.wikivoyage.org/wiki/Amsterdam,candidate score 0.59 is below the 6.0 POI threshold; ordinary commercial or service listing
northamerica/unitedstates/washington/spokane,Spokane,Spokane,11,51,do,Spokane International Film Festival,0.59,candidate,has description; high-value type; has external URL,,,Spokane Falls,northamerica/unitedstates/washington/spokane/spokane_falls,0.5,,,missing_coordinates; has_external_url,https://spokanefilmfestival.org/,https://en.wikivoyage.org/wiki/Spokane,candidate score 0.59 is below the 6.0 POI threshold; event-only listing rather than a durable POI
europe/armenia/tavush_marz/dilijan,Dilijan,Dilijan,8,42,do,Sewing history and culture,0.59,candidate,has description; high-value type; has external URL,,,Sharambeyan Street (Old Quarter),europe/armenia/tavush_marz/dilijan/old_quarter,0.455,,,missing_coordinates; has_external_url,https://www.facebook.com/armenecoop,https://en.wikivoyage.org/wiki/Dilijan,candidate score 0.59 is below the 6.0 POI threshold; ordinary commercial or service listing
europe/germany/saxony/dresden,Dresden,Dresden,31,149,do,Filmfest Dresden,0.59,candidate,has description; high-value type; has external URL,,,Schwebebahn Dresden,europe/germany/saxony/dresden/schwebebahn_dresden,0.514,,,missing_coordinates; has_external_url,http://www.filmfest-dresden.de/en/,https://en.wikivoyage.org/wiki/Dresden,candidate score 0.59 is below the 6.0 POI threshold; event-only listing rather than a durable POI
europe/ireland/kilkenny,Kilkenny,Kilkenny,13,39,see,County Hall,0.59,candidate,has description; high-value type; has external URL,,,Butler Gallery,europe/ireland/kilkenny/butler_gallery,0.48,,,missing_coordinates; has_external_url,https://www.kilkennycoco.ie/eng/,https://en.wikivoyage.org/wiki/Kilkenny,candidate score 0.59 is below the 6.0 POI threshold; weak/local-only candidate for this destination
northamerica/unitedstates/utah/kanab,Kanab,Kanab,7,30,do,Western Legends Round-up,0.59,candidate,has description; high-value type; has external URL,,,Best Friends Animal Sanctuary,northamerica/unitedstates/utah/kanab/best_friends,0.453,,,missing_coordinates; has_external_url,http://www.westernlegendsroundup.com/,https://en.wikivoyage.org/wiki/Kanab,candidate score 0.59 is below the 6.0 POI threshold; event-only listing rather than a durable POI
australiaandpacific/newzealand/south_island/west_coast/franzjosef,Franz Josef,Franz Josef,8,23,do,Skydive Franz,0.59,candidate,has description; high-value type; has external URL,,,Franz Josef Glacier,australiaandpacific/newzealand/south_island/west_coast/franzjosef/franz_josef_glacier,0.312,,,missing_coordinates; has_external_url,http://www.skydivefranz.co.nz,https://en.wikivoyage.org/wiki/Franz_Josef,candidate score 0.59 is below the 6.0 POI threshold; weak/local-only candidate for this destination
europe/spain/santiago_de_compostela,Santiago de Compostela,Santiago de Compostela,8,32,do,Pilgrim House,0.59,candidate,has description; high-value type; has external URL,,,Pórtico de la Gloria,europe/spain/santiago_de_compostela/portico_de_la_gloria,0.37,,,missing_coordinates; has_external_url,https://pilgrimhousesantiago.com/,https://en.wikivoyage.org/wiki/Santiago_de_Compostela,candidate score 0.59 is below the 6.0 POI threshold; weak/local-only candidate for this destination
southamerica/peru/lima,Lima,Lima,64,51,see,Peru Hop,0.59,candidate,has description; high-value type; has external URL,,,Parque del Amor,southamerica/peru/lima/parque_del_amor,0.526,,,missing_coordinates; has_external_url,http://peruhop.com,https://en.wikivoyage.org/wiki/Lima,candidate score 0.59 is below the 6.0 POI threshold; transport operator rather than an attraction POI
northamerica/unitedstates/washington/seattle,Seattle,Seattle,19,70,do,Northwest Folklife Festival,0.59,candidate,has description; high-value type; has external URL,,,Storyville Coffee,northamerica/unitedstates/washington/seattle/storyville_coffee,0.364,,,missing_coordinates; has_external_url,https://nwfolklife.org/,https://en.wikivoyage.org/wiki/Seattle,candidate score 0.59 is below the 6.0 POI threshold; event-only listing rather than a durable POI
northamerica/canada/newfoundland/grosmornenationa,Gros Morne National Park,Gros Morne National Park,10,18,see,Labrador Marine,0.59,candidate,has description; high-value type; has external URL,,,Bonne Bay Marine Station,northamerica/canada/newfoundland/grosmornenationa/bonne_bay_marine_station,0.462,,,missing_coordinates; has_external_url,http://www.labradormarine.com,https://en.wikivoyage.org/wiki/Gros_Morne_National_Park,candidate score 0.59 is below the 6.0 POI threshold; transport operator rather than an attraction POI
northamerica/canada/alberta/reddeer,Red Deer,Red Deer,7,46,see,Red Arrow,0.59,candidate,has description; high-value type; has external URL,,,Red Deer Museum and Art Gallery,northamerica/canada/alberta/reddeer/red_deer_museum,0.35,,,missing_coordinates; has_external_url,https://www.redarrow.ca/,https://en.wikivoyage.org/wiki/Red_Deer,candidate score 0.59 is below the 6.0 POI threshold; transport operator rather than an attraction POI
