world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
asia/iran/yazd,Yazd,Yazd,9,25,see,Kharānaq,0.75,candidate,has coordinates; has description; high-value type,32.345493,54.669743,Khan Bazaar,asia/iran/yazd/khan_bazaar,0.526,43.03,33.903,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Yazd,separate day-trip village rather than flat city POI
northamerica/unitedstates/westvirginia/wheeling,Wheeling,Wheeling,6,34,do,Wheeling Symphony,0.74,candidate,has coordinates; has description; high-value type; has external URL,40.069813,-80.724123,Wheeling Heritage Port,northamerica/unitedstates/westvirginia/wheeling/wheeling_heritage_port,0.564,0.48,0.702,has_external_url,http://www.wheelingsymphony.org/,https://en.wikivoyage.org/wiki/Wheeling,performing organization rather than stable POI
europe/ukraine/kharkiv,Kharkiv,Kharkiv,13,157,see,Kharkiv State Academy of Arts and Design,0.74,candidate,has coordinates; has description; high-value type; has external URL,49.99929,36.24545,Gorky Park (Maxim Gorky Central Park),europe/ukraine/kharkiv/gorky_park,0.592,0.408,1.291,has_external_url,https://ksada.org/,https://en.wikivoyage.org/wiki/Kharkiv,ordinary educational institution
europe/unitedkingdom/england/birmingham_and_west_midlands/stokeontrent_st,Stoke-on-Trent,Stoke-on-Trent,12,28,see,V&A Wedgwood Collection,0.74,candidate,has coordinates; has description; high-value type; has external URL,52.9555,-2.1694,World of Wedgwood,europe/unitedkingdom/england/birmingham_and_west_midlands/stokeontrent_st/world_of_wedgwood,0.666,0.334,8.294,has_external_url,https://www.worldofwedgwood.com/,https://en.wikivoyage.org/wiki/Stoke-on-Trent,duplicate or alias of existing World of Wedgwood
northamerica/unitedstates/missouri/kansascity,Kansas City,Kansas City,56,127,do,Kansas City Roller Warriors,0.74,candidate,has coordinates; has description; high-value type; has external URL,39.112352,-94.62761,Kansas City Fountains,northamerica/unitedstates/missouri/kansascity/kansas_city_fountains,0.667,6.987,4.476,has_external_url,https://www.kcrollerwarriors.com/,https://en.wikivoyage.org/wiki/Kansas_City,event team rather than stable POI
northamerica/unitedstates/idaho/boise,Boise,Boise,14,73,do,Boise Hawks,0.74,candidate,has coordinates; has description; high-value type; has external URL,43.65675,-116.27815,Boise Foothills,northamerica/unitedstates/idaho/boise/boise_foothills,0.615,7.758,7.654,has_external_url,https://www.boisehawks.com/landing/index,https://en.wikivoyage.org/wiki/Boise,sports team rather than stable POI
europe/netherlands/zutphen,Zutphen,Zutphen,13,6,do,Fluisterboot Zutphen,0.74,candidate,has coordinates; has description; high-value type; has external URL,52.1427,6.19959,Walburgiskerk,europe/netherlands/zutphen/walburgiskerk,0.588,0.412,0.536,has_external_url,http://www.fluisterboot-zutphen.nl/?lang=en,https://en.wikivoyage.org/wiki/Zutphen,ordinary commercial tour operator
asia/japan/honshu/nagahama,Nagahama,Nagahama,9,20,do,Nagahama Bonbai Exhibition,0.74,candidate,has coordinates; has description; high-value type; has external URL,35.37583,136.26628,Nagahama Hachiman-gu,asia/japan/honshu/nagahama/nagahama_hachimangu,0.565,1.538,1.242,has_external_url,https://bonbai.jp/,https://en.wikivoyage.org/wiki/Nagahama,event-only
northamerica/canada/manitoba/winnipeg,Winnipeg,Winnipeg,22,164,do,Red River Exhibition,0.74,candidate,has coordinates; has description; high-value type; has external URL,49.88921,-97.3312,Bridge Drive Inn,northamerica/canada/manitoba/winnipeg/bridge_drive_inn,0.556,14.041,13.825,has_external_url,http://www.redriverex.com,https://en.wikivoyage.org/wiki/Winnipeg,event-only
northamerica/unitedstates/indiana/indianapolis,Indianapolis,Indianapolis,42,225,do,Indiana Pacers,0.74,candidate,has coordinates; has description; high-value type; has external URL,39.763889,-86.155556,Slippery Noodle Inn,northamerica/unitedstates/indiana/indianapolis/slippery_noodle,0.69,0.31,0.547,has_external_url,http://www.nba.com/pacers/,https://en.wikivoyage.org/wiki/Indianapolis,sports team rather than place POI
europe/denmark/aarhus,Aarhus,Aarhus,12,232,do,Teater Katapult,0.74,candidate,has coordinates; has description; high-value type; has external URL,56.1534,10.1938,ARoS Aarhus Art Museum,europe/denmark/aarhus/aros,0.573,0.427,1.285,has_external_url,http://katapult.dk/,https://en.wikivoyage.org/wiki/Aarhus,local venue below POI threshold
europe/denmark/fredrikshavn,Frederikshavn,Frederikshavn,7,44,see,Cloos Tower,0.74,candidate,has coordinates; has description; high-value type; has external URL,57.421161,10.466439,Cloostårnet,europe/denmark/fredrikshavn/cloos_tower,0.636,3.664,4.596,has_external_url,http://www.cloostaarnet.dk/,https://en.wikivoyage.org/wiki/Frederikshavn,duplicate or alias of existing Cloostårnet
europe/netherlands/delft,Delft,Delft,10,62,see,VVV Delft,0.74,candidate,has coordinates; has description; high-value type; has external URL,52.007487,4.35637,Royal Delft,europe/netherlands/delft/royal_delft,0.6,0.73,0.46,has_external_url,https://www.indelft.nl/en/plan-your-visit/tourist-information,https://en.wikivoyage.org/wiki/Delft,tourist information office
northamerica/unitedstates/california/sthelena,St. Helena,St. Helena (California),17,11,do,Whitehall Lane Winery,0.74,candidate,has coordinates; has description; high-value type; has external URL,38.477821,-122.437865,Sutter Home Winery,northamerica/unitedstates/california/sthelena/sutter_home,0.564,2.013,4.134,has_external_url,http://www.whitehalllane.com/,https://en.wikivoyage.org/wiki/St._Helena_%28California%29,ordinary commercial winery lead below POI threshold
asia/southkorea/gyeongju,Gyeongju,Gyeongju,18,80,do,Gyeongju Bosun Shooting Range,0.74,candidate,has coordinates; has description; high-value type; has external URL,35.8454,129.2835,Gyeongju National Museum,asia/southkorea/gyeongju/gyeongju_national_museum,0.566,5.291,5.434,has_external_url,http://www.kjshooting.com,https://en.wikivoyage.org/wiki/Gyeongju,ordinary commercial activity operator
australiaandpacific/australia/australiancapitalterritory/canberra,Canberra,Canberra,42,34,see,Canberra and Region Visitors Centre,0.74,candidate,has coordinates; has description; high-value type; has external URL,-35.2906,149.1314,Captain Cook Memorial Jet,australiaandpacific/australia/australiancapitalterritory/canberra/captain_cook_memorial_jet,0.699,0.301,2.843,has_external_url,https://visitcanberra.com.au/canberra-and-region-visitors-centre,https://en.wikivoyage.org/wiki/Canberra,tourist information office
northamerica/unitedstates/rhodeisland/newport,Newport,Newport (Rhode Island),10,111,see,Brewer Street Boat works Ltd,0.74,candidate,has coordinates; has description; high-value type; has external URL,41.49213,-71.31135,Touro Synagogue,northamerica/unitedstates/rhodeisland/newport/touro_synagogue,0.693,0.307,0.92,has_external_url,http://www.bsbw.com,https://en.wikivoyage.org/wiki/Newport_%28Rhode_Island%29,ordinary commercial operator
europe/germany/hessen/kassel,Kassel,Kassel,19,95,see,Friedenskirche,0.74,candidate,has coordinates; has description; high-value type; has external URL,51.31632,9.46794,Karlskirche,europe/germany/hessen/kassel/karlskirche,0.64,1.93,2.079,has_external_url,http://www.friedenskirche-kassel.de/,https://en.wikivoyage.org/wiki/Kassel,local church below POI threshold for Kassel
asia/turkey/fethiye,Fethiye,Fethiye,17,8,see,Amyntas tomb,0.74,candidate,has coordinates; has description; high-value type; has external URL,36.6192,29.1225,Tomb of Amyntas,asia/turkey/fethiye/tomb_of_amyntas,0.569,0.431,0.717,has_external_url,https://muze.gov.tr/muze-detay?SectionId=MFA01&DistId=MRK,https://en.wikivoyage.org/wiki/Fethiye,duplicate or alias of existing Tomb of Amyntas
europe/unitedkingdom/england/birmingham_and_west_midlands/birmingham,Birmingham,Birmingham,16,180,see,Birmingham Buddhist Centre,0.74,candidate,has coordinates; has description; high-value type; has external URL,52.451854,-1.889886,Birmingham Museum and Art Gallery,europe/unitedkingdom/england/birmingham_and_west_midlands/birmingham/birmingham_museum_and_art_gallery,0.576,3.259,3.216,has_external_url,https://www.birminghambuddhistcentre.org.uk/,https://en.wikivoyage.org/wiki/Birmingham,local religious centre below POI threshold
europe/italy/sicily/erice,Erice,Erice,6,102,see,Upper Cable Car Station,0.74,candidate,has coordinates; has description; high-value type; has external URL,38.036497,12.582493,Ancient Walls of Erice,europe/italy/sicily/erice/phoenician_walls,0.688,0.312,0.454,has_external_url,https://funiviaerice.it,https://en.wikivoyage.org/wiki/Erice,transport-only
europe/netherlands/volendam,Volendam,Volendam,6,13,see,Experience Volendam,0.74,candidate,has coordinates; has description; high-value type; has external URL,52.49288,5.07396,Hotel Spaander Art Collection,europe/netherlands/volendam/hotel_spaander,0.686,0.314,0.547,has_external_url,http://www.experiencevolendam.nl/,https://en.wikivoyage.org/wiki/Volendam,ordinary commercial attraction below POI threshold
