world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
asia/turkey/antalya,Antalya,Antalya,50,44,see,Zeytintaşı Cave,0.56,candidate,has coordinates; high-value type; strong travel term,37.0469,31.1106,Karain Cave,asia/turkey/antalya/karain_cave,0.583,48.987,40.361,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Antalya,candidate score 0.56 is below the 6.0 POI threshold
europe/russia/nizhnynovgorod,Nizhny Novgorod,Nizhny Novgorod,11,65,see,Nizhny Novgorod State Museum of History and Architecture,0.55,candidate,high-value type; has external URL; strong travel term,,,Nizhny Novgorod Fair,europe/russia/nizhnynovgorod/nizhny_novgorod_fair,0.526,,,missing_coordinates; has_external_url,http://www.ngiamz.ru/,https://en.wikivoyage.org/wiki/Nizhny_Novgorod,candidate score 0.55 is below the 6.0 POI threshold
europe/russia/yaroslavl,Yaroslavl,Yaroslavl,5,7,see,Museum of Fine Arts,0.55,candidate,high-value type; has external URL; strong travel term,,,Church of Elijah the Prophet,europe/russia/yaroslavl/church_of_elijah_the_prophet,0.419,,,missing_coordinates; has_external_url,https://www.yarartmuseum.ru,https://en.wikivoyage.org/wiki/Yaroslavl,candidate score 0.55 is below the 6.0 POI threshold
europe/unitedkingdom/wales/swansea,Swansea,Swansea,33,323,see,St. Joseph's Cathedral,0.55,candidate,high-value type; has external URL; strong travel term,,,St Mary's Church,europe/unitedkingdom/wales/swansea/stmaryschurch,0.486,,,missing_coordinates; has_external_url,http://www.meneviacathedral.org/,https://en.wikivoyage.org/wiki/Swansea,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/newjersey/atlanticcity,Atlantic City,Atlantic City,5,36,see,African American Heritage Museum of Southern New Jersey,0.55,candidate,high-value type; has external URL; strong travel term,,,Hard Rock Hotel & Casino,northamerica/unitedstates/newjersey/atlanticcity/hard_rock_hotel,0.346,,,missing_coordinates; has_external_url,http://www.aahmsnj.org/,https://en.wikivoyage.org/wiki/Atlantic_City,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/ohio/akron,Akron,Akron,16,72,see,Crosspoint Alliance Church,0.55,candidate,high-value type; has external URL; strong travel term,,,Stan Hywet Hall & Gardens,northamerica/unitedstates/ohio/akron/stan_hywet_hall,0.415,,,missing_coordinates; has_external_url,http://www.crosspointakron.org/,https://en.wikivoyage.org/wiki/Akron,candidate score 0.55 is below the 6.0 POI threshold
europe/greece/amorgos,Amorgos,Amorgos,5,9,see,Archeological Museum,0.55,candidate,high-value type; has external URL; strong travel term,,,Agia Anna Beach,europe/greece/amorgos/agia_anna_beach,0.343,,,missing_coordinates; has_external_url,http://amorgos.gr/explore-amorgos/the-archaeological-museum/,https://en.wikivoyage.org/wiki/Amorgos,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/wisconsin/eau_claire,Eau Claire,Eau Claire (Wisconsin),5,87,see,Festival Foods Farmers Market,0.55,candidate,high-value type; has external URL; strong travel term,,,Carson Park,northamerica/unitedstates/wisconsin/eau_claire/carson_park,0.35,,,missing_coordinates; has_external_url,https://www.festfoods.com/stores/eau-claire-mall,https://en.wikivoyage.org/wiki/Eau_Claire_%28Wisconsin%29,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/wisconsin/eau_claire,Eau Claire,Eau Claire (Wisconsin),5,87,do,Chippewa Valley Theatre Guild,0.55,candidate,high-value type; has external URL; strong travel term,,,State Theatre,northamerica/unitedstates/wisconsin/eau_claire/state_theatre,0.476,,,missing_coordinates; has_external_url,http://www.cvtg.org,https://en.wikivoyage.org/wiki/Eau_Claire_%28Wisconsin%29,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/georgia/valdosta,Valdosta,Valdosta,8,27,do,Trinity Presbyterian Church,0.55,candidate,high-value type; has external URL; strong travel term,,,Historic Downtown and Courthouse Square,northamerica/unitedstates/georgia/valdosta/historic_downtown,0.333,,,missing_coordinates; has_external_url,http://www.trinitypresval.org/,https://en.wikivoyage.org/wiki/Valdosta,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/indiana/richmond,Richmond,Richmond (Indiana),7,14,see,Historic Depot District,0.55,candidate,high-value type; has external URL; strong travel term,,,Wayne County Historical Museum,northamerica/unitedstates/indiana/richmond/wayne_county_historical_museum,0.377,,,missing_coordinates; has_external_url,https://richmonddepotdistrict.com/,https://en.wikivoyage.org/wiki/Richmond_%28Indiana%29,candidate score 0.55 is below the 6.0 POI threshold
europe/russia/yakutsk,Yakutsk,Yakutsk,13,53,see,Memorial House-Museum of Maksim Ammosov,0.55,candidate,high-value type; has external URL; strong travel term,,,National Art Museum of Sakha,europe/russia/yakutsk/national_art_museum,0.537,,,missing_coordinates; has_external_url,http://il-tumen.sakha.ru/museum/museum2.php,https://en.wikivoyage.org/wiki/Yakutsk,candidate score 0.55 is below the 6.0 POI threshold
northamerica/canada/nunavut/iqaluit,Iqaluit,Iqaluit,4,42,see,Our Lady of the Assumption Catholic Church,0.55,candidate,high-value type; has external URL; strong travel term,,,St. Jude's Cathedral (Igloo Cathedral),northamerica/canada/nunavut/iqaluit/st_judes_cathedral,0.281,,,missing_coordinates; has_external_url,http://ourladyofassumptioniqaluit.nu.ca/,https://en.wikivoyage.org/wiki/Iqaluit,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/southdakota/sturgis,“Sturgis”,Sturgis,5,17,do,South Dakota Centennial Trail,0.55,candidate,high-value type; has external URL; strong travel term,,,Fort Meade National Cemetery,northamerica/unitedstates/southdakota/sturgis/fort_meade_cemetery,0.421,,,missing_coordinates; has_external_url,https://gfp.sd.gov/userdocs/centennial-trail-brochure.pdf,https://en.wikivoyage.org/wiki/Sturgis,candidate score 0.55 is below the 6.0 POI threshold
europe/denmark/aarhus,Aarhus,Aarhus,12,232,see,Mols Bjerge National Park,0.55,candidate,high-value type; has external URL; strong travel term,,,Moesgaard Museum,europe/denmark/aarhus/moesgaard_museum,0.341,,,missing_coordinates; has_external_url,http://eng.nationalparkmolsbjerge.dk/,https://en.wikivoyage.org/wiki/Aarhus,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/ohio/marion,Marion,Marion (Ohio),6,24,see,The Huber Machinery Museum,0.55,candidate,high-value type; has external URL; strong travel term,,,Harding Memorial,northamerica/unitedstates/ohio/marion/harding_memorial,0.421,,,missing_coordinates; has_external_url,http://www.hubermuseum.com/,https://en.wikivoyage.org/wiki/Marion_%28Ohio%29,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/louisiana/shreveport,Shreveport,Shreveport,21,43,see,Meadows Museum of Art,0.55,candidate,high-value type; has external URL; strong travel term,,,Shreveport Water Works Museum,northamerica/unitedstates/louisiana/shreveport/water_works_museum,0.44,,,missing_coordinates; has_external_url,https://www.themeadowsmuseum.com,https://en.wikivoyage.org/wiki/Shreveport,candidate score 0.55 is below the 6.0 POI threshold
europe/france/midi/languedoc/albi,Albi,Albi,4,19,see,The Berbie Palace,0.55,candidate,high-value type; has external URL; strong travel term,,,Vieux Pont,europe/france/midi/languedoc/albi/vieux_pont,0.348,,,missing_coordinates; has_external_url,https://www.albi-tourisme.fr/en/berbie-palace,https://en.wikivoyage.org/wiki/Albi,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/california/centralvalley/fresno,Fresno,Fresno,7,59,see,African-American Historical & Cultural Museum of the SJV,0.55,candidate,high-value type; has external URL; strong travel term,,,Meux Home Museum,northamerica/unitedstates/california/centralvalley/fresno/meux_home,0.343,,,missing_coordinates; has_external_url,https://www.aamcentralvalley.org/,https://en.wikivoyage.org/wiki/Fresno,candidate score 0.55 is below the 6.0 POI threshold
africa/southafrica/kimberley,Kimberley,Kimberley (Northern Cape),7,22,do,Mokala National Park,0.55,candidate,high-value type; has external URL; strong travel term,,,Duggan-Cronin Gallery,africa/southafrica/kimberley/duggan_cronin_gallery,0.341,,,missing_coordinates; has_external_url,http://www.sanparks.org/parks/mokala/,https://en.wikivoyage.org/wiki/Kimberley_%28Northern_Cape%29,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/westvirginia/huntington,Huntington,Huntington (West Virginia),8,82,see,Westmoreland Park,0.55,candidate,high-value type; has external URL; strong travel term,,,Camden Park,northamerica/unitedstates/westvirginia/huntington/camden_park,0.5,,,missing_coordinates; has_external_url,https://www.ghprd.org/index.php/westmoreland-park,https://en.wikivoyage.org/wiki/Huntington_%28West_Virginia%29,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/westvirginia/huntington,Huntington,Huntington (West Virginia),8,82,see,Veterans Memorial Park,0.55,candidate,high-value type; has external URL; strong travel term,,,Camden Park,northamerica/unitedstates/westvirginia/huntington/camden_park,0.485,,,missing_coordinates; has_external_url,https://www.ghprd.org/index.php/veterans-memorial-park1,https://en.wikivoyage.org/wiki/Huntington_%28West_Virginia%29,candidate score 0.55 is below the 6.0 POI threshold
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/swindon,Swindon,Swindon,6,27,do,Old Town Festival,0.55,candidate,high-value type; has external URL; strong travel term,,,Wyvern Theatre,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/swindon/wyvern_theatre,0.323,,,missing_coordinates; has_external_url,http://www.oldtownfestival.co.uk/,https://en.wikivoyage.org/wiki/Swindon,candidate score 0.55 is below the 6.0 POI threshold
europe/hungary/satoraljaujhely,Sátoraljaújhely,Sátoraljaújhely,4,94,do,Zemplén Adventure Park,0.55,candidate,high-value type; has external URL; strong travel term,,,Main Square (Kossuth tér),europe/hungary/satoraljaujhely/main_square,0.364,,,missing_coordinates; has_external_url,http://www.zemplenkalandpark.hu/,https://en.wikivoyage.org/wiki/S%C3%A1toralja%C3%BAjhely,candidate score 0.55 is below the 6.0 POI threshold
europe/hungary/szekesfehervar,Székesfehérvár,Székesfehérvár,15,93,see,Our Lady of Hungary parish church,0.55,candidate,high-value type; has external URL; strong travel term,,,Carmelite Church,europe/hungary/szekesfehervar/carmelite_church,0.408,,,missing_coordinates; has_external_url,http://www.szfvar.katolikus.hu/adattar/plebaniak/magyarok-nagyasszonya-plebania-szekesfehervar-oreghegy-,https://en.wikivoyage.org/wiki/Sz%C3%A9kesfeh%C3%A9rv%C3%A1r,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/michigan/grandrapids,Grand Rapids,Grand Rapids,0,52,see,Grand Rapids African American Museum and Archives,0.55,candidate,high-value type; has external URL; strong travel term,,,,,0.0,,,missing_coordinates; has_external_url,https://graama.org/,https://en.wikivoyage.org/wiki/Grand_Rapids,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/california/deserts/joshuatree,Joshua Tree,Joshua Tree,0,7,see,Art Walk / Art Gallery,0.55,candidate,high-value type; has external URL; strong travel term,,,,,0.0,,,missing_coordinates; has_external_url,https://www.joshuatree.guide/art-galleries,https://en.wikivoyage.org/wiki/Joshua_Tree,candidate score 0.55 is below the 6.0 POI threshold
europe/italy/campania/pompeii,Pompeii,Pompeii,10,17,see,Archaeological Park of Pompeii,0.55,candidate,high-value type; has external URL; strong travel term,,,Villa of Mysteries,europe/italy/campania/pompeii/villa_of_mysteries,0.417,,,missing_coordinates; has_external_url,http://pompeiisites.org/en/,https://en.wikivoyage.org/wiki/Pompeii,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/westvirginia/huntington,Huntington,Huntington (West Virginia),8,82,see,Huntington's Petsafe Dog Park,0.55,candidate,high-value type; has external URL; strong travel term,,,Keith-Albee Performing Arts Center,northamerica/unitedstates/westvirginia/huntington/keith_albee_theatre,0.381,,,missing_coordinates; has_external_url,https://www.ghprd.org/index.php/huntington-s-petsafe-dog-park,https://en.wikivoyage.org/wiki/Huntington_%28West_Virginia%29,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/california/shastacascade/quincy,Quincy,Quincy (California),5,36,see,Plumas Arts Gallery,0.55,candidate,high-value type; has external URL; strong travel term,,,Plumas County Museum,northamerica/unitedstates/california/shastacascade/quincy/plumas_county_museum,0.462,,,missing_coordinates; has_external_url,http://www.plumasarts.org/,https://en.wikivoyage.org/wiki/Quincy_%28California%29,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/iowa/cedarrapids,Cedar Rapids,Cedar Rapids,6,18,do,Theatre Cedar Rapids,0.55,candidate,high-value type; has external URL; strong travel term,,,Cedar Rapids Museum of Art,northamerica/unitedstates/iowa/cedarrapids/cedar_rapids_museum_of_art,0.522,,,missing_coordinates; has_external_url,http://www.theatrecr.org/,https://en.wikivoyage.org/wiki/Cedar_Rapids,candidate score 0.55 is below the 6.0 POI threshold
europe/poland/poznan,Poznan,Poznań,12,96,do,Polish Theatre,0.55,candidate,high-value type; has external URL; strong travel term,,,Poznan Cathedral,europe/poland/poznan/poznan_cathedral,0.467,,,missing_coordinates; has_external_url,http://www.teatr-polski.pl,https://en.wikivoyage.org/wiki/Pozna%C5%84,candidate score 0.55 is below the 6.0 POI threshold
europe/poland/lodz,Łódź,Łódź,7,114,see,Church of St. Theresa,0.55,candidate,high-value type; has external URL; strong travel term,,,Central Museum of Textiles,europe/poland/lodz/textile_museum,0.435,,,missing_coordinates; has_external_url,http://www.teresa.salezjanie.pl/,https://en.wikivoyage.org/wiki/%C5%81%C3%B3d%C5%BA,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/texas/southpadreisland,South Padre Island,South Padre Island,0,39,do,Beach Park at Isla Blanca,0.55,candidate,high-value type; has external URL; strong travel term,,,,,0.0,,,missing_coordinates; has_external_url,https://beachparktx.com/,https://en.wikivoyage.org/wiki/South_Padre_Island,candidate score 0.55 is below the 6.0 POI threshold
europe/netherlands/hilversum,Hilversum,Hilversum,16,69,see,Q-Park Hilvertshof,0.55,candidate,high-value type; has external URL; strong travel term,,,Raadhuis Hilversum (Dudok Town Hall),europe/netherlands/hilversum/town_hall,0.5,,,missing_coordinates; has_external_url,http://www.q-park.nl/nl/parkeren-bij-q-park/per-stad/parkingid/673,https://en.wikivoyage.org/wiki/Hilversum,candidate score 0.55 is below the 6.0 POI threshold
europe/denmark/aarhus,Aarhus,Aarhus,12,232,see,Ree Park Safari,0.55,candidate,high-value type; has external URL; strong travel term,,,Bispetorvet Dinosaur Footprint,europe/denmark/aarhus/bispetorv_dinosaur,0.356,,,missing_coordinates; has_external_url,http://www.reepark.dk/,https://en.wikivoyage.org/wiki/Aarhus,candidate score 0.55 is below the 6.0 POI threshold
australiaandpacific/australia/victoria/bendigo,Bendigo,Bendigo,6,25,do,Capital Theatre,0.55,candidate,high-value type; has external URL; strong travel term,,,Pall Mall and View Street,australiaandpacific/australia/victoria/bendigo/pall_mall_and_view_street,0.4,,,missing_coordinates; has_external_url,https://www.bendigoregion.com.au/arts-culture-theatres/space/the-capital,https://en.wikivoyage.org/wiki/Bendigo,candidate score 0.55 is below the 6.0 POI threshold
africa/egypt/cairo,Cairo,Cairo,88,50,do,The Townhouse Gallery of Contemporary Art,0.55,candidate,high-value type; has external URL; strong travel term,,,Museum of Modern Egyptian Art,africa/egypt/cairo/dokki_museum_art,0.455,,,missing_coordinates; has_external_url,http://www.thetownhousegallery.com/,https://en.wikivoyage.org/wiki/Cairo,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/alabama/huntsville,Huntsville,Huntsville (Alabama),16,74,see,EarlyWorks Museum Complex,0.55,candidate,high-value type; has external URL; strong travel term,,,Weeden House Museum,northamerica/unitedstates/alabama/huntsville/weeden_house_museum,0.455,,,missing_coordinates; has_external_url,http://www.earlyworks.com/,https://en.wikivoyage.org/wiki/Huntsville_%28Alabama%29,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/florida/daytona_beach,Daytona Beach,Daytona Beach,17,102,see,Indian Motorcycle Daytona Beach,0.55,candidate,high-value type; has external URL; strong travel term,,,Daytona Beach Pier and Boardwalk,northamerica/unitedstates/florida/daytona_beach/daytona_beach_main_street_pier,0.413,,,missing_coordinates; has_external_url,https://www.indianmotorcycledaytonabeach.com/,https://en.wikivoyage.org/wiki/Daytona_Beach,candidate score 0.55 is below the 6.0 POI threshold
