world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
europe/poland/lodz,Łódź,Łódź,7,114,do,Łódź Design Festival,0.59,candidate,has description; high-value type; has external URL,,,Izrael Poznański Palace,europe/poland/lodz/izreal_poznaski_palace,0.3,,,missing_coordinates; has_external_url,http://www.lodzdesign.com/,https://en.wikivoyage.org/wiki/%C5%81%C3%B3d%C5%BA,candidate score 0.59 is below the 6.0 POI threshold; event-only listing rather than a durable POI
europe/germany/northrhinewestphalia/bochum,Bochum,Bochum,12,93,do,Prinzregenttheater,0.59,candidate,has description; high-value type; has external URL,,,Starlight Express Theater,europe/germany/northrhinewestphalia/bochum/starlight_express_theater,0.465,,,missing_coordinates; has_external_url,http://www.prinzregenttheater.de/,https://en.wikivoyage.org/wiki/Bochum,candidate score 0.59 is below the 6.0 POI threshold; weak/local-only candidate for this destination
northamerica/unitedstates/massachusetts/provincetown,Provincetown,Provincetown,1,89,do,Schooner Hindu,0.59,candidate,has description; high-value type; has external URL,,,Lobster Pot,northamerica/unitedstates/massachusetts/provincetown/lobster_pot,0.32,,,missing_coordinates; has_external_url,http://www.sailschoonerhindu.com/,https://en.wikivoyage.org/wiki/Provincetown,candidate score 0.59 is below the 6.0 POI threshold; ordinary commercial operator rather than a durable attraction POI
northamerica/canada/ontario/north_bay,North Bay,North Bay (Ontario),6,31,see,FlixBus,0.59,candidate,has description; high-value type; has external URL,,,Discovery North Bay Museum,northamerica/canada/ontario/north_bay/discovery_north_bay_museum,0.242,,,missing_coordinates; has_external_url,https://www.flixbus.ca,https://en.wikivoyage.org/wiki/North_Bay_%28Ontario%29,candidate score 0.59 is below the 6.0 POI threshold; transport operator rather than an attraction POI
northamerica/unitedstates/westvirginia/bluefield_wv,Bluefield,Bluefield (West Virginia),6,17,do,Bluefield Coal Show,0.59,candidate,has description; high-value type; has external URL,,,Downtown Bluefield Historic District,northamerica/unitedstates/westvirginia/bluefield_wv/downtown_historic_district,0.436,,,missing_coordinates; has_external_url,http://www.bluefieldchamber.com/bluefield-coal-show,https://en.wikivoyage.org/wiki/Bluefield_%28West_Virginia%29,candidate score 0.59 is below the 6.0 POI threshold; event-only listing rather than a durable POI
northamerica/unitedstates/ohio/chillicothe,Chillicothe,Chillicothe (Ohio),5,37,do,Chillicothe Paints,0.59,candidate,has description; high-value type; has external URL,,,Yoctangee Park,northamerica/unitedstates/ohio/chillicothe/yoctangee_park,0.375,,,missing_coordinates; has_external_url,http://www.chillicothepaints.com/,https://en.wikivoyage.org/wiki/Chillicothe_%28Ohio%29,candidate score 0.59 is below the 6.0 POI threshold; weak/local-only candidate for this destination
europe/bosniaandherzegovina/banjaluka,Banja Luka,Banja Luka,9,36,do,Charitable organization Duga,0.59,candidate,has description; high-value type; has external URL,,,Vrbas River Rafting,europe/bosniaandherzegovina/banjaluka/vrbas_rafting,0.426,,,missing_coordinates; has_external_url,http://www.etnosuveniri.com,https://en.wikivoyage.org/wiki/Banja_Luka,candidate score 0.59 is below the 6.0 POI threshold; non-POI service or institution rather than a traveler attraction
northamerica/unitedstates/newmexico/ruidoso,Ruidoso,Ruidoso,7,10,do,Ruidoso Disc Golf,0.59,candidate,has description; high-value type; has external URL,,,Ruidoso Downs Racetrack,northamerica/unitedstates/newmexico/ruidoso/ruidoso_downs,0.5,,,missing_coordinates; has_external_url,https://www.ruidoso-nm.gov/,https://en.wikivoyage.org/wiki/Ruidoso,candidate score 0.59 is below the 6.0 POI threshold; weak/local-only candidate for this destination
europe/germany/schleswigholstein/neumuenster,Neumünster,Neumünster,3,11,do,Equestrian sports,0.59,candidate,has description; high-value type; has external URL,,,Tierpark Neumünster,europe/germany/schleswigholstein/neumuenster/tierpark_neumuenster,0.278,,,missing_coordinates; has_external_url,http://www.holstenhallen.com/,https://en.wikivoyage.org/wiki/Neum%C3%BCnster,candidate score 0.59 is below the 6.0 POI threshold; non-POI service or institution rather than a traveler attraction
southamerica/bolivia/cochabamba,Cochabamba,Cochabamba,5,48,do,Ciudad Jardín,0.59,candidate,has description; high-value type; has external URL,,,La Cancha Market,southamerica/bolivia/cochabamba/la_cancha,0.385,,,missing_coordinates; has_external_url,https://www.radiotaxiciudadjardin.com/,https://en.wikivoyage.org/wiki/Cochabamba,candidate score 0.59 is below the 6.0 POI threshold; weak/local-only candidate for this destination
northamerica/unitedstates/florida/cassadaga,Cassadaga,Cassadaga (Florida),3,8,do,The Purple Rose Store,0.59,candidate,has description; high-value type; has external URL,,,Cassadaga Hotel,northamerica/unitedstates/florida/cassadaga/cassadaga_hotel,0.25,,,missing_coordinates; has_external_url,http://cassadaga-purplerose.com/,https://en.wikivoyage.org/wiki/Cassadaga_%28Florida%29,candidate score 0.59 is below the 6.0 POI threshold; weak/local-only candidate for this destination
europe/poland/warsaw,Warsaw,Warsaw,56,70,do,Orange Warsaw Festival,0.59,candidate,has description; high-value type; has external URL,,,Warsaw Fotoplastikon,europe/poland/warsaw/fotoplastikon,0.524,,,missing_coordinates; has_external_url,http://www.orangewarsawfestival.pl/,https://en.wikivoyage.org/wiki/Warsaw,candidate score 0.59 is below the 6.0 POI threshold; event-only listing rather than a durable POI
europe/unitedkingdom/england/london,London,London,76,205,see,Turkish Republic of Northern Cyprus,0.59,candidate,has description; high-value type; has external URL,,,St Paul's Cathedral,europe/unitedkingdom/england/london/st_pauls_cathedral,0.407,,,missing_coordinates; has_external_url,http://londra.mfa.gov.ct.tr/en/,https://en.wikivoyage.org/wiki/London,candidate score 0.59 is below the 6.0 POI threshold; non-POI service or institution rather than a traveler attraction
northamerica/canada/britishcolumbia/100milehouse,100 Mile House,100 Mile House,4,11,see,BC Transit (100 Mile House Regional Transit System),0.59,candidate,has description; high-value type; has external URL,,,Guest Ranches,northamerica/canada/britishcolumbia/100milehouse/guest_ranches,0.435,,,missing_coordinates; has_external_url,https://bctransit.com/100-mile-house/home,https://en.wikivoyage.org/wiki/100_Mile_House,candidate score 0.59 is below the 6.0 POI threshold; transport operator rather than an attraction POI
southamerica/ecuador/quito,Quito,Quito,25,61,see,United States of America,0.59,candidate,has description; high-value type; has external URL,,,Centro Histórico,southamerica/ecuador/quito/centro_historico,0.4,,,missing_coordinates; has_external_url,https://ec.usembassy.gov/,https://en.wikivoyage.org/wiki/Quito,candidate score 0.59 is below the 6.0 POI threshold; non-POI service or institution rather than a traveler attraction
africa/egypt/dahab,Dahab,Dahab,12,42,do,Mirage Divers - Diving center,0.59,candidate,has description; high-value type; has external URL,,,Lighthouse Reef,africa/egypt/dahab/lighthouse_reef,0.333,,,missing_coordinates; has_external_url,http://www.miragedivers.com.eg/,https://en.wikivoyage.org/wiki/Dahab,candidate score 0.59 is below the 6.0 POI threshold; ordinary commercial operator rather than a durable attraction POI
africa/southafrica/gardenroute/knysna,Knysna,Knysna,7,26,do,Orbit Day Trips,0.59,candidate,has description; high-value type; has external URL,,,Featherbed Nature Reserve,africa/southafrica/gardenroute/knysna/featherbed_nature_reserve,0.35,,,missing_coordinates; has_external_url,http://www.orbitdaytrips.co.za,https://en.wikivoyage.org/wiki/Knysna,candidate score 0.59 is below the 6.0 POI threshold; ordinary commercial operator rather than a durable attraction POI
europe/ireland/sligo,Sligo,Sligo,17,38,see,Yeats Society,0.59,candidate,has description; high-value type; has external URL,,,Medb's Cairn,europe/ireland/sligo/medbs_cairn,0.4,,,missing_coordinates; has_external_url,https://www.yeatssociety.com/,https://en.wikivoyage.org/wiki/Sligo,candidate score 0.59 is below the 6.0 POI threshold; weak/local-only candidate for this destination
northamerica/mexico/cozumel,Cozumel,Cozumel,15,49,do,Blue Angel,0.59,candidate,has description; high-value type; has external URL,,,Museo de la Isla de Cozumel,northamerica/mexico/cozumel/cozumel_museum,0.429,,,missing_coordinates; has_external_url,http://blueangelresort.com,https://en.wikivoyage.org/wiki/Cozumel,candidate score 0.59 is below the 6.0 POI threshold; accommodation or resort listing rather than a World66 POI
europe/sweden/stockholm,Stockholm,Stockholm,56,118,do,Talk of the town,0.59,candidate,has description; high-value type; has external URL,,,Gustav Adolfs torg,europe/sweden/stockholm/gustaf_adolfs_torg,0.533,,,missing_coordinates; has_external_url,http://www.talkofthetown.se/en-start.html,https://en.wikivoyage.org/wiki/Stockholm,candidate score 0.59 is below the 6.0 POI threshold; weak/local-only candidate for this destination
northamerica/unitedstates/florida/keywest,Key West,Key West,10,59,do,Tropical Heat,0.59,candidate,has description; high-value type; has external URL,,,Old Town,northamerica/unitedstates/florida/keywest/old_town,0.381,,,missing_coordinates; has_external_url,http://www.tropicalheatkw.com,https://en.wikivoyage.org/wiki/Key_West,candidate score 0.59 is below the 6.0 POI threshold; weak/local-only candidate for this destination
europe/netherlands/scheveningen,Scheveningen,Scheveningen,10,42,do,Scheveningen International Sand Sculpture Festival,0.59,candidate,has description; high-value type; has external URL,,,Scheveningen Pier,europe/netherlands/scheveningen/scheveningen_pier,0.478,,,missing_coordinates; has_external_url,http://www.sandsculptures.nl/,https://en.wikivoyage.org/wiki/Scheveningen,candidate score 0.59 is below the 6.0 POI threshold; event-only listing rather than a durable POI
northamerica/canada/ontario/ottawa,Ottawa,Ottawa,23,271,do,Ferrari Festival,0.59,candidate,has description; high-value type; has external URL,,,Central Experimental Farm,northamerica/canada/ontario/ottawa/central_experimental_farm,0.439,,,missing_coordinates; has_external_url,http://fcaottawa.com,https://en.wikivoyage.org/wiki/Ottawa,candidate score 0.59 is below the 6.0 POI threshold; event-only listing rather than a durable POI
northamerica/unitedstates/georgia/albany,Albany,Albany (Georgia),6,10,do,Craft Axe Throwing,0.59,candidate,has description; high-value type; has external URL,,,Chehaw Park and Wild Animal Park,northamerica/unitedstates/georgia/albany/chehaw_park,0.32,,,missing_coordinates; has_external_url,https://craftaxethrowing.com/us/ga/albany,https://en.wikivoyage.org/wiki/Albany_%28Georgia%29,candidate score 0.59 is below the 6.0 POI threshold; ordinary commercial operator rather than a durable attraction POI
northamerica/unitedstates/florida/northeastflorida/jacksonville,Jacksonville,Jacksonville,47,108,do,World Arts Film Festival,0.59,candidate,has description; high-value type; has external URL,,,Fort Caroline National Memorial,northamerica/unitedstates/florida/northeastflorida/jacksonville/fort_caroline,0.4,,,missing_coordinates; has_external_url,http://worldartsfilmfestival.org/,https://en.wikivoyage.org/wiki/Jacksonville,candidate score 0.59 is below the 6.0 POI threshold; event-only listing rather than a durable POI
europe/germany/northrhinewestphalia/aachen,Aachen,Aachen,14,74,see,Annakirche,0.59,candidate,has description; high-value type; has external URL,,,Aachener Dom,europe/germany/northrhinewestphalia/aachen/aachener_dom,0.455,,,missing_coordinates; has_external_url,http://www.evangelisch-in-aachen.de/annakirche0/,https://en.wikivoyage.org/wiki/Aachen,candidate score 0.59 is below the 6.0 POI threshold; weak/local-only candidate for this destination
northamerica/unitedstates/michigan/grandrapids,Grand Rapids,Grand Rapids,0,52,do,ArtPrize,0.59,candidate,has description; high-value type; has external URL,,,,,0.0,,,missing_coordinates; has_external_url,http://www.artprize.org/,https://en.wikivoyage.org/wiki/Grand_Rapids,candidate score 0.59 is below the 6.0 POI threshold; event-only listing rather than a durable POI
northamerica/mexico/cabosanlucas,Cabo San Lucas,Cabo San Lucas,6,50,do,Reggae Jungle Cruise,0.59,candidate,has description; high-value type; has external URL,,,Whale Watching,northamerica/mexico/cabosanlucas/whale_watching,0.353,,,missing_coordinates; has_external_url,http://www.cabobooze-cruise.com,https://en.wikivoyage.org/wiki/Cabo_San_Lucas,candidate score 0.59 is below the 6.0 POI threshold; ordinary commercial operator rather than a durable attraction POI
northamerica/unitedstates/kentucky/lexington,Lexington,Lexington (Kentucky),19,81,do,Woodland Art Fair,0.59,candidate,has description; high-value type; has external URL,,,Ashland — The Henry Clay Estate,northamerica/unitedstates/kentucky/lexington/ashland_henry_clay_estate,0.381,,,missing_coordinates; has_external_url,http://www.lexingtonartleague.org/woodland-art-fair.html,https://en.wikivoyage.org/wiki/Lexington_%28Kentucky%29,candidate score 0.59 is below the 6.0 POI threshold; transport operator rather than an attraction POI
northamerica/unitedstates/massachusetts/cambridge,Cambridge,Cambridge (Massachusetts),13,112,see,Hubway,0.59,candidate,has description; high-value type; has external URL,,,Harvard Yard,northamerica/unitedstates/massachusetts/cambridge/harvard_yard,0.333,,,missing_coordinates; has_external_url,https://case.hks.harvard.edu/hubway-a-bike-sharing-in-boston/,https://en.wikivoyage.org/wiki/Cambridge_%28Massachusetts%29,candidate score 0.59 is below the 6.0 POI threshold; transport operator rather than an attraction POI
northamerica/unitedstates/arizona/flagstaff,Flagstaff,Flagstaff,12,67,do,Navajo Festival of Arts and Culture,0.59,candidate,has description; high-value type; has external URL,,,Lava River Cave,northamerica/unitedstates/arizona/flagstaff/lava_river_cave,0.4,,,missing_coordinates; has_external_url,https://musnaz.org/event/2025-heritage-festival-of-arts-culture/,https://en.wikivoyage.org/wiki/Flagstaff,candidate score 0.59 is below the 6.0 POI threshold; event-only listing rather than a durable POI
northamerica/unitedstates/california/salinas,Salinas,Salinas,5,25,do,First Fridays Art Walk,0.59,candidate,has description; high-value type; has external URL,,,John Steinbeck Library,northamerica/unitedstates/california/salinas/john_steinbeck_library,0.273,,,missing_coordinates; has_external_url,http://www.artistasunidos.org/Fridays.htm,https://en.wikivoyage.org/wiki/Salinas,candidate score 0.59 is below the 6.0 POI threshold; weak/local-only candidate for this destination
europe/serbia/kosovoprovince/peja,Peja,Peja,8,64,do,GuideKS,0.59,candidate,has description; high-value type; has external URL,,,Haxhi Zeka Mill,europe/serbia/kosovoprovince/peja/haxhi_zeka_mill,0.273,,,missing_coordinates; has_external_url,https://guideks.org,https://en.wikivoyage.org/wiki/Peja,candidate score 0.59 is below the 6.0 POI threshold; ordinary commercial operator rather than a durable attraction POI
southamerica/peru/arequipa,Arequipa,Arequipa,19,39,do,Ventura Travel,0.59,candidate,has description; high-value type; has external URL,,,Centro Histórico,southamerica/peru/arequipa/centro_historico,0.467,,,missing_coordinates; has_external_url,http://www.venturatravelperu.com,https://en.wikivoyage.org/wiki/Arequipa,candidate score 0.59 is below the 6.0 POI threshold; ordinary commercial operator rather than a durable attraction POI
australiaandpacific/newzealand/south_island/otago/dunedin,Dunedin,Dunedin,15,102,see,Atomic Bus,0.59,candidate,has description; high-value type; has external URL,,,Otago Museum,australiaandpacific/newzealand/south_island/otago/dunedin/otago_museum,0.364,,,missing_coordinates; has_external_url,https://www.atomictravel.co.nz/,https://en.wikivoyage.org/wiki/Dunedin,candidate score 0.59 is below the 6.0 POI threshold; transport operator rather than an attraction POI
northamerica/unitedstates/california/sanjose,San Jose,San Jose (California),6,114,do,Further Confusion,0.59,candidate,has description; high-value type; has external URL,,,Super Taqueria,northamerica/unitedstates/california/sanjose/super_taqueria,0.387,,,missing_coordinates; has_external_url,https://www.furtherconfusion.org/,https://en.wikivoyage.org/wiki/San_Jose_%28California%29,candidate score 0.59 is below the 6.0 POI threshold; weak/local-only candidate for this destination
northamerica/unitedstates/massachusetts/provincetown,Provincetown,Provincetown,1,89,do,Mr. New England Leather,0.59,candidate,has description; high-value type; has external URL,,,Lobster Pot,northamerica/unitedstates/massachusetts/provincetown/lobster_pot,0.242,,,missing_coordinates; has_external_url,https://neleather.org/,https://en.wikivoyage.org/wiki/Provincetown,candidate score 0.59 is below the 6.0 POI threshold; event-only listing rather than a durable POI
australiaandpacific/newzealand/north_island/whanganui_region/newplymouth,New Plymouth,New Plymouth,7,16,do,Precision Helicopters Ltd,0.59,candidate,has description; high-value type; has external URL,,,Taranaki Cathedral,australiaandpacific/newzealand/north_island/whanganui_region/newplymouth/taranaki_cathedral,0.279,,,missing_coordinates; has_external_url,http://www.precisionhelicopters.com/urenui-base.php,https://en.wikivoyage.org/wiki/New_Plymouth,candidate score 0.59 is below the 6.0 POI threshold; transport operator rather than an attraction POI
