world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
europe/spain/spanishcostas/denia,Dénia,Dénia,3,33,see,Tourist Info Dénia,0.89,candidate,has coordinates; has description; high-value type; has external URL,38.84035,0.11265,Dénia Castle,europe/spain/spanishcostas/denia/denia_castle,0.385,0.615,0.569,has_external_url,http://en.denia.net/en,https://en.wikivoyage.org/wiki/D%C3%A9nia,Tourist information office rather than a travel-worthy see/do POI.
australiaandpacific/newzealand/north_island/greater_wellington/wairarapa/masterton,Masterton,Masterton,7,18,see,Masterton Medical,0.89,candidate,has coordinates; has description; high-value type; has external URL,-40.9494,175.6747,Aratoi,australiaandpacific/newzealand/north_island/greater_wellington/wairarapa/masterton/aratoi,0.435,1.221,1.236,has_external_url,http://www.mastertonmedical.co.nz,https://en.wikivoyage.org/wiki/Masterton,Medical clinic and not a travel POI.
northamerica/unitedstates/montana/helena,Helena,Helena (Montana),15,34,see,Staggering Ox,0.89,candidate,has coordinates; has description; high-value type; has external URL,46.59947,-112.04598,Blackfoot River Brewing Co.,northamerica/unitedstates/montana/helena/blackfoot_river_brewing,0.464,0.536,1.055,has_external_url,https://staggeringox.com/helena/,https://en.wikivoyage.org/wiki/Helena_%28Montana%29,Restaurant/sandwich shop lead and not a things_to_do POI.
asia/southkorea/dae_gu,Daegu,Daegu,7,73,see,Daegu Horror Festival,0.89,candidate,has coordinates; has description; high-value type; has external URL,35.82988,128.690107,Daegu National Museum,asia/southkorea/dae_gu/daegu_national_museum,0.476,7.87,9.232,has_external_url,https://www.facebook.com/DIHFesta/,https://en.wikivoyage.org/wiki/Daegu,Event listing with weak durable POI value for Daegu.
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/bath,Bath,Bath,20,96,do,Wellow Trekking Centre,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.323017,-2.366495,Royal Crescent,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/bath/royal_crescent,0.444,7.081,6.507,has_external_url,http://www.wellowtrekking.com/,https://en.wikivoyage.org/wiki/Bath,Commercial riding operator outside Bath and below the city threshold.
europe/ukraine/kyiv,Kyiv,Kyiv,52,205,see,United States of America,0.89,candidate,has coordinates; has description; high-value type; has external URL,50.46658,30.43061,Golden Gate of Kyiv,europe/ukraine/kyiv/golden_gate,0.465,6.206,6.87,has_external_url,https://ua.usembassy.gov/,https://en.wikivoyage.org/wiki/Kyiv,Embassy listing and not a visitor attraction for Kyiv.
europe/hungary/sopron,Sopron,Sopron,9,234,see,Arany Angyal Inn,0.89,candidate,has coordinates; has description; high-value type; has external URL,47.68572,16.59341,Domonkos Wine Bar,europe/hungary/sopron/domonkos_wine_bar,0.414,0.586,0.706,has_external_url,http://muemlekem.hu/muemlek?id=5059,https://en.wikivoyage.org/wiki/Sopron,Minor protected inn and weaker than existing Sopron historic-building coverage.
europe/denmark/aarhus,Aarhus,Aarhus,12,232,do,River canoeing,0.89,candidate,has coordinates; has description; high-value type; has external URL,56.15539,10.19337,ARoS Aarhus Art Museum,europe/denmark/aarhus/aros,0.542,0.458,1.398,has_external_url,https://aarhuskanoudlejning.dk/home,https://en.wikivoyage.org/wiki/Aarhus,Activity/operator lead rather than a named stable POI.
europe/norway/arendal,Arendal,Arendal,6,21,do,Merdø,0.89,candidate,has coordinates; has description; high-value type; has external URL,58.4248413,8.8019162,Merdø Island,europe/norway/arendal/merdo_island,0.533,2.872,8.447,has_external_url,https://www.visitnorway.com/places-to-go/southern-norway/arendal/listings-arendal/visit-on-merd%C3%B8-island/5146/?lang=usa,https://en.wikivoyage.org/wiki/Arendal,Duplicate of existing Merdø Island POI under Arendal.
northamerica/canada/manitoba/winnipeg,Winnipeg,Winnipeg,22,164,do,The Golf Dome,0.89,candidate,has coordinates; has description; high-value type; has external URL,49.84757,-97.20172,Forks Market,northamerica/canada/manitoba/winnipeg/forksmarket,0.381,6.722,7.0,has_external_url,http://www.golfdome.ca,https://en.wikivoyage.org/wiki/Winnipeg,Local indoor golf facility below Winnipeg travel threshold.
northamerica/unitedstates/illinois/peoria,Peoria,Peoria (Illinois),15,28,do,Par-a-dice Casino,0.89,candidate,has coordinates; has description; high-value type; has external URL,40.6791,-89.5652,Caterpillar Visitors Center,northamerica/unitedstates/illinois/peoria/caterpillar_visitors_center,0.381,2.546,2.602,has_external_url,http://www.paradicecasino.com/,https://en.wikivoyage.org/wiki/Peoria_%28Illinois%29,Casino gambling venue with limited standalone Peoria travel value.
asia/malaysia/johorbahru,Johor Bahru,Johor Bahru,8,205,see,Love Fun Baking House,0.89,candidate,has coordinates; has description; high-value type; has external URL,1.541915,103.801399,Sultan Abu Bakar Royal Museum,asia/malaysia/johorbahru/sultan_abu_bakar_museum,0.44,10.882,10.154,has_external_url,https://www.facebook.com/pg/lovefunbakinghouse,https://en.wikivoyage.org/wiki/Johor_Bahru,Retail/class business and not a strong Johor Bahru visitor POI.
europe/norway/lofotenislands/vaeroy,Værøy,Værøy,4,12,see,Turistkontor ferjekaia,0.89,candidate,has coordinates; has description; high-value type; has external URL,67.65244,12.70925,Eagle-Hunting Caves,europe/norway/lofotenislands/vaeroy/eagle_caves,0.244,1.061,0.763,has_external_url,http://www.varoy.kommune.no,https://en.wikivoyage.org/wiki/V%C3%A6r%C3%B8y,Tourist office/ferry-quay service rather than an attraction.
northamerica/unitedstates/maryland/rock_hall,Rock Hall,Rock Hall,7,10,do,Shardana Sailing Charters,0.89,candidate,has coordinates; has description; high-value type; has external URL,39.1434,-76.2522,Passages,northamerica/unitedstates/maryland/rock_hall/passages,0.364,1.282,1.597,has_external_url,https://www.shardanasailing.com,https://en.wikivoyage.org/wiki/Rock_Hall,Commercial sailing charter rather than a stable public POI.
europe/finland/lahti,Lahti,Lahti,11,61,do,Menovene,0.89,candidate,has coordinates; has description; high-value type; has external URL,61.0021323,25.6340348,Mustankallio Water Tower,europe/finland/lahti/mustankallio_water_tower,0.312,2.296,2.621,has_external_url,https://www.menovene.com,https://en.wikivoyage.org/wiki/Lahti,Boat rental/operator lead rather than a destination POI.
northamerica/unitedstates/arizona/cave_creek,Cave Creek,Cave Creek,0,31,do,Flat Tire Bike Shop,0.89,candidate,has coordinates; has description; high-value type; has external URL,33.831872,-111.947691,,,0.0,,0.2,has_external_url,http://flattirebikes.com/,https://en.wikivoyage.org/wiki/Cave_Creek,Retail bike shop and not a travel-worthy Cave Creek POI.
northamerica/unitedstates/washington/bellingham,Bellingham,Bellingham (Washington),17,65,do,Deming Log Show,0.89,candidate,has coordinates; has description; high-value type; has external URL,48.8485,-122.31345,Village Books,northamerica/unitedstates/washington/bellingham/village_books,0.357,20.279,16.006,has_external_url,https://demingloggingshow.com/,https://en.wikivoyage.org/wiki/Bellingham_%28Washington%29,Annual event outside Bellingham and too situational for a POI file.
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield,Sheffield,Sheffield,2,253,do,The Climbing Works,0.89,candidate,has coordinates; has description; high-value type; has external URL,53.351625,-1.484941,Bishop's House,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield/bishopshouse,0.288,0.712,3.378,has_external_url,https://www.climbingworks.com/,https://en.wikivoyage.org/wiki/Sheffield,Commercial indoor climbing gym below Sheffield visitor threshold.
northamerica/unitedstates/michigan/annarbor,Ann Arbor,Ann Arbor,18,178,do,Planet Rock,0.89,candidate,has coordinates; has description; high-value type; has external URL,42.2831,-83.8089,The Ark,northamerica/unitedstates/michigan/annarbor/the_ark,0.429,4.955,4.972,has_external_url,http://www.planet-rock.com,https://en.wikivoyage.org/wiki/Ann_Arbor,Commercial indoor climbing gym below Ann Arbor visitor threshold.
northamerica/unitedstates/alabama/montgomery,Montgomery,Montgomery,24,41,see,Huntingdon College,0.89,candidate,has coordinates; has description; high-value type; has external URL,32.35104,-86.28535,Hank Williams' Grave,northamerica/unitedstates/alabama/montgomery/hank_williams_grave,0.378,4.904,3.71,has_external_url,https://www.huntingdon.edu/,https://en.wikivoyage.org/wiki/Montgomery,Campus lead with limited visitor draw compared with Montgomery civil-rights and civic sights.
northamerica/unitedstates/california/orangecounty/lagunabeach,Laguna Beach,Laguna Beach,8,34,see,Festival of Arts,0.89,candidate,has coordinates; has description; high-value type; has external URL,33.59158,-117.75948,Sawdust Art Festival,northamerica/unitedstates/california/orangecounty/lagunabeach/sawdust_art_festival,0.444,4.886,5.942,has_external_url,http://www.lagunafestivalofarts.com/,https://en.wikivoyage.org/wiki/Laguna_Beach,Annual arts venue/event overlaps with existing Pageant of the Masters and Sawdust Festival coverage.
northamerica/mexico/chichenitza,Chichen Itza,Chichen Itza,0,27,see,Cenote Ik Kil,0.89,candidate,has coordinates; has description; high-value type; has external URL,20.66657,-88.548324,,,0.0,,2.789,has_external_url,https://cenoteikkil.com/,https://en.wikivoyage.org/wiki/Chichen_Itza,Duplicate of existing World66 POI at northamerica/mexico/cancun/cenote_ik_kil.
