world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
asia/india/uttarpradesh/lucknow,Lucknow,Lucknow,27,97,do,Lucknow Mahotsav,0.47,candidate,high-value type,,,Dilkusha Kothi,asia/india/uttarpradesh/lucknow/dilkusha_kothi,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Lucknow,candidate score 0.47 is below the 6.0 POI threshold
asia/malaysia/kualalumpur,Kuala Lumpur,Kuala Lumpur,102,107,see,Senegal,0.47,candidate,high-value type,,,Nu Sentral Mall,asia/malaysia/kualalumpur/nu_sentral_brickfields,0.455,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kuala_Lumpur,candidate score 0.47 is below the 6.0 POI threshold
northamerica/canada/ontario/ottawa,Ottawa,Ottawa,23,271,see,Guinea,0.47,candidate,high-value type,,,Gatineau Park,northamerica/canada/ontario/ottawa/gatineau_park,0.526,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ottawa,candidate score 0.47 is below the 6.0 POI threshold
europe/france/around_paris/fontainebleau,Fontainebleau,Fontainebleau,11,10,see,Musée napoléonien d'art et d'histoire,0.47,candidate,high-value type,,,Chinese Museum at Fontainebleau,europe/france/around_paris/fontainebleau/chinese_museum,0.324,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Fontainebleau,candidate score 0.47 is below the 6.0 POI threshold
europe/hungary/gyor,Győr,Győr,13,201,do,Likócsi Community House,0.47,candidate,high-value type,,,Margit Kovács Ceramic Collection,europe/hungary/gyor/margit_kovacs_ceramic_collection,0.364,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Gy%C5%91r,candidate score 0.47 is below the 6.0 POI threshold
europe/russia/khabarovsk,Khabarovsk,Khabarovsk,9,58,see,Lexx,0.47,candidate,high-value type,,,Amur Cliff Promenade,europe/russia/khabarovsk/amur_cliff_promenade,0.167,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Khabarovsk,candidate score 0.47 is below the 6.0 POI threshold
europe/lithuania/vilnius,Vilnius,Vilnius,53,134,see,Georgia,0.47,candidate,high-value type,,,Ertlio Namas,europe/lithuania/vilnius/ertlio_namas,0.421,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Vilnius,candidate score 0.47 is below the 6.0 POI threshold
northamerica/unitedstates/florida/gainesville,Gainesville,Gainesville (Florida),8,43,do,Fest,0.47,candidate,high-value type,,,Florida Museum of Natural History,northamerica/unitedstates/florida/gainesville/florida_museum_of_natural_history,0.216,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Gainesville_%28Florida%29,candidate score 0.47 is below the 6.0 POI threshold
africa/ghana/accra,Accra,Accra,35,73,see,Equatorial Guinea,0.47,candidate,high-value type,,,National Museum of Ghana,africa/ghana/accra/national_museum,0.439,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Accra,candidate score 0.47 is below the 6.0 POI threshold
northamerica/unitedstates/southdakota/sturgis,“Sturgis”,Sturgis,5,17,see,Poker Alice House,0.47,candidate,high-value type,,,Fort Meade Cavalry Museum,northamerica/unitedstates/southdakota/sturgis/fort_meade,0.429,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sturgis,candidate score 0.47 is below the 6.0 POI threshold
asia/indonesia/bali/denpasar,Denpasar,Denpasar,7,32,see,"Austrian Representative for Consular Affairs in Denpasar, Bali",0.47,candidate,high-value type,,,Taman Festival Bali (Abandoned Theme Park),asia/indonesia/bali/denpasar/taman_festival_bali,0.375,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Denpasar,candidate score 0.47 is below the 6.0 POI threshold
europe/france/midi/cotedazur/nice,Nice,Nice,42,76,see,Mali,0.47,candidate,high-value type,,,Marché du Libération,europe/france/midi/cotedazur/nice/liberation_market,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Nice,candidate score 0.47 is below the 6.0 POI threshold
europe/germany/badenwrttemberg/lakeconstance,Lake Constance,Lake Constance,0,11,see,Lindau,0.47,candidate,high-value type,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Lake_Constance,candidate score 0.47 is below the 6.0 POI threshold
asia/china/guizhou/anshun,Anshun,Anshun,4,23,do,Yellow Fruit Tree Falls (Anshun),0.47,candidate,high-value type,,,Longgong Dragon Palace Caves,asia/china/guizhou/anshun/longgong_caves,0.314,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Anshun,candidate score 0.47 is below the 6.0 POI threshold
asia/turkmenistan/ashgabat,Ashgabat,Ashgabat,7,59,see,Kyrgyzstan,0.47,candidate,high-value type,,,National Museum of Turkmenistan,asia/turkmenistan/ashgabat/national_museum,0.244,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ashgabat,candidate score 0.47 is below the 6.0 POI threshold
europe/greece/athens,Athens,Athens,48,150,see,Portugal,0.47,candidate,high-value type,,,Diporto,europe/greece/athens/diporto,0.533,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Athens,candidate score 0.47 is below the 6.0 POI threshold
asia/india/madhyapradesh/raipur,Raipur,Raipur,8,8,see,Banjari Mata Mandir,0.47,candidate,high-value type,,,Dudhadhari Math,asia/india/madhyapradesh/raipur/dudhadhari_math,0.471,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Raipur,candidate score 0.47 is below the 6.0 POI threshold
asia/india/uttarpradesh/lucknow,Lucknow,Lucknow,27,97,see,Reservation,0.47,candidate,high-value type,,,The Residency,asia/india/uttarpradesh/lucknow/the_residency,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Lucknow,candidate score 0.47 is below the 6.0 POI threshold
europe/poland/szczecin,Szczecin,Szczecin,9,62,see,Mexico,0.47,candidate,high-value type,,,St. James' Cathedral,europe/poland/szczecin/st_james_cathedral,0.25,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Szczecin,candidate score 0.47 is below the 6.0 POI threshold
