world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/portugal/setubal,Setúbal,Setúbal,13,47,see,Moinho de Maré da Mourisca,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.5283,-8.80318,Arrábida Natural Park,europe/portugal/setubal/arrabida_natural_park,0.419,16.453,7.847,has_external_url,https://visitsetubal.com/en/one-world/natureza_en/estuario-do-sado_en/moinho-de-mare-da-mourisca_en/,https://en.wikivoyage.org/wiki/Set%C3%BAbal
northamerica/canada/ontario/hamilton,Hamilton,Hamilton (Ontario),18,97,see,Pier 4 Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.274034,-79.867339,Bayfront Park,northamerica/canada/ontario/hamilton/bayfront_park,0.528,0.472,2.046,has_external_url,https://www.hamilton.ca/city-initiatives/our-harbour/bayfront-park-pier-4-park-and-waterfront-trail,https://en.wikivoyage.org/wiki/Hamilton_%28Ontario%29
asia/israel/haifa,Haifa,Haifa,31,47,see,Reuben & and Edith Hecht Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,32.763478,35.017978,National Maritime Museum,asia/israel/haifa/national_maritime_museum,0.526,8.481,6.453,has_external_url,http://mushecht.haifa.ac.il/Default_eng.aspx,https://en.wikivoyage.org/wiki/Haifa
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/swindon,Swindon,Swindon,6,27,see,Swindon Art Gallery,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.552716,-1.777717,The Beehive,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/swindon/the_beehive,0.407,0.593,1.116,has_external_url,http://swindonmuseumandartgallery.org.uk/,https://en.wikivoyage.org/wiki/Swindon
europe/slovenia/ljubljana,Ljubljana,Ljubljana,26,111,see,Museum of Architecture and Design,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.050659,14.563161,Museum of Modern Art (MSUM),europe/slovenia/ljubljana/modern_art_museum,0.491,4.785,4.34,has_external_url,https://mao.si/en/,https://en.wikivoyage.org/wiki/Ljubljana
northamerica/guatemala/quezaltenango,Quetzaltenango (Xela),Quetzaltenango,3,13,do,Quetzaltenango Municipal Theatre,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,14.837989,-91.518867,Parque Centro América,northamerica/guatemala/quezaltenango/parque_centro_america,0.264,0.815,0.571,has_external_url,https://teatromunicipalquetzaltenango.org/,https://en.wikivoyage.org/wiki/Quetzaltenango
europe/sweden/gothenburg,Gothenburg,Gothenburg,15,116,see,KA 4 Museum and the Fort of Oskar II,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,57.674733,11.852342,Museum of World Culture,europe/sweden/gothenburg/museum_of_world_cu,0.473,8.456,7.714,has_external_url,http://www.o2fort.se/index2.html,https://en.wikivoyage.org/wiki/Gothenburg
asia/china/guangxi/nanning,Nanning,Nanning,8,39,see,The Museum of Guangxi Zhuang Autonomous Region,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,22.815141866,108.3312413143,Guangxi Museum,asia/china/guangxi/nanning/guangxi_museum,0.429,1.087,1.739,has_external_url,https://www.gxmuseum.cn,https://en.wikivoyage.org/wiki/Nanning
asia/vietnam/hochiminhcity,Ho Chi Minh City,Ho Chi Minh City,56,178,do,Dam Sen Water Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,10.76761,106.63633,Notre-Dame Cathedral,asia/vietnam/hochiminhcity/notre_dame_cathedral,0.526,6.979,7.239,has_external_url,http://www.damsenwaterpark.com.vn/en/home/,https://en.wikivoyage.org/wiki/Ho_Chi_Minh_City
europe/czechrepublic/ostrava,Ostrava,Ostrava,14,28,see,The Michal Mine,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.8426,18.3454,Cathedral of the Divine Saviour,europe/czechrepublic/ostrava/cathedral_divine_saviour,0.421,4.115,6.417,has_external_url,http://www.dul-michal.cz,https://en.wikivoyage.org/wiki/Ostrava
northamerica/unitedstates/kansas/topeka,Topeka,Topeka,14,36,do,Lake Shawnee,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.00518,-95.627731,Gage Park,northamerica/unitedstates/kansas/topeka/gage_park,0.381,9.329,6.502,has_external_url,http://parks.snco.us/index.aspx?NID=136,https://en.wikivoyage.org/wiki/Topeka
europe/unitedkingdom/england/eastern_england/southendonsea,Southend-on-Sea,Southend-on-Sea,10,58,do,The Palace Theatre,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.54375,0.69177,Adventure Island,europe/unitedkingdom/england/eastern_england/southendonsea/adventure_island,0.333,2.08,1.555,has_external_url,https://trafalgartickets.com/palace-theatre-southend/en-GB,https://en.wikivoyage.org/wiki/Southend-on-Sea
northamerica/unitedstates/ohio/toledo,Toledo,Toledo (Ohio),13,91,see,The Old West End,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.6707,-83.562,Rudy's Hot Dog,northamerica/unitedstates/ohio/toledo/rudys_hot_dog,0.462,3.553,2.819,has_external_url,https://www.oldwestendtoledo.com/,https://en.wikivoyage.org/wiki/Toledo_%28Ohio%29
northamerica/unitedstates/mississippi/tupelo,Tupelo,Tupelo,0,14,do,Tupelo Furniture Market,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.28407,-88.77768,,,0.0,,7.434,has_external_url,https://tupelofurnituremarket.com/,https://en.wikivoyage.org/wiki/Tupelo
northamerica/unitedstates/kansas/kansascity,Kansas City,Kansas City,16,127,see,Crown Center,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.080995,-94.581442,Union Station,northamerica/unitedstates/kansas/kansascity/union_station,0.512,0.488,2.144,has_external_url,https://www.crowncenter.com/,https://en.wikivoyage.org/wiki/Kansas_City
europe/denmark/horsens,Horsens,Horsens,9,30,see,Langelinie city beach,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,55.86135,9.875627,Vor Frelsers Kirke (Church of Our Saviour),europe/denmark/horsens/horsens_cathedral,0.308,1.644,1.944,has_external_url,https://visithorsens.dk/en/langelinie-city-beach-en/,https://en.wikivoyage.org/wiki/Horsens
asia/taiwan/kaohsiung,Kaohsiung,Kaohsiung,27,56,do,i-Ride Experience Center,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,22.605597,120.298927,Pier-2 Art Center,asia/taiwan/kaohsiung/pier_2_art_center,0.488,2.349,2.121,has_external_url,https://i-ridereservation.com.tw/iride/Reserve/Info/?Lang=en&Loc=KHH,https://en.wikivoyage.org/wiki/Kaohsiung
northamerica/unitedstates/utah/saltlakecity,Salt Lake City,Salt Lake City,62,174,see,Sugar House Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.7231,-111.849,Utah Olympic Park,northamerica/unitedstates/utah/saltlakecity/lavell_edwards_stadium,0.545,17.032,5.16,has_external_url,http://www.sugarhousepark.org,https://en.wikivoyage.org/wiki/Salt_Lake_City
europe/ukraine/vinnista,Vinnytsia,Vinnytsia,7,92,see,National Pirogov`s Estate Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.21406,28.40902,Pirogov National Museum,europe/ukraine/vinnista/pirogov_museum,0.545,3.532,4.791,has_external_url,http://www.pirogov.com.ua/,https://en.wikivoyage.org/wiki/Vinnytsia
northamerica/unitedstates/newyorkstate/rochester,Rochester,Rochester (New York),13,238,see,Seneca Park Zoo,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.2065,-77.6238,Highland Park,northamerica/unitedstates/newyorkstate/rochester/highland_park,0.429,8.656,5.68,has_external_url,http://www.senecaparkzoo.org,https://en.wikivoyage.org/wiki/Rochester_%28New_York%29
europe/germany/bavaria/bayreuth,Bayreuth,Bayreuth,8,76,see,Tierpark Röhrensee,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.9314765,11.572315,Hermitage Gardens,europe/germany/bavaria/bayreuth/hermitage,0.4,3.919,1.467,has_external_url,https://www.tierpark-roehrensee.de/,https://en.wikivoyage.org/wiki/Bayreuth
asia/china/guangdong/zhanjiang,Zhanjiang,Zhanjiang,4,34,see,Sanlingshan National Forest Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,21.17490570141219,110.33545100471363,Zhanjiang Mangrove National Nature Reserve,asia/china/guangdong/zhanjiang/zhanjiang_mangroves,0.459,31.162,7.251,has_external_url,http://zjslgy.cn/,https://en.wikivoyage.org/wiki/Zhanjiang
europe/hungary/sopron,Sopron,Sopron,9,234,see,Harka,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.633,16.601,Taródi Castle,europe/hungary/sopron/tarodi_castle,0.333,6.134,5.264,has_external_url,http://www.harka.hu/,https://en.wikivoyage.org/wiki/Sopron
asia/philippines/baguio,Baguio,Baguio,14,55,see,St. Francis Xavier Seminary Bamboo Educational Demo Farm (Bamboo Sanctuary),0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,16.42206,120.61392,Baguio Cathedral,asia/philippines/baguio/baguio_cathedral,0.254,1.955,2.912,has_external_url,https://baguiocityguide.com/visiting-the-bamboo-eco-park-in-baguio-kyoto-in-baguio/,https://en.wikivoyage.org/wiki/Baguio
europe/france/midi/languedoc/toulouse,Toulouse,Toulouse,8,49,see,Jardin Japonais Pierre-Baudis,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.6117,1.4326,Canal du Midi,europe/france/midi/languedoc/toulouse/canal_du_midi,0.359,1.271,1.216,has_external_url,https://www.toulouse-tourisme.com/jardin-japonais/toulouse/pcumid031fs0007f,https://en.wikivoyage.org/wiki/Toulouse
europe/austria/linz,Linz,Linz,11,63,see,Parish church Christ the King,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.31719,14.28433,Pöstlingberg,europe/austria/linz/postlingberg,0.378,2.695,1.149,has_external_url,https://www.dioezese-linz.at/urfahr-christkoenig,https://en.wikivoyage.org/wiki/Linz
northamerica/unitedstates/georgia/augusta,Augusta,Augusta (Georgia),9,53,see,Phinizy Swamp Nature Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,33.3902,-81.9587,Savannah Riverwalk,northamerica/unitedstates/georgia/augusta/savannah_riverwalk,0.326,9.293,9.105,has_external_url,https://phinizycenter.org/,https://en.wikivoyage.org/wiki/Augusta_%28Georgia%29
asia/thailand/cha_am,Cha Am,Cha-am,3,8,do,Wildlife Friends Foundation Thailand,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,12.79873,99.806691,Kaeng Krachan National Park,asia/thailand/cha_am/kaeng_krachan_national_park,0.381,27.583,17.296,has_external_url,https://www.wfft.org/,https://en.wikivoyage.org/wiki/Cha-am
europe/spain/andalucia/jerezdelafrontera,Jerez de la Frontera,Jerez de la Frontera,6,74,see,Museo de la Miel and the Bees,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.65921,-6.00758,Real Escuela Andaluza del Arte Ecuestre,europe/spain/andalucia/jerezdelafrontera/real_escuela_ecuestre,0.444,12.266,11.88,has_external_url,https://ranchocortesano.net/,https://en.wikivoyage.org/wiki/Jerez_de_la_Frontera
australiaandpacific/newzealand/north_island/waikato/waitomo,Waitomo,Waitomo,4,8,see,Ruakuri Cave,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-38.2638,175.12569,Waitomo Glowworm Cave,australiaandpacific/newzealand/north_island/waikato/waitomo/waitomo_glowworm_cave,0.424,1.957,1.377,has_external_url,https://www.waitomo.com/glowworms-and-caves/ruakuri-cave,https://en.wikivoyage.org/wiki/Waitomo
europe/ukraine/lviv,Lviv,Lviv,12,176,see,Historical complex of Sheptytsky National Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.8332,24.0283,Lonsky Prison Museum,europe/ukraine/lviv/lonsky_prison_museum,0.471,1.388,1.007,has_external_url,https://nml.com.ua/en/museum/istorichniy-kompleks-natsionalnogo-muzeyu-u-lvovi-im-andreya-sheptitskogo/,https://en.wikivoyage.org/wiki/Lviv
northamerica/unitedstates/newjersey/longbeachisland,Long Beach Island,Long Beach Island,0,68,do,Thundering Surf Water Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.569,-74.237,,,0.0,,8.549,has_external_url,https://www.thunderingsurfwaterpark.com,https://en.wikivoyage.org/wiki/Long_Beach_Island
