world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
northamerica/unitedstates/northcarolina/asheville,Asheville,Asheville,20,153,see,First Baptist Church,0.74,candidate,has coordinates; has description; high-value type; strong travel term,35.5992,-82.5478,Thomas Wolfe Memorial,northamerica/unitedstates/northcarolina/asheville/thomas_wolfe_memorial,0.669,0.331,0.508,needs_external_source,,https://en.wikivoyage.org/wiki/Asheville,below threshold for Asheville compared with existing stronger architecture and museum POIs
asia/india/dadraandnagarhaveli/silvassa,Silvassa,Silvassa,3,12,see,Vanganga Garden,0.74,candidate,has coordinates; has description; high-value type; strong travel term,20.31209,72.97024,Van Ganga Lake and Island Garden,asia/india/dadraandnagarhaveli/silvassa/van_ganga_lake,0.638,3.632,6.265,needs_external_source,,https://en.wikivoyage.org/wiki/Silvassa,duplicate/alias of existing Van Ganga Lake and Island Garden POI
northamerica/unitedstates/ohio/port_clinton,Port Clinton,Port Clinton (Ohio),5,24,do,Port Clinton City Beach,0.74,candidate,has coordinates; has description; high-value type; strong travel term,41.5144,-82.9257,Port Clinton Lighthouse,northamerica/unitedstates/ohio/port_clinton/port_clinton_lighthouse,0.652,0.727,1.034,needs_external_source,,https://en.wikivoyage.org/wiki/Port_Clinton_%28Ohio%29,weak local beach below threshold for Port Clinton
europe/greece/philippi,Philippi,Philippi,9,18,see,Sinful Roman Monument,0.74,candidate,has coordinates; has description; high-value type; strong travel term,41.0123,24.3112,Roman Forum,europe/greece/philippi/roman_forum,0.562,2.049,2.287,needs_external_source,,https://en.wikivoyage.org/wiki/Philippi,vague/insufficiently identifiable lead and not a durable visitor POI
northamerica/britishvirginislands/virgingorda,Virgin Gorda,Virgin Gorda,11,56,see,The Copper Mine,0.74,candidate,has coordinates; has description; high-value type; strong travel term,18.4325,-64.42417,Copper Mine National Park,northamerica/britishvirginislands/virgingorda/copper_mine,0.658,0.342,4.887,needs_external_source,,https://en.wikivoyage.org/wiki/Virgin_Gorda,duplicate/alias of existing Copper Mine National Park POI
europe/finland/lieksa,Lieksa,Lieksa,9,16,see,Pielisen Museo,0.74,candidate,has coordinates; has description; high-value type; strong travel term,63.3098,30.0352,Pielinen Open-Air Museum,europe/finland/lieksa/pielinen_museum,0.632,1.802,1.199,needs_external_source,,https://en.wikivoyage.org/wiki/Lieksa,duplicate/alias of existing Pielinen Open-Air Museum POI
europe/spain/catalonia/vic,Vic,Vic (Barcelona),6,39,do,center BTT Plain of Vic,0.74,candidate,has coordinates; has description; high-value type; strong travel term,41.93369,2.23954,Roman Temple of Vic,europe/spain/catalonia/vic/roman_temple,0.571,1.513,1.304,needs_external_source,,https://en.wikivoyage.org/wiki/Vic_%28Barcelona%29,ordinary activity/operator lead rather than a POI
asia/japan/honshu/shimonoseki,Shimonoseki,Shimonoseki,10,33,see,Iminomiya-jinja,0.74,candidate,has coordinates; has description; high-value type; strong travel term,33.99897,130.98756,Chofu Mori Residence,asia/japan/honshu/shimonoseki/chofu_mori_residence,0.651,0.349,6.253,needs_external_source,,https://en.wikivoyage.org/wiki/Shimonoseki,below threshold compared with existing Chofu-area Shimonoseki coverage
europe/spain/andalucia/chipiona,Chipiona,Chipiona,11,14,see,The Sanctuary of Our Lady of Regla,0.74,candidate,has coordinates; has description; high-value type; strong travel term,36.729783,-6.43875,Castillo de Chipiona,europe/spain/andalucia/chipiona/castillo_de_chipiona,0.574,0.426,0.73,needs_external_source,,https://en.wikivoyage.org/wiki/Chipiona,below threshold given existing Chipiona historic coverage
asia/japan/honshu/shimonoseki,Shimonoseki,Shimonoseki,10,33,see,Chofu Garden,0.74,candidate,has coordinates; has description; high-value type; strong travel term,33.99068,130.98919,Chofu Mori Residence,asia/japan/honshu/shimonoseki/chofu_mori_residence,0.625,0.603,5.726,needs_external_source,,https://en.wikivoyage.org/wiki/Shimonoseki,below threshold and too close to existing Chofu Mori Residence coverage
europe/greece/skiathos,Skiathos,Skiathos,10,18,do,Lalaria,0.74,candidate,has coordinates; has description; high-value type; strong travel term,39.20706,23.47787,Lalaria Beach,europe/greece/skiathos/lalaria,0.7,2.789,4.629,needs_external_source,,https://en.wikivoyage.org/wiki/Skiathos,duplicate/alias of existing Lalaria Beach POI
asia/india/andhrapradesh/visakhapatnam,Visakhapatnam,Visakhapatnam,11,44,see,Kailasagiri,0.74,candidate,has coordinates; has description; high-value type; strong travel term,17.748992,83.342236,Kailasagiri Hill Park,asia/india/andhrapradesh/visakhapatnam/kailasagiri,0.688,1.623,8.134,needs_external_source,,https://en.wikivoyage.org/wiki/Visakhapatnam,duplicate/alias of existing Kailasagiri Hill Park POI
asia/india/uttarpradesh/varanasi,Varanasi,Varanasi,13,65,see,Gauri Matha Temple,0.74,candidate,has coordinates; has description; high-value type; strong travel term,25.31765,82.97391,Kashi Vishwanath Temple,asia/india/uttarpradesh/varanasi/kashi_vishwanath_temple,0.634,3.768,3.936,needs_external_source,,https://en.wikivoyage.org/wiki/Varanasi,weak local temple compared with existing stronger Varanasi sacred-site coverage
northamerica/unitedstates/california/sanjose,San Jose,San Jose (California),6,114,see,Paseo de San Antonio,0.74,candidate,has coordinates; has description; high-value type; strong travel term,37.3332,-121.888,La Victoria Taqueria,northamerica/unitedstates/california/sanjose/la_victoria_taquer,0.671,0.329,0.402,needs_external_source,,https://en.wikivoyage.org/wiki/San_Jose_%28California%29,below threshold as a separate San Jose POI
