code,provider,country,location,email,lang,channel,sent_at,bounced,replied_at,outcome,notes
VPF8R5,Lauke Tours,Argentina,southamerica/argentina/cuyo/mendoza,,en,website,,,,,mendozatours.com.ar
HGT6SG,Madryn Buceo,Argentina,southamerica/argentina/patagonia/puertomadryn,madrynbuceo@hotmail.com,en,email,,,,,madrynbuceo.com
26G786,MADS Experiences,Argentina,southamerica/argentina/cuyo/mendoza,info@madsexperiences.com,en,email,,,,,madsexperiences.com
8QG25L,Magellanic Nature Tours,Argentina,southamerica/argentina/patagonia/ushuaia,magellanicush@gmail.com,en,email,,,,,
8VW8F3,Mendoza Mountain Tours,Argentina,southamerica/argentina/cuyo/mendoza,,en,website,,,,,mendozamountaintours.com
Q3KBLT,Miras del Mar,Argentina,southamerica/argentina/patagonia/puertomadryn,,en,website,,,,,grupomirasdelmar.com
FHV66C,Mundo Austral,Argentina,southamerica/argentina/patagonia/calafate,info@mundoaustral.com.ar,en,email,,,,,
LT86X5,Onashaga,Argentina,southamerica/argentina/patagonia/ushuaia,info@onashagaexpeditions.com,en,email,,,,,
VJHWPL,Pakkarin Viajes,Argentina,southamerica/argentina/norte/salta,pakkarinviajes@gmail.com,en,email,,,,,pakkarinviajes.com.ar
3MFDF8,Patagonia Infinita,Argentina,southamerica/argentina/patagonia/villa_la_angostura,patagoniainfinita@gmail.com,en,email,,,,,patagoniainfinita.com
5TRCJQ,Peke Sosa,Argentina,southamerica/argentina/patagonia/puerto_piramides,pekesosaballenas@gmail.com,en,email,,,,,
V7H643,Perla Andina,Argentina,southamerica/argentina/patagonia/calafate,perlaandinareservas@gmail.com,en,email,,,,,
JT7ZFR,Peñén,Argentina,southamerica/argentina/cordobaprovince/cordoba,penen.vyt@gmail.com,en,email,,,,,
27325Y,Pingüinos Exp,Argentina,southamerica/argentina/patagonia/ushuaia,info@pinguinosexp.com,en,email,,,,,pinguinosexp.com
7MDS3G,Portal del Atuel,Argentina,southamerica/argentina/cuyo/san_rafael,portaldelatuel@icloud.com,en,email,,,,,portaldelatuel.ar
TDVZTJ,Potrerillos Explorer,Argentina,southamerica/argentina/cuyo/mendoza,info@potrerillosexplorer.com,en,email,,,,,potrerillosexplorer.com
39FZJM,Puerto Madryn Excursiones,Argentina,southamerica/argentina/patagonia/puertomadryn,reservas@puertomadrynexcursiones.com,en,email,,,,,puertomadrynexcursiones.com
M78CX7,Punta Ballena,Argentina,southamerica/argentina/patagonia/puerto_piramides,puntaballena.reservas@gmail.com,en,email,,,,,
MFK2QQ,R.O.A. Tour,Argentina,southamerica/argentina/litoral/puertoiguazu,info@iguazuroatour.com,en,email,,,,,
PVRV8T,Rafting Punto Límite,Argentina,southamerica/argentina/patagonia/bariloche,info@raftingpuntolimite.com.ar,en,email,,,,,raftingpuntolimite.com.ar
YT4TRR,Rumbo Sur,Argentina,southamerica/argentina/patagonia/ushuaia,informes@rumbosur.com.ar,en,email,,,,,
T39LZL,RunaTour,Argentina,southamerica/argentina/norte/tilcara,,en,website,,,,,runatour.tur.ar
MMRVK2,Salta Rafting,Argentina,southamerica/argentina/norte/salta,info@saltarafting.com,en,email,,,,,saltarafting.com
S68YJJ,Salum Tour & Travel,Argentina,southamerica/argentina/norte/salta,reservas@salumtravel.tur.ar,en,email,,,,,
MHP4V8,Salum Tour & Travel,Argentina,southamerica/argentina/patagonia/calafate,info@salumtravel.tur.ar,en,email,,,,,
L87PBR,Sky Tour Parapente,Argentina,southamerica/argentina/cuyo/mendoza,,en,website,,,,,skytour.com.ar
QNLCH6,Solo Patagonia,Argentina,southamerica/argentina/patagonia/calafate,info@solopatagonia.com,en,email,,,,,
L6KB22,Southern Spirit,Argentina,southamerica/argentina/patagonia/puerto_piramides,reservas@southernspirit.com.ar,en,email,,,,,
T85CK2,Summit Trek,Argentina,southamerica/argentina/cordobaprovince/sierras_de_cordoba,info@summittrek.com.ar,en,email,,,,,
TCQSFN,Taccu Aventura,Argentina,southamerica/argentina/cuyo/san_rafael,info@taccuaventura.com,en,email,,,,,taccuaventura.com
YZZPNZ,Tiamar Travel,Argentina,southamerica/argentina/norte/salta,,en,website,,,,,tiamartravel.com.ar
36CQ29,Tierra Turismo,Argentina,southamerica/argentina/patagonia/ushuaia,info@tierraturismo.com,en,email,,,,,
SQ3ZVH,Titan Cuatro Elementos,Argentina,southamerica/argentina/patagonia/ushuaia,reservas@titancuatroelementos.com,en,email,,,,,
HVBQ4C,Treeland,Argentina,southamerica/argentina/pampas/tandil,,en,website,,,,,treeland.com.ar
R2QJGT,Turismo Calafate,Argentina,southamerica/argentina/patagonia/calafate,info@turismocalafate.com,en,email,,,,,
M76MNV,Turismo en Ushuaia,Argentina,southamerica/argentina/patagonia/ushuaia,info@turismoenushuaia.com,en,email,,,,,turismoenushuaia.com
TB65MD,Turquesa Water,Argentina,southamerica/argentina/patagonia/calafate,turquesawater@gmail.com,en,email,,,,,
75DT8C,Uquía Turismo,Argentina,southamerica/argentina/norte/salta,reservas@uquiaturismo.tur.ar,en,email,,,,,
NJHWC9,Ushuaia 4x4,Argentina,southamerica/argentina/patagonia/ushuaia,,en,website,,,,,ushuaia4x4.com.ar
YS36SB,Ushuaia Boating,Argentina,southamerica/argentina/patagonia/ushuaia,reservas@ushboating.com,en,email,,,,,ushboating.com
C74887,Ushuaia Excursiones,Argentina,southamerica/argentina/patagonia/ushuaia,reservas@ushuaiaexcursiones.com,en,email,,,,,ushuaiaexcursiones.com
YDRC7N,Ushuaia Extremo,Argentina,southamerica/argentina/patagonia/ushuaia,info@ushuaiaextremotravels.com,en,email,,,,,
JJMT5C,Valle del Picapedrero,Argentina,southamerica/argentina/pampas/tandil,info@valledelpicapedrero.com,en,email,,,,,valledelpicapedrero.com.ar
3QT8PN,Valle Grande Aventura,Argentina,southamerica/argentina/cuyo/san_rafael,,en,website,,,,,vallegrandeaventura.com.ar
X5MDCZ,Wayfinders,Argentina,southamerica/argentina/patagonia/ushuaia,info@wayfinderadventures.com,en,email,,,,,
FC48R2,Whales Argentina,Argentina,southamerica/argentina/patagonia/puerto_piramides,info@whalesargentina.com.ar,en,email,,,,,
RY7RBC,Wine and Ride,Argentina,southamerica/argentina/cuyo/mendoza,,en,website,,,,,wineandride.com.ar
D96GC7,Yaghan Turismo,Argentina,southamerica/argentina/patagonia/ushuaia,reservas@yaghanturismo.tur.ar,en,email,,,,,
LH7RCV,Zona Austral Turismo,Argentina,southamerica/argentina/patagonia/elchalten,info@zonaaustralturismo.com,en,email,,,,,zonaaustralturismo.com
FPQBSV,Altitude Travel,Bolivia,southamerica/bolivia/lapaz,info@altitudealliance.travel,es,email,,,,,
ZYKGX2,America Tours SRL,Bolivia,southamerica/bolivia/lapaz,info@america-ecotours.com,es,email,,,,,
4S6X6C,Andes Brothers,Bolivia,southamerica/bolivia/lapaz,info@andesbrothers.com,es,email,,,,,
PL3TPN,Banjo Tours,Bolivia,southamerica/bolivia/lapaz,,es,website,,,,,banjotours.com
4DZ4J7,Barracuda Biking,Bolivia,southamerica/bolivia/lapaz,info@barracudabiking.com,es,email,,,,,
6CFP5K,Blue Line Service,Bolivia,southamerica/bolivia/uyuni,reservas@salardeuyunitour.com,es,email,,,,,
J647CC,Blue Moon Travel Agency,Bolivia,southamerica/bolivia/uyuni,,es,website,,,,,bluemoonuyunibolivia.com
PFWXNW,Bolivia en Ascenso,Bolivia,southamerica/bolivia/lapaz,info@boliviaenascenso.com,es,email,,,,,
QJRSVQ,Bolivian Mountain Guides,Bolivia,southamerica/bolivia/lapaz,eduardo@bolivianmountainguides.com,es,email,,,,,
MZ2MJ8,Bolivian Mountaineering,Bolivia,southamerica/bolivia/lapaz,pedro@bolivianmountaineering.com,es,email,,,,,
Z36HR5,Chalalán Albergue Ecológico,Bolivia,southamerica/bolivia/rurrenabaque,info@chalalan.com,es,email,,,,,
TD6KJR,Climbing Bolivia,Bolivia,southamerica/bolivia/lapaz,contact@climbingbolivia.com,es,email,,,,,
R638P3,Crillon Tours,Bolivia,southamerica/bolivia/laketiticaca,info@titicaca.com,es,email,,,,,
DVB6DX,Esmeralda Tours,Bolivia,southamerica/bolivia/uyuni,esmeralda-uyuni@hotmail.com,es,email,,,,,
P2PC6T,Expeditours Bolivia,Bolivia,southamerica/bolivia/santacruz,,es,website,,,,,expeditoursbolivia.com
K39S63,Gravity Bolivia,Bolivia,southamerica/bolivia/lapaz,info@gravitybolivia.com,es,email,,,,,
KG87FS,Hidalgo Tours,Bolivia,southamerica/bolivia/potosi,info@hidalgotours.com,es,email,,,,,
GKJKCW,Jiwaki,Bolivia,southamerica/bolivia/lapaz,jiwaki-@outlook.com,es,email,,,,,
SSH6XV,Kantuta Tours,Bolivia,southamerica/bolivia/uyuni,reservas.kantutatours@gmail.com,es,email,,,,,
YWLKNQ,La Senda Verde,Bolivia,southamerica/bolivia/coroico,info@sendaverde.org,es,email,,,,,
RY5CTM,La Torre Tours,Bolivia,southamerica/bolivia/tupiza,latorretours@gmail.com,es,email,,,,,
QTXGWK,Magri Turismo,Bolivia,southamerica/bolivia/lapaz,info@magriturismo.com,es,email,,,,,
F6223M,Mashaquipe Ecolodge,Bolivia,southamerica/bolivia/rurrenabaque,mashaquipe@hotmail.com,es,email,,,,,
PC5X9Z,Michael Blendinger Nature Tours,Bolivia,southamerica/bolivia/samaipata,info@discoveringbolivia.com,es,email,,,,,
2JQHGB,Mountain Illimani,Bolivia,southamerica/bolivia/lapaz,mountainillimani6@gmail.com,es,email,,,,,
WWCZB8,Nick's Adventures Bolivia,Bolivia,southamerica/bolivia/santacruz,nicksadventuresbolivia@gmail.com,es,email,,,,,
XGFWV7,Oasis Bolivia,Bolivia,southamerica/bolivia/uyuni,oasisbolivia@gmail.com,es,email,,,,,
6S2JKL,Quechua Connection 4WD,Bolivia,southamerica/bolivia/uyuni,info@quechuaconnection4wd.com,es,email,,,,,
NJG3VT,Red Cap City Walking Tours,Bolivia,southamerica/bolivia/lapaz,,es,website,,,,,redcapwalkingtours.com
5JL84J,Salt Dream Travel,Bolivia,southamerica/bolivia/uyuni,,es,website,,,,,saltdreamtravel.com
2T59VW,Salty Desert Aventours,Bolivia,southamerica/bolivia/uyuni,uyunisaltydesert@hotmail.com,es,email,,,,,
ZGD9RX,Shijusa Travel Agency,Bolivia,southamerica/bolivia/uyuni,info@shijusatravel.com,es,email,,,,,
9WBHMS,Sweet Travel,Bolivia,southamerica/bolivia/uyuni,beimarvilla1985@gmail.com,es,email,,,,,
PVRYYV,Todo Turismo,Bolivia,southamerica/bolivia/uyuni,,es,website,,,,,todoturismosrl.com
PGGLY4,Transturin Ltda.,Bolivia,southamerica/bolivia/laketiticaca,info@transturin.com,es,email,,,,,
9T9YZT,Tupiza Eco Travel Tours,Bolivia,southamerica/bolivia/tupiza,info@tupizaecotravel.com,es,email,,,,,
KZ4Q7J,Tupiza Tours,Bolivia,southamerica/bolivia/tupiza,hola@tupizatours.com,es,email,,,,,
6MRCPV,Yapa Bolivia Tours,Bolivia,southamerica/bolivia/lapaz,hello@yapabolivia.com,es,email,,,,,
Q8YQC5,4x4 Cantos,Brazil,southamerica/brazil/sudeste/novafriburgo,contato@4x4cantosecoturismo.com.br,en,email,2026-09-21,,,,
X9NCXD,A Cavalo Floripa,Brazil,southamerica/brazil/sul/florianopolis,acavalofloripa@gmail.com,en,email,,,,,acavalofloripa.com.br
GP8QQV,Abrolhos Adventure,Brazil,southamerica/brazil/nordeste/abrolhos,contato@abrolhosadventure.com.br,en,email,2026-09-21,,,,
NWNMBK,ACAMDAF,Brazil,southamerica/brazil/norte/manaus,contato@acamdaf.com.br,en,email,2026-09-21,,,,
RB4X88,Adrena Rio,Brazil,southamerica/brazil/riodejaneiro,reservas@adrenario.com,en,email,,,,,adrenario.com
SXTH6C,Adrenailha,Brazil,southamerica/brazil/sul/florianopolis,contato@adrenailha.com.br,en,email,2026-09-21,,,,
ZP3JGB,Adventure Boat,Brazil,southamerica/brazil/sudeste/ilhagrande,contato@adventureboat.com.br,en,email,2026-09-21,,,,
546V5V,Agência Bonito Demais,Brazil,southamerica/brazil/centro_oeste/bonito,contato@agenciabonitodemais.com.br,en,email,2026-09-21,,,,
3658FH,Akira Turismo,Brazil,southamerica/brazil/sul/blumenau,akiraturismo@gmail.com,en,email,,,,,akiraturismo.com.br
RR2HFG,Akura Paraty,Brazil,southamerica/brazil/sudeste/paraty,akuraoutdoorexperience@gmail.com,en,email,,,,,akuraparaty.com
2WV6RY,Alma Nativa,Brazil,southamerica/brazil/sudeste/vitoria,almanativaturismo@gmail.com,en,email,,,,,almanativa.com.br
PW96TT,Altus Turismo Ecológico,Brazil,southamerica/brazil/sudeste/campos_do_jordao,contato@altus.tur.br,en,email,2026-09-21,,,,
5CNBWV,Amantes da Natureza MT,Brazil,southamerica/brazil/centro_oeste/chapada_dos_guimaraes,amantesdanaturezamt@gmail.com,en,email,,,,,amantesdanaturezamt.com.br
CVCD2M,Amazon Destinations,Brazil,southamerica/brazil/norte/manaus,,en,website,,,,,amazondestinations.tur.br
W5L3YS,Amazon Lord,Brazil,southamerica/brazil/norte/manaus,contato@amazonlord.com.br,en,email,2026-09-21,,,,
5GK9WS,Amazongero Tours,Brazil,southamerica/brazil/norte/manaus,contato@amazongero.com,en,email,,,,,amazongero.com
575GCS,Amo Garopaba,Brazil,southamerica/brazil/sul/garopaba,contato@amogaropaba.com.br,en,email,,,,,amogaropaba.com.br
CTK9D6,AMO Lençóis,Brazil,southamerica/brazil/nordeste/barreirinhas,amolencoisturismo@gmail.com,en,email,,,,,amolencois.com.br
CY8KK6,Angra Náutico,Brazil,southamerica/brazil/sudeste/ilhagrande,,en,website,,,,,angranautico.com.br
VPMTYN,Aquamarina Mergulho,Brazil,southamerica/brazil/nordeste/porto_de_galinhas,aquamarinamergulhos@hotmail.com,en,email,,,,,mergulhosaquamarina.com.br
T86GWS,Arc Turismo,Brazil,southamerica/brazil/sul/fozdoiguacu,,en,website,,,,,arcturismo.com
2D8W75,Arraial do Cabo Travel,Brazil,southamerica/brazil/sudeste/arraial_do_cabo,arraialdocabotravel@gmail.com,en,email,,,,,arraialdocabotravel.com
J6HDJK,Arraial Extremo,Brazil,southamerica/brazil/sudeste/arraial_do_cabo,contato@arraialextremo.com,en,email,,,,,arraialextremo.com
SDS342,Arraial Férias,Brazil,southamerica/brazil/sudeste/arraial_do_cabo,reservas@arraialferias.com.br,en,email,,,,,arraialferias.com.br
8TKTQJ,Arraial Sun,Brazil,southamerica/brazil/sudeste/arraial_do_cabo,arraialsun@gmail.com,en,email,,,,,arraialsun.com.br
GTC98P,Arraial Sunset,Brazil,southamerica/brazil/sudeste/arraial_do_cabo,arraialsunset@gmail.com,en,email,,,,,arraialsunset.com
Q8JL92,Atalaia Turismo,Brazil,southamerica/brazil/nordeste/fernando_de_noronha,edna@atalaianoronha.com.br,en,email,2026-09-21,,,,
PZCRS5,Aventure-se Jalapão,Brazil,southamerica/brazil/norte/jalapao,aventuresejalapao@gmail.com,en,email,,,,,aventuresejalapao.com.br
79CVRY,Babylon Búzios,Brazil,southamerica/brazil/sudeste/buzios,contato@babylonbuzios.com.br,en,email,2026-09-21,,,,
NFKB42,Bahia Trip,Brazil,southamerica/brazil/nordeste/lencois,oi@bahiatripviagens.com,en,email,2026-09-21,,,,
F2MXPF,Bambu Aventura,Brazil,southamerica/brazil/sudeste/serra_do_cipo,bambu@bambuaventura.com.br,en,email,,,,,bambuaventura.com.br
NK77TJ,Barra Boat Floripa,Brazil,southamerica/brazil/sul/florianopolis,contato@barraboatfloripa.com.br,en,email,2026-09-21,,,,
WGCWBV,Bem Receptivo,Brazil,southamerica/brazil/nordeste/fortaleza,reservas@bemreceptivo.com.br,en,email,2026-09-21,,,,
SRTKQJ,Best Fly Rio,Brazil,southamerica/brazil/riodejaneiro,contato@bestflyrio.com.br,en,email,2026-09-21,,,,
7VHDYJ,BL3,Brazil,southamerica/brazil/sudeste/ilhabela,administrativo@bl3.com.br,en,email,2026-09-21,,,,
YHVY2N,Blue Charter,Brazil,southamerica/brazil/sudeste/ilhabela,contato@bluecharter.com.br,en,email,2026-09-21,,,,
JR2RTZ,Boat Party,Brazil,southamerica/brazil/sudeste/niteroi,,en,website,,,,,boatparty.com.br
PSQMDN,Bombinhas Turismo,Brazil,southamerica/brazil/sul/bombinhas,,en,website,,,,,bombinhasturismo.com.br
M75PYQ,Bonitour,Brazil,southamerica/brazil/centro_oeste/bonito,bonitour@bonitour.com.br,en,email,2026-09-21,,,,
3ZTYL3,Bora Brasil Expedições,Brazil,southamerica/brazil/nordeste/chapadadiamantina,borabrasil.ne@gmail.com,en,email,,,,,borabrasilexpedicoes.com
C578JB,Borandá Trekking,Brazil,southamerica/brazil/sudeste/belohorizonte,,en,website,,,,,borandatrekking.com.br
HSQY7D,Brasilymore,Brazil,southamerica/brazil/sudeste/buzios,marketing@brasilymore.com,en,email,,,,,brasilymore.com
CB55MZ,Bravo Tur,Brazil,southamerica/brazil/nordeste/aracaju,bravotur.aju@gmail.com,en,email,,,,,bravotur-aju.com.br
7TW2LY,Brazil Divers,Brazil,southamerica/brazil/riodejaneiro,brazildivers@brazildivers.com.br,en,email,2026-09-21,,,,
YK8D6B,Buggy Tour Porto de Galinhas,Brazil,southamerica/brazil/nordeste/porto_de_galinhas,,en,website,,,,,buggyemportodegalinhas.com.br
WPQGRZ,BZ Sports,Brazil,southamerica/brazil/sudeste/buzios,reservas@bzsports.com.br,en,email,2026-09-21,,,,
WSJVMD,Búzios Central de Reservas,Brazil,southamerica/brazil/sudeste/buzios,buzioscentraldereservas@gmail.com,en,email,,,,,buzioscentraldereservas.com.br
WX4S93,Cabo Branco Receptivo,Brazil,southamerica/brazil/nordeste/joaopessoa,contato@cabobrancoreceptivo.com.br,en,email,2026-09-21,,,,
6V5GVY,Cactus Experiências,Brazil,southamerica/brazil/sudeste/cabo_frio,contato@cactusexperiencias.com.br,en,email,2026-09-21,,,,
XFHQJ6,Canela de Ema,Brazil,southamerica/brazil/sudeste/capitolio,contato@caneladeemacapitolio.com.br,en,email,,,,,caneladeemacapitolio.com.br
32SK35,Canoa Catarina,Brazil,southamerica/brazil/sul/florianopolis,,en,website,,,,,canoacatarina.com.br
M3SKSB,Capim de Ouro Expedições,Brazil,southamerica/brazil/norte/jalapao,douglasdpimenta@gmail.com,en,email,,,,,capimdeouro.com.br
LYMG6Q,Capimasul,Brazil,southamerica/brazil/nordeste/fernando_de_noronha,capimasul@gmail.com,en,email,,,,,capimasul.com.br
HQ5QT3,Cariocando Boat,Brazil,southamerica/brazil/riodejaneiro,,en,website,,,,,cariocandoboat.com
88RKGS,Carona 4x4,Brazil,southamerica/brazil/nordeste/jericoacoara,marcelomachado_@hotmail.com,en,email,,,,,carona4x4.com.br
FCP2SX,Cerrado Rupestre,Brazil,southamerica/brazil/norte/jalapao,cerradorupestre@gmail.com,en,email,,,,,cerradorupestre.com.br
BF8YPP,Chapada Adventure,Brazil,southamerica/brazil/nordeste/lencois,financeiro@chapadaadventure.com.br,en,email,2026-09-21,,,,
K5DVSR,Chapada Nativa,Brazil,southamerica/brazil/centro_oeste/alto_paraiso,contato@chapadanativa.com.br,en,email,2026-09-21,,,,
PC7C5S,Cia de Rafting,Brazil,southamerica/brazil/sudeste/sao_luiz_do_paraitinga,joao@ciaderafting.com.br,en,email,2026-09-21,,,,
XXR5WC,Circuito Central,Brazil,southamerica/brazil/centro_oeste/alto_paraiso,contato@circuitocentral.com.br,en,email,2026-09-21,,,,
R45DHP,Companhia da Aventura,Brazil,southamerica/brazil/centro_oeste/chapada_dos_guimaraes,atendimento@companhiadaaventura.com.br,en,email,2026-09-21,,,,
V2BMVC,Conexão Cerrado,Brazil,southamerica/brazil/norte/jalapao,contato@conexaocerrado.com.br,en,email,,,,,conexaocerrado.com.br
9S83JQ,Conexão Tour,Brazil,southamerica/brazil/sudeste/arraial_do_cabo,conexaotour@outlook.com,en,email,,,,,conexaotour.com.br
K4RGZ6,Connect Iguassu,Brazil,southamerica/brazil/sul/fozdoiguacu,connectiguassu@gmail.com,en,email,,,,,connectiguassu.com.br
JNVR46,Cronos Ecoturismo,Brazil,southamerica/brazil/norte/santarem,contato@cronostransfer.com,en,email,,,,,cronostransfer.com
B4FBZP,Daventura,Brazil,southamerica/brazil/nordeste/chapadadiamantina,daventura@daventura.com.br,en,email,2026-09-21,,,,
PX4S2F,Delta Rio Parnaíba Turismo,Brazil,southamerica/brazil/nordeste/delta_do_parnaiba,atendimento@deltarioparnaiba.com.br,en,email,2026-09-21,,,,
MNFMCZ,Delterra Turismo,Brazil,southamerica/brazil/nordeste/delta_do_parnaiba,contato@delterraturismo.com.br,en,email,,,,,delterraturismo.com.br
PYNY6M,Desbravando Rio,Brazil,southamerica/brazil/riodejaneiro,contato@desbravandorio.com,en,email,2026-09-21,,,,
NGNL2W,Deserto do Jalapão,Brazil,southamerica/brazil/norte/jalapao,contato@desertodojalapao.com.br,en,email,2026-09-21,,,,
S57D39,Divemore,Brazil,southamerica/brazil/sul/florianopolis,alessandro@divemore.com.br,en,email,2026-09-21,,,,
QZ2NLL,Drakkar Expedições,Brazil,southamerica/brazil/sul/florianopolis,drakkarexpedicoes@gmail.com,en,email,,,,,drakkarexpedicoes.com.br
YGFH76,Eco Adventures Travel,Brazil,southamerica/brazil/centro_oeste/campo_grande,alisson@ecoadventures.com.br,en,email,2026-09-21,,,,
3JCCRP,Eco Caminhantes,Brazil,southamerica/brazil/sul/portoalegre,susy@ecocaminhantes.com.br,en,email,2026-09-21,,,,
KFWKBL,Eco Park Porto da Ilha,Brazil,southamerica/brazil/centro_oeste/bonito,comercial@portodailha.eco.br,en,email,2026-09-21,,,,
72L4M3,Ecobrotas,Brazil,southamerica/brazil/sudeste/brotas,atendimento@ecobrotas.com.br,en,email,2026-09-21,,,,
3TRW49,Ecorotas,Brazil,southamerica/brazil/centro_oeste/alto_paraiso,ecorotas@ecorotas.com.br,en,email,2026-09-21,,,,
XTT535,Ecotuba,Brazil,southamerica/brazil/sudeste/ubatuba,info@ecotuba.com.br,en,email,2026-09-21,,,,
JT779F,Ecoturismo Brasil,Brazil,southamerica/brazil/saopaulo,adm@ecoturismobrasil.com.br,en,email,2026-09-21,,,,
T8262M,Enjoy Tours,Brazil,southamerica/brazil/norte/belem,,en,website,,,,,enjoytours.com.br
45BHFQ,Estrela do Mar Mergulho,Brazil,southamerica/brazil/sul/florianopolis,financeiro@estreladomarmergulho.com.br,en,email,,,,,estreladomarmergulho.com.br
YKP2N9,Experimente Piri,Brazil,southamerica/brazil/centro_oeste/pirenopolis,experimentepiri@gmail.com,en,email,,,,,experimentepiri.com.br
H9VV49,Faiker Quadriciclos,Brazil,southamerica/brazil/nordeste/barreirinhas,,en,website,,,,,faikerquadriciclos.com.br
VCMX45,Gordinho Tour,Brazil,southamerica/brazil/nordeste/fortaleza,contato@gordinhotour.com.br,en,email,2026-09-21,,,,
XWFP35,Green Way,Brazil,southamerica/brazil/sudeste/sao_sebastiao,greenwaybrasil@hotmail.com,en,email,,,,,greenway.com.br
